variant_id,perturbation_family,perturbation_strength,threshold,condition,alpha,T,kappa,seed,p_viable,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,transport_survival_mean,certified_transport_density,viable_propagation_index,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction,certified_node_fraction,viable_fiber_fraction,macro_path_entropy,macro_node_entropy,breadth_index
noise_001,noise,moderate,main,product,0.45,900,center_of_mass,79.5,0.99890125,0.6441208521022902,0.6554110554815583,0.7807715877414548,0.4776040615439423,0.20434148182672002,1.0,0.5852700745458491,0.2073649627270754,0.30575819948708277,0.71322910193424,1.0,5.946025592880657,1.9891198914048804,0.447536445281115
noise_001,noise,moderate,main,product,0.45,1500,center_of_mass,79.5,0.99890125,0.6553282238534062,0.6708081227836485,0.8488220844883289,0.4770477594938992,0.21162622205567327,1.0,0.5569265532890467,0.22153672335547658,0.3169370439366708,0.7229178919771216,1.0,6.081875911165293,1.737297461703161,0.45776142141973175
noise_001,noise,moderate,main,product,0.45,2400,center_of_mass,79.5,0.99890125,0.6726454892986393,0.6955142102035619,0.8997402653860794,0.4484152944247203,0.21459256545426167,1.0,0.5544737206901802,0.22276313965490985,0.36057405977928664,0.7149908716351102,1.0,5.922326279566637,1.4775910686884075,0.4457526714276434
noise_001,noise,moderate,main,product,0.5,900,center_of_mass,79.5,0.99886125,0.6441473089810201,0.6554929449114513,0.7805234918907499,0.479194175055271,0.20524488426030038,1.0,0.5857628826469106,0.20711855867654466,0.30307476467932365,0.715884433829959,1.0,5.942214489419289,1.9887568459512521,0.4472515381163328
noise_001,noise,moderate,main,product,0.5,1500,center_of_mass,79.5,0.99886125,0.6550309479879068,0.6704960984471773,0.8485207131122351,0.47614882951255966,0.21161514295999492,1.0,0.5565892854491474,0.22170535727542623,0.315991081775467,0.7227873167171073,1.0,6.081729452668527,1.7373410746493796,0.4577523915523768
noise_001,noise,moderate,main,product,0.5,2400,center_of_mass,79.5,0.99886125,0.6724176500032001,0.6953550089769334,0.8994866712069178,0.4483318683173362,0.214597546829349,1.0,0.5538545248349446,0.22307273758252766,0.3594094379448059,0.7116759468698401,1.0,5.923031551015454,1.477540201632475,0.4458077022203656
noise_001,noise,moderate,main,product,0.525,900,center_of_mass,79.5,0.9989306250000001,0.6438842549827799,0.6553724278319976,0.780671425311352,0.48141651943630875,0.20454084554135815,1.0,0.5860487855627335,0.2069756072186332,0.3056922886258465,0.7192586279750195,1.0,5.945641573247451,1.9902472001203755,0.4475061085064427
noise_001,noise,moderate,main,product,0.525,1500,center_of_mass,79.5,0.9989306250000001,0.6549867150489688,0.6705659712122083,0.8487846514628072,0.4792768030916526,0.21075089289237936,1.0,0.5570967504453435,0.22145162477732824,0.3195564020232,0.7276062298895868,1.0,6.0833366077258315,1.738318608943358,0.4578698961728106
noise_001,noise,moderate,main,product,0.525,2400,center_of_mass,79.5,0.9989306250000001,0.6724354335882528,0.6953979862088746,0.8996539428392676,0.4499083759017245,0.21463837815628267,1.0,0.5543107336106132,0.22284463319469333,0.3599676323744961,0.7176900988627567,1.0,5.921290275272782,1.4782117264881096,0.44567327067432966
noise_001,noise,moderate,main,shuffled,0.45,900,center_of_mass,79.5,0.998814375,0.6434711970072774,0.6549270391552169,0.7801928396050226,0.47973701161388965,0.20458463648819225,1.0,0.585045165373613,0.20747741731319352,0.30349472427474844,0.7165188806807372,1.0,5.943488277292117,1.989336936853558,0.4473496880153691
noise_001,noise,moderate,main,shuffled,0.45,1500,center_of_mass,79.5,0.998814375,0.654688831090231,0.6701347096704864,0.8483542602049559,0.4802303133029408,0.21053637073339754,1.0,0.5555480495234466,0.22222597523827664,0.31768275949424973,0.7263250021431852,1.0,6.0810995420754,1.7377442680221424,0.45770729559954215
noise_001,noise,moderate,main,shuffled,0.45,2400,center_of_mass,79.5,0.998814375,0.6720181010136254,0.694959286625368,0.8994157070132255,0.448915699767418,0.2148971465999895,1.0,0.5526699829956447,0.22366500850217758,0.3567034924575531,0.7144439938779761,1.0,5.9237549136132746,1.4777244690455098,0.4458644142226598
noise_001,noise,moderate,main,shuffled,0.5,900,center_of_mass,79.5,0.9988718750000001,0.6429753994255406,0.6543753977577454,0.7803516493061026,0.4801339608851296,0.20465667097353601,1.0,0.5854474815536841,0.20727625922315793,0.3033268383099523,0.7157738819209839,1.0,5.945909561476851,1.9904880877665572,0.4475291276465655
noise_001,noise,moderate,main,shuffled,0.5,1500,center_of_mass,79.5,0.9988718750000001,0.6544569877806932,0.6700044409924091,0.8485342797968771,0.4794917358656853,0.21047649969127452,1.0,0.5562394302555183,0.2218802848722409,0.3186346507582124,0.7227411877893696,1.0,6.083151798889305,1.7388103367941379,0.4578589037616975
noise_001,noise,moderate,main,shuffled,0.5,2400,center_of_mass,79.5,0.9988718750000001,0.6719910317761439,0.6950993155775627,0.8993863979488876,0.4474559743913706,0.21425876743827402,1.0,0.5532418423317075,0.22337907883414623,0.3592757774389384,0.7111282562491895,1.0,5.925769367524174,1.4791743318537829,0.44601325005321774
noise_001,noise,moderate,main,shuffled,0.525,900,center_of_mass,79.5,0.998866875,0.6428142073293841,0.6541385907760133,0.7797957160823903,0.4792125831165238,0.20433450038501882,1.0,0.5862972061393482,0.20685139693032584,0.30477779604055966,0.7176359167755955,1.0,5.944870777918975,1.9914099867606105,0.4474511854837888
