kappa,split,label,fiber_size,future_viable_mean,future_transport_depth_mean,future_viable_variance,future_path_survival_variance,future_transport_depth_variance
predictive_kmeans_k21,test,4,780,0.0,0.0,0.0,0.0034881047904491425,0.0
predictive_kmeans_k21,test,5,77130,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,test,6,27357,1.0,1.0,0.0,0.0005198462749831378,0.0
predictive_kmeans_k21,test,7,3474,1.0,1.0,0.0,0.011347933672368526,0.0
predictive_kmeans_k21,test,8,37540,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,test,9,28234,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,test,10,165015,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,test,11,48901,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,test,12,15210,1.0,1.0,0.0,5.556370297199464e-07,0.0
predictive_kmeans_k21,test,13,2287,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,test,14,8311,1.0,1.0,0.0,0.00417322525754571,0.0
predictive_kmeans_k21,test,15,148,0.0,0.0,0.0,0.00839611329138279,0.0
predictive_kmeans_k21,test,16,47565,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,test,17,114668,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,test,18,16375,1.0,1.0,0.0,9.561666956869885e-05,0.0
predictive_kmeans_k21,test,19,25800,1.0,1.0,0.0,5.084426675239229e-07,0.0
predictive_kmeans_k21,test,20,45207,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k8,test,0,928,0.0,0.0,0.0,0.10192187130451202,0.0
predictive_kmeans_no_COM_k8,test,1,199204,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k8,test,2,62451,1.0,1.0,0.0,0.0008970885537564754,0.0
predictive_kmeans_no_COM_k8,test,3,374178,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k8,test,4,94526,1.0,1.0,0.0,4.1532048271619715e-06,0.0
predictive_kmeans_no_COM_k8,test,5,39827,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k8,test,6,8934,1.0,1.0,0.0,0.01855228655040264,0.0
predictive_kmeans_no_COM_k8,test,7,83952,1.0,1.0,0.0,1.0067385858292255e-07,0.0
predictive_kmeans_no_COM_k13,test,0,39827,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k13,test,1,310442,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k13,test,2,29079,1.0,1.0,0.0,6.203186057973653e-05,0.0
predictive_kmeans_no_COM_k13,test,3,47869,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k13,test,4,8707,1.0,1.0,0.0,0.00417222548276186,0.0
predictive_kmeans_no_COM_k13,test,5,928,0.0,0.0,0.0,0.10192187130451202,0.0
predictive_kmeans_no_COM_k13,test,6,94507,1.0,1.0,0.0,1.9007563878403744e-06,0.0
predictive_kmeans_no_COM_k13,test,7,48685,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k13,test,8,40206,1.0,1.0,0.0,2.102071192666699e-07,0.0
predictive_kmeans_no_COM_k13,test,9,3719,1.0,1.0,0.0,0.011797712184488773,0.0
predictive_kmeans_no_COM_k13,test,10,37234,1.0,1.0,0.0,0.0002797545457724482,0.0
predictive_kmeans_no_COM_k13,test,11,64500,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k13,test,12,138297,1.0,1.0,0.0,0.0,0.0
