alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,n_seeds
0.4,900,center_of_mass,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.0003378125,0.00034999999999999994,80
0.4,900,center_of_mass,certified_transport_density_advantage,0.026639139139139106,0.027012472105871016,0.0030200861934522242,0.02178397147147144,0.032098348348348314,80
0.4,900,identity_like_diagnostic,Delta_R,0.0005503756753690198,0.0013127249291964935,0.0001467671088720979,0.0002748676789074892,0.0008512215103553262,80
0.4,900,identity_like_diagnostic,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.0003009375,0.00037562500000000014,80
0.4,900,identity_like_diagnostic,Delta_H_cond_product,0.9825900612306935,0.1011645282057189,0.011310538098984114,0.9620698255288093,1.0047134757299694,80
0.4,900,identity_like_diagnostic,Delta_H_weighted_product,0.9819217501749545,0.10024045097760484,0.011207223124057983,0.9618440525815068,1.0039326300919689,80
0.4,900,identity_like_diagnostic,Delta_H_recovery_product,0.977993581658939,0.10250343821463602,0.01146023278876879,0.9580973381758279,0.9965984288542253,80
0.4,900,identity_like_diagnostic,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.00036281250000000007,0.0003378125000000001,80
0.4,900,identity_like_diagnostic,certified_transport_density_advantage,0.0,0.0,0.0,0.0,0.0,80
0.4,900,joint_basin,Delta_R,-1.864013719171727,0.09357193179240243,0.010461660013689278,-1.8844128517738659,-1.8432934826620853,80
0.4,900,joint_basin,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.0002878125,0.0004,80
0.4,900,joint_basin,Delta_H_cond_product,-6.148273304141766,0.11836837230788128,0.013233986343321309,-6.171983094725019,-6.122582631146293,80
0.4,900,joint_basin,Delta_H_weighted_product,-6.140648666369453,0.11739192822447635,0.013124816575985264,-6.166396674093461,-6.115096124545484,80
0.4,900,joint_basin,Delta_H_recovery_product,-6.152128974167622,0.11927417657222181,0.01333525833879004,-6.177106409023943,-6.127682002454297,80
0.4,900,joint_basin,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.0003875,0.0004125,80
0.4,900,joint_basin,certified_transport_density_advantage,0.12434934934934931,0.012063614278725241,0.0013487530790783366,0.12150243993993992,0.12684090340340337,80
0.4,900,random_kappa_matched,Delta_R,0.0579575678488415,0.044917405691203484,0.005021918624923346,0.04584787781833902,0.06648084594910134,80
0.4,900,random_kappa_matched,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.00037624999999999996,0.00038750000000000004,80
0.4,900,random_kappa_matched,Delta_H_cond_product,-1.4955523907911838,0.10922452132058354,0.012211672724134993,-1.5186732213303846,-1.4715968738415224,80
0.4,900,random_kappa_matched,Delta_H_weighted_product,-1.4933367787451517,0.10806808414873992,0.012082379117737498,-1.5136593693581586,-1.4686968455532037,80
0.4,900,random_kappa_matched,Delta_H_recovery_product,-1.5005946621948787,0.11042417594982983,0.012345798189160845,-1.5243669232898704,-1.4750449299599517,80
0.4,900,random_kappa_matched,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.0003378125,0.000325,80
0.4,900,random_kappa_matched,certified_transport_density_advantage,-0.002352352352352347,0.006205633945685769,0.0006938109673016808,-0.003567004504504487,-0.0011495870870871015,80
0.4,900,relative_distance,Delta_R,0.25625637268976087,0.06694346353720604,0.007484506755923561,0.24135326197551235,0.26974125218401707,80
0.4,900,relative_distance,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.000313125,0.0003753125000000001,80
0.4,900,relative_distance,Delta_H_cond_product,-0.6467837420975318,0.11439207873742548,0.012789423207219583,-0.6734308203392461,-0.6249351948305245,80
0.4,900,relative_distance,Delta_H_weighted_product,-0.6455560605021258,0.11328551410401307,0.012665705520129219,-0.6692439222502495,-0.6214714906879025,80
0.4,900,relative_distance,Delta_H_recovery_product,-0.649643665111919,0.11566436638281248,0.012931669290320507,-0.6765105615699122,-0.6270628981440144,80
0.4,900,relative_distance,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.0004003125,0.00038812500000000023,80
0.4,900,relative_distance,certified_transport_density_advantage,-0.00238988988988988,0.0028910763065247177,0.00032323215747641435,-0.0030033158158157963,-0.0017517517517517563,80
