alpha,T,kappa,seed,projected_A_entropy,projected_B_entropy,component_A_preservation,component_B_preservation,lower_rank_erasure_score
0.4,900,basin_transition_profile,57,5.9597546087982,3.661944682369803,1.0,1.0,0.0
0.4,900,boundary_v2_regime_sequence,57,5.9597546087982,3.661944682369803,1.0,1.0,0.0
0.4,900,random_kappa_matched,57,5.9597546087982,3.661944682369803,0.7965012770182456,0.4894066630817021,0.3570460299500262
0.4,900,identity_like_diagnostic,57,5.9597546087982,3.661944682369803,0.5981082630424477,0.36750495902907626,0.517193388964238
0.4,900,all_one_diagnostic,57,5.9597546087982,3.661944682369803,1.0,1.0,0.0
0.4,1500,center_of_mass,57,7.93862640814073,4.987612568852898,1.0,0.7252614517604212,0.1373692741197894
0.4,1500,relative_distance,57,7.93862640814073,4.987612568852898,0.8227244196366444,0.5168942894042773,0.33019064547953914
0.4,1500,joint_basin,57,7.93862640814073,4.987612568852898,1.0,1.0,0.0
0.4,1500,basin_transition_profile,57,7.93862640814073,4.987612568852898,1.0,1.0,0.0
0.4,1500,boundary_v2_regime_sequence,57,7.93862640814073,4.987612568852898,1.0,1.0,0.0
0.4,1500,random_kappa_matched,57,7.93862640814073,4.987612568852898,1.0,0.6469131485278199,0.17654342573609005
0.4,1500,identity_like_diagnostic,57,7.93862640814073,4.987612568852898,0.7967036167741538,0.5005461610586084,0.35137511108361896
0.4,1500,all_one_diagnostic,57,7.93862640814073,4.987612568852898,1.0,1.0,0.0
0.4,2400,center_of_mass,57,9.534361307823087,6.422568439125468,1.0,0.7435841977642208,0.1282079011178896
0.4,2400,relative_distance,57,9.534361307823087,6.422568439125468,0.9593539206218679,0.6462432053504906,0.19720143701382076
0.4,2400,joint_basin,57,9.534361307823087,6.422568439125468,1.0,0.9462097847253296,0.02689510763733516
0.4,2400,basin_transition_profile,57,9.534361307823087,6.422568439125468,1.0,1.0,0.0
0.4,2400,boundary_v2_regime_sequence,57,9.534361307823087,6.422568439125468,1.0,1.0,0.0
0.4,2400,random_kappa_matched,57,9.534361307823087,6.422568439125468,1.0,0.8262710308540647,0.08686448457296758
0.4,2400,identity_like_diagnostic,57,9.534361307823087,6.422568439125468,0.9568481683159648,0.6445552720787617,0.1992982798026368
0.4,2400,all_one_diagnostic,57,9.534361307823087,6.422568439125468,1.0,1.0,0.0
0.4,3600,center_of_mass,57,9.92354518460707,7.675773311146289,1.0,0.7935761291632167,0.10321193541839158
0.4,3600,relative_distance,57,9.92354518460707,7.675773311146289,0.9959058322345021,0.7703242405081272,0.11688496362868528
0.4,3600,joint_basin,57,9.92354518460707,7.675773311146289,1.0,0.9780969348702125,0.010951532564893673
0.4,3600,basin_transition_profile,57,9.92354518460707,7.675773311146289,1.0,1.0,0.0
0.4,3600,boundary_v2_regime_sequence,57,9.92354518460707,7.675773311146289,1.0,1.0,0.0
0.4,3600,random_kappa_matched,57,9.92354518460707,7.675773311146289,1.0,0.9860597813312746,0.006970109334362706
0.4,3600,identity_like_diagnostic,57,9.92354518460707,7.675773311146289,0.9959058322345021,0.7703242405081272,0.11688496362868528
0.4,3600,all_one_diagnostic,57,9.92354518460707,7.675773311146289,1.0,1.0,0.0
0.4,900,center_of_mass,61,6.02086437246075,3.7039847965775183,1.0,0.7010749849940265,0.14946250750298673
0.4,900,relative_distance,61,6.02086437246075,3.7039847965775183,0.7192362685571112,0.4424680642314289,0.41914783360572994
0.4,900,joint_basin,61,6.02086437246075,3.7039847965775183,1.0,1.0,0.0
0.4,900,basin_transition_profile,61,6.02086437246075,3.7039847965775183,1.0,1.0,0.0
0.4,900,boundary_v2_regime_sequence,61,6.02086437246075,3.7039847965775183,1.0,1.0,0.0
0.4,900,random_kappa_matched,61,6.02086437246075,3.7039847965775183,0.7997602807121513,0.49200575489025233,0.35411698219879817
0.4,900,identity_like_diagnostic,61,6.02086437246075,3.7039847965775183,0.6042748618844613,0.3717447799707293,0.5119901790724046
0.4,900,all_one_diagnostic,61,6.02086437246075,3.7039847965775183,1.0,1.0,0.0
0.4,1500,center_of_mass,61,7.947544673895305,5.0757762587636215,1.0,0.7346199123228924,0.13269004383855387
0.4,1500,relative_distance,61,7.947544673895305,5.0757762587636215,0.8240334867668575,0.5262769547298956,0.32484477925162347
0.4,1500,joint_basin,61,7.947544673895305,5.0757762587636215,1.0,1.0,0.0
0.4,1500,basin_transition_profile,61,7.947544673895305,5.0757762587636215,1.0,1.0,0.0
0.4,1500,boundary_v2_regime_sequence,61,7.947544673895305,5.0757762587636215,1.0,1.0,0.0
0.4,1500,random_kappa_matched,61,7.947544673895305,5.0757762587636215,1.0,0.6519176285831314,0.1740411857084343
