alpha,T,kappa,seed,n_traj,macro_classes,singleton_fraction,estimator_warning
0.4,2400,identity_like_diagnostic,5,1000,997.0,1.0,HIGH_SINGLETON_FRACTION
0.4,2400,all_one_diagnostic,5,1000,1.0,0.0,
0.4,3600,center_of_mass,5,1000,870.0,0.9045977011494253,HIGH_SINGLETON_FRACTION
0.4,3600,relative_distance,5,1000,997.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,joint_basin,5,1000,561.0,0.8377896613190731,HIGH_SINGLETON_FRACTION
0.4,3600,basin_transition_profile,5,1000,40.0,0.225,
0.4,3600,boundary_v2_regime_sequence,5,1000,11.0,0.36363636363636365,
0.4,3600,random_kappa_matched,5,1000,249.0,0.08433734939759036,
0.4,3600,identity_like_diagnostic,5,1000,997.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,all_one_diagnostic,5,1000,1.0,0.0,
0.4,900,center_of_mass,4,1000,96.0,0.2916666666666667,
0.4,900,relative_distance,4,1000,434.0,0.5668202764976958,
0.4,900,joint_basin,4,1000,30.0,0.23333333333333334,
0.4,900,basin_transition_profile,4,1000,14.0,0.07142857142857142,
0.4,900,boundary_v2_regime_sequence,4,1000,6.0,0.0,
0.4,900,random_kappa_matched,4,1000,226.0,0.168141592920354,
0.4,900,identity_like_diagnostic,4,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,900,all_one_diagnostic,4,1000,1.0,0.0,
0.4,1500,center_of_mass,4,1000,252.0,0.5,
0.4,1500,relative_distance,4,1000,843.0,0.8517200474495848,HIGH_SINGLETON_FRACTION
0.4,1500,joint_basin,4,1000,108.0,0.37962962962962965,
0.4,1500,basin_transition_profile,4,1000,23.0,0.17391304347826086,
0.4,1500,boundary_v2_regime_sequence,4,1000,6.0,0.0,
0.4,1500,random_kappa_matched,4,1000,245.0,0.08571428571428572,
0.4,1500,identity_like_diagnostic,4,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,1500,all_one_diagnostic,4,1000,1.0,0.0,
0.4,2400,center_of_mass,4,1000,564.0,0.7145390070921985,HIGH_SINGLETON_FRACTION
0.4,2400,relative_distance,4,1000,992.0,0.9919354838709677,HIGH_SINGLETON_FRACTION
0.4,2400,joint_basin,4,1000,334.0,0.6586826347305389,HIGH_SINGLETON_FRACTION
0.4,2400,basin_transition_profile,4,1000,36.0,0.3333333333333333,
0.4,2400,boundary_v2_regime_sequence,4,1000,6.0,0.0,
0.4,2400,random_kappa_matched,4,1000,246.0,0.0975609756097561,
0.4,2400,identity_like_diagnostic,4,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,2400,all_one_diagnostic,4,1000,1.0,0.0,
0.4,3600,center_of_mass,4,1000,867.0,0.903114186851211,HIGH_SINGLETON_FRACTION
0.4,3600,relative_distance,4,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,joint_basin,4,1000,553.0,0.8499095840867993,HIGH_SINGLETON_FRACTION
0.4,3600,basin_transition_profile,4,1000,42.0,0.21428571428571427,
0.4,3600,boundary_v2_regime_sequence,4,1000,6.0,0.0,
0.4,3600,random_kappa_matched,4,1000,245.0,0.09387755102040816,
0.4,3600,identity_like_diagnostic,4,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,all_one_diagnostic,4,1000,1.0,0.0,
0.4,900,center_of_mass,8,1000,97.0,0.30927835051546393,
0.4,900,relative_distance,8,1000,427.0,0.5128805620608899,
0.4,900,joint_basin,8,1000,36.0,0.3055555555555556,
0.4,900,basin_transition_profile,8,1000,16.0,0.125,
0.4,900,boundary_v2_regime_sequence,8,1000,7.0,0.14285714285714285,
0.4,900,random_kappa_matched,8,1000,230.0,0.1826086956521739,
0.4,900,identity_like_diagnostic,8,1000,998.0,0.998997995991984,HIGH_SINGLETON_FRACTION
0.4,900,all_one_diagnostic,8,1000,1.0,0.0,
0.4,1500,center_of_mass,8,1000,257.0,0.4980544747081712,
0.4,1500,relative_distance,8,1000,864.0,0.8692129629629629,HIGH_SINGLETON_FRACTION
0.4,1500,joint_basin,8,1000,119.0,0.46218487394957986,
0.4,1500,basin_transition_profile,8,1000,24.0,0.16666666666666666,
