alpha,T,kappa,seed,transport_survival,transport_entropy_change,certified_transport_density,transport_advantage_vs_shuffled
0.4,1500,all_one_diagnostic,2,0.998,0.0,0.001001001001001001,0.0
0.4,2400,center_of_mass,2,0.998,-0.0055900535293549325,0.995995995995996,0.024024024024024038
0.4,2400,relative_distance,2,0.998,-0.0029123274210220984,1.0,0.0
0.4,2400,joint_basin,2,0.998,-0.005596558323697209,0.8488488488488488,0.7957957957957957
0.4,2400,basin_transition_profile,2,0.998,0.0011303494861087948,0.23123123123123124,0.21621621621621623
0.4,2400,boundary_v2_regime_sequence,2,0.998,-0.013992469352144044,0.03003003003003003,-0.5295295295295296
0.4,2400,random_kappa_matched,2,0.998,-0.0007392252010731681,0.992992992992993,0.0
0.4,2400,identity_like_diagnostic,2,0.998,-0.002888279324828602,1.0,0.0
0.4,2400,all_one_diagnostic,2,0.998,0.0,0.001001001001001001,0.0
0.4,3600,center_of_mass,2,0.998,-0.003543105651186096,1.0,0.0030030030030030463
0.4,3600,relative_distance,2,0.998,-0.002888279324828602,1.0,0.0
0.4,3600,joint_basin,2,0.998,-0.007279912045528469,0.9269269269269269,0.8738738738738738
0.4,3600,basin_transition_profile,2,0.998,0.0027016340236176717,0.2552552552552553,0.24024024024024027
0.4,3600,boundary_v2_regime_sequence,2,0.998,-0.013992469352144044,0.03003003003003003,-0.7827827827827828
0.4,3600,random_kappa_matched,2,0.998,-0.0013191811157895472,0.992992992992993,0.00800800800800805
0.4,3600,identity_like_diagnostic,2,0.998,-0.002888279324828602,1.0,0.0
0.4,3600,all_one_diagnostic,2,0.998,0.0,0.001001001001001001,0.0
0.4,900,center_of_mass,5,0.997,-0.009003632166797892,0.6436436436436437,0.019019019019019034
0.4,900,relative_distance,5,0.997,-0.00915130598079017,0.991991991991992,-0.006006006006006093
0.4,900,joint_basin,5,0.997,-0.0033656372063459727,0.15515515515515516,0.11811811811811812
0.4,900,basin_transition_profile,5,0.997,-0.0012244356863342354,0.06506506506506507,0.04604604604604605
0.4,900,boundary_v2_regime_sequence,5,0.997,-0.015991924929225076,0.03303303303303303,-0.1011011011011011
0.4,900,random_kappa_matched,5,0.997,-0.0050746429028345474,0.985985985985986,0.002002002002001957
0.4,900,identity_like_diagnostic,5,0.997,-0.0043345902638929346,1.0,0.0
0.4,900,all_one_diagnostic,5,0.997,0.0,0.001001001001001001,0.0
0.4,1500,center_of_mass,5,0.997,-0.009229749767594164,0.9069069069069069,0.04404404404404405
0.4,1500,relative_distance,5,0.997,-0.005262324559758724,0.998998998998999,-0.0010010010010009784
0.4,1500,joint_basin,5,0.997,-0.005546717778389443,0.4944944944944945,0.44244244244244246
0.4,1500,basin_transition_profile,5,0.997,-0.00041192725435257316,0.14014014014014015,0.12212212212212213
0.4,1500,boundary_v2_regime_sequence,5,0.997,-0.015991924929225076,0.03303303303303303,-0.2702702702702703
0.4,1500,random_kappa_matched,5,0.997,-0.0010051606989343043,0.991991991991992,0.0
0.4,1500,identity_like_diagnostic,5,0.997,-0.0043345902638929346,1.0,0.0
0.4,1500,all_one_diagnostic,5,0.997,0.0,0.001001001001001001,0.0
0.4,2400,center_of_mass,5,0.997,-0.006353176913957981,0.991991991991992,0.023023023023022948
0.4,2400,relative_distance,5,0.997,-0.004388752751355085,1.0,0.0
0.4,2400,joint_basin,5,0.997,-0.010303116303452597,0.8458458458458459,0.7857857857857858
0.4,2400,basin_transition_profile,5,0.997,-0.004080963279109007,0.22622622622622623,0.21121121121121122
0.4,2400,boundary_v2_regime_sequence,5,0.997,-0.015991924929224854,0.03303303303303303,-0.5195195195195195
0.4,2400,random_kappa_matched,5,0.997,0.0019290845362505138,0.987987987987988,-0.010010010010010006
0.4,2400,identity_like_diagnostic,5,0.997,-0.0043345902638929346,1.0,0.0
0.4,2400,all_one_diagnostic,5,0.997,0.0,0.001001001001001001,0.0
0.4,3600,center_of_mass,5,0.997,-0.005255188341704908,1.0,0.0
0.4,3600,relative_distance,5,0.997,-0.0043345902638929346,1.0,0.0
0.4,3600,joint_basin,5,0.997,-0.010523352770998251,0.9409409409409409,0.8808808808808809
0.4,3600,basin_transition_profile,5,0.997,-0.0020015899329361986,0.24624624624624625,0.23323323323323322
0.4,3600,boundary_v2_regime_sequence,5,0.997,-0.015991924929224854,0.03303303303303303,-0.7307307307307307
0.4,3600,random_kappa_matched,5,0.997,-0.0012930903035837105,0.988988988988989,-0.005005005005005003
0.4,3600,identity_like_diagnostic,5,0.997,-0.0043345902638929346,1.0,0.0
0.4,3600,all_one_diagnostic,5,0.997,0.0,0.001001001001001001,0.0
0.4,900,center_of_mass,4,1.0,0.0,0.6286286286286287,0.01501501501501501
0.4,900,relative_distance,4,1.0,0.0,0.995995995995996,-0.0030030030030030463
0.4,900,joint_basin,4,1.0,0.0,0.14214214214214213,0.1131131131131131
0.4,900,basin_transition_profile,4,1.0,0.0,0.06506506506506507,0.05005005005005005
0.4,900,boundary_v2_regime_sequence,4,1.0,0.0,0.021021021021021023,-0.0980980980980981
0.4,900,random_kappa_matched,4,1.0,0.0,0.982982982982983,0.002002002002002068
0.4,900,identity_like_diagnostic,4,1.0,0.0,1.0,0.0
0.4,900,all_one_diagnostic,4,1.0,0.0,0.001001001001001001,0.0
0.4,1500,center_of_mass,4,1.0,0.0,0.9209209209209209,0.07507507507507505
0.4,1500,relative_distance,4,1.0,0.0,1.0,0.0
0.4,1500,joint_basin,4,1.0,0.0,0.4974974974974975,0.4544544544544544
0.4,1500,basin_transition_profile,4,1.0,0.0,0.13813813813813813,0.12012012012012012
0.4,1500,boundary_v2_regime_sequence,4,1.0,0.0,0.021021021021021023,-0.27127127127127126
0.4,1500,random_kappa_matched,4,1.0,0.0,0.991991991991992,0.0030030030030029353
0.4,1500,identity_like_diagnostic,4,1.0,0.0,1.0,0.0
0.4,1500,all_one_diagnostic,4,1.0,0.0,0.001001001001001001,0.0
0.4,2400,center_of_mass,4,1.0,0.0,0.994994994994995,0.02902902902902904
0.4,2400,relative_distance,4,1.0,0.0,1.0,0.0
0.4,2400,joint_basin,4,1.0,0.0,0.8348348348348348,0.7857857857857857
0.4,2400,basin_transition_profile,4,1.0,0.0,0.21421421421421422,0.1991991991991992
0.4,2400,boundary_v2_regime_sequence,4,1.0,0.0,0.021021021021021023,-0.5335335335335336
0.4,2400,random_kappa_matched,4,1.0,0.0,0.987987987987988,-0.0030030030030029353
0.4,2400,identity_like_diagnostic,4,1.0,0.0,1.0,0.0
0.4,2400,all_one_diagnostic,4,1.0,0.0,0.001001001001001001,0.0
0.4,3600,center_of_mass,4,1.0,0.0,1.0,0.002002002002001957
0.4,3600,relative_distance,4,1.0,0.0,1.0,0.0
0.4,3600,joint_basin,4,1.0,0.0,0.9259259259259259,0.8748748748748749
0.4,3600,basin_transition_profile,4,1.0,0.0,0.2702702702702703,0.2572572572572573
