alpha,T,kappa,seed,p_viable_product,H_cond_product,H_weighted_product,H_recovery_product,component_estimator_note
0.4,1500,joint_basin,6,0.999,11.518145092305003,11.506626947212698,11.522651041806517,H_A+H_B from basin/geometric component projections
0.4,1500,basin_transition_profile,6,0.999,11.518145092305003,11.506626947212698,11.522651041806517,H_A+H_B from basin/geometric component projections
0.4,1500,boundary_v2_regime_sequence,6,0.999,11.518145092305003,11.506626947212698,11.522651041806517,H_A+H_B from basin/geometric component projections
0.4,1500,random_kappa_matched,6,0.999,11.518145092305003,11.506626947212698,11.522651041806517,H_A+H_B from basin/geometric component projections
0.4,1500,identity_like_diagnostic,6,0.999,11.518145092305003,11.506626947212698,11.522651041806517,H_A+H_B from basin/geometric component projections
0.4,1500,all_one_diagnostic,6,0.999,11.518145092305003,11.506626947212698,11.522651041806517,H_A+H_B from basin/geometric component projections
0.4,2400,center_of_mass,6,0.999,14.481103015925815,14.466621912909888,14.484221741750323,H_A+H_B from basin/geometric component projections
0.4,2400,relative_distance,6,0.999,14.481103015925815,14.466621912909888,14.484221741750323,H_A+H_B from basin/geometric component projections
0.4,2400,joint_basin,6,0.999,14.481103015925815,14.466621912909888,14.484221741750323,H_A+H_B from basin/geometric component projections
0.4,2400,basin_transition_profile,6,0.999,14.481103015925815,14.466621912909888,14.484221741750323,H_A+H_B from basin/geometric component projections
0.4,2400,boundary_v2_regime_sequence,6,0.999,14.481103015925815,14.466621912909888,14.484221741750323,H_A+H_B from basin/geometric component projections
0.4,2400,random_kappa_matched,6,0.999,14.481103015925815,14.466621912909888,14.484221741750323,H_A+H_B from basin/geometric component projections
0.4,2400,identity_like_diagnostic,6,0.999,14.481103015925815,14.466621912909888,14.484221741750323,H_A+H_B from basin/geometric component projections
0.4,2400,all_one_diagnostic,6,0.999,14.481103015925815,14.466621912909888,14.484221741750323,H_A+H_B from basin/geometric component projections
0.4,3600,center_of_mass,6,0.999,16.998755971795326,16.98175721582353,17.00095723462183,H_A+H_B from basin/geometric component projections
0.4,3600,relative_distance,6,0.999,16.998755971795326,16.98175721582353,17.00095723462183,H_A+H_B from basin/geometric component projections
0.4,3600,joint_basin,6,0.999,16.998755971795326,16.98175721582353,17.00095723462183,H_A+H_B from basin/geometric component projections
