space,rule_id,parent_rule_id,control_type,stratum,ic_family,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,raw_persistence_score
q3_radius1,q3r1_s1_0002_center_only_projection,q3r1_s1_0002,center_only_projection,center_only_projection,periodic_background_perturbation,0.6657598841260051,0.667633056640625,0.9999932032558853,0.0,0.0,0.0,0.0,1.0,516.0,516.0,2.0,0.2352718599349564,1.0,1.0,1.0078125,0.0,0.0,2.0,1.0,0.6657598841260051,0.33424011587399494,216.82241025893362,0.0,1.0,1.0,0.35,0.9999932032558853,0.98895263671875,0.01104736328125,0.49407170765353375,0.9889459150607366,0.0
q3_radius1,q3r1_s2_0046_center_only_projection,q3r1_s2_0046,center_only_projection,center_only_projection,random_uniform,0.0012959560223257797,0.0,0.009839264083715469,1.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,2.7408197053519356,0.0,1.0,0.0078125,0.0,-0.03125,1.0,0.0,0.0012959560223257797,0.9987040439776742,0.0,1.0,1.0,1.0,1.0,0.009839264083715469,0.0,1.0,0.0026100198033064967,0.0,0.0
q3_radius1,q3r1_s2_0046_center_only_projection,q3r1_s2_0046,center_only_projection,center_only_projection,sparse_active_010,0.00019274259868421053,0.0,0.0017977742384019874,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,0.5092879306736855,0.0,1.0,0.0078125,0.0,-0.03125,1.0,0.0,0.00019274259868421053,0.9998072574013158,0.0,1.0,1.0,1.0,1.0,0.0017977742384019874,0.0,1.0,0.007022442133344783,0.0,0.0
q3_radius1,q3r1_s2_0046_center_only_projection,q3r1_s2_0046,center_only_projection,center_only_projection,sparse_active_025,0.000491969534295809,0.0,0.004169074470048745,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,1.09042781254984,0.0,1.0,0.0078125,0.0,-0.03125,1.0,0.0,0.000491969534295809,0.9995080304657042,0.0,1.0,1.0,1.0,1.0,0.004169074470048745,0.0,1.0,0.00581497922097318,0.0,0.0
q3_radius1,q3r1_s2_0046_center_only_projection,q3r1_s2_0046,center_only_projection,center_only_projection,single_active_1,7.614522417153996e-06,0.0,8.861642337443353e-05,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,-0.0,0.0,1.0,0.0078125,0.0,-0.03125,1.0,0.0,7.614522417153996e-06,0.9999923854775828,0.0,1.0,1.0,1.0,1.0,8.861642337443353e-05,0.0,1.0,0.007751937984496124,0.0,0.0
q3_radius1,q3r1_s2_0046_center_only_projection,q3r1_s2_0046,center_only_projection,center_only_projection,single_active_2,7.614522417153996e-06,0.0,8.861642337443353e-05,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,-0.0,0.0,1.0,0.0078125,0.0,-0.03125,1.0,0.0,7.614522417153996e-06,0.9999923854775828,0.0,1.0,1.0,1.0,1.0,8.861642337443353e-05,0.0,1.0,0.007751937984496124,0.0,0.0
q3_radius1,q3r1_s2_0046_center_only_projection,q3r1_s2_0046,center_only_projection,center_only_projection,two_cell_active,1.5229044834307991e-05,0.0,0.00017723279397192858,1.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,-0.0,0.0,1.0,0.0078125,0.0,-0.03125,1.0,0.0,1.5229044834307991e-05,0.9999847709551657,0.0,1.0,1.0,1.0,1.0,0.00017723279397192858,0.0,1.0,0.003875968992248062,0.0,0.0
q3_radius1,q3r1_s2_0046_center_only_projection,q3r1_s2_0046,center_only_projection,center_only_projection,short_random_active_block,8.04878814875731e-05,0.0,0.0008146500267923458,1.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,2.419031102010067,0.0,1.0,0.0078125,0.0,-0.03125,1.0,0.0,8.04878814875731e-05,0.9999195121185124,0.0,1.0,1.0,1.0,1.0,0.0008146500267923458,0.0,1.0,0.003255437982053919,0.0,0.0
q3_radius1,q3r1_s2_0046_center_only_projection,q3r1_s2_0046,center_only_projection,center_only_projection,periodic_background_perturbation,0.001301309983400341,0.0,0.009875042784665947,1.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,0.23672312801468542,0.0,1.0,0.0078125,0.0,-0.03125,1.0,0.0,0.001301309983400341,0.9986986900165996,0.0,1.0,1.0,1.0,1.0,0.009875042784665947,0.0,1.0,0.00382645327874259,0.0,0.0
q3_radius1,q3r1_s1_0002_symbol_phase_only,q3r1_s1_0002,symbol_phase_only,symbol_phase_only,random_uniform,0.5003174304032652,0.662841796875,0.6354117723733068,0.0,0.0,0.0,0.0,1.0,516.0,516.0,2.0,2.720290599704007,1.0,1.0,1.0078125,0.0,0.0,2.0,1.0,0.5003174304032652,0.49968256959673485,6.059198079648359,0.0,1.0,1.0,0.35,0.6354117723733068,0.449951171875,0.550048828125,0.3403708415304848,0.28590427160254017,0.0
