point_id,T,seed,relation_lineage,self_only_lineage,independent_lineage_baseline,relation_lineage_excess
phase_003,50,9,0.5535833709896069,0.5512748531405331,0.5514409173068233,0.0021424536827835
phase_002,100,29,0.6138755434782609,0.6138586956521739,0.6138630434782608,1.250000000008189e-05
phase_002,100,27,0.6129540760869565,0.6129282608695652,0.6129347826086956,1.929347826090666e-05
phase_002,100,28,0.6125486413043478,0.6125298913043479,0.6125298913043479,1.87499999999563e-05
phase_003,50,11,0.5595638322520853,0.557272358665431,0.5574223818350325,0.0021414504170528
phase_003,50,13,0.5580789102865196,0.5558296148426491,0.5560627054955378,0.0020162047909817
phase_003,50,12,0.5544196637085474,0.5519984820177487,0.552415927136852,0.0020037365716955
phase_003,50,14,0.553322004608295,0.5509861751152074,0.5510489631336406,0.0022730414746543
phase_003,50,15,0.5571098974587606,0.5546951627284886,0.5551270619705752,0.0019828354881854
phase_003,50,16,0.5615595518867924,0.5589534198113207,0.5592553066037736,0.0023042452830187
phase_003,50,17,0.5566632653061224,0.5543690476190476,0.5545391156462585,0.0021241496598639
phase_003,50,20,0.5595519312293924,0.5573310174281677,0.5576201130475742,0.0019318181818182
phase_003,50,18,0.5549809292649098,0.5529033749422099,0.5531299121590384,0.0018510171058714
phase_003,50,19,0.5537840466926071,0.5513205252918288,0.5518379134241245,0.0019461332684825
phase_003,50,21,0.5652019961977186,0.5625558460076046,0.5630543013307985,0.0021476948669201
phase_003,50,23,0.5632799808886765,0.5608988294314381,0.5612093884376493,0.0020705924510271
phase_003,50,24,0.5548705009727627,0.5525857247081712,0.5526343628404669,0.0022361381322958
phase_003,50,22,0.5585818614130434,0.5562392436594202,0.5562817028985507,0.0023001585144927
phase_003,50,25,0.5566830294530154,0.5544600280504909,0.5548428003740065,0.0018402290790089
phase_003,50,26,0.5611544324577861,0.5585782129455911,0.5591111632270169,0.0020432692307691
phase_003,50,27,0.5615691852526171,0.5591414428766499,0.5593058716431497,0.0022633136094674
phase_003,50,28,0.5613846618357488,0.5588484299516908,0.5591237922705313,0.0022608695652174
phase_003,50,29,0.5646635076775433,0.5623878358925144,0.5627051343570058,0.0019583733205374
phase_003,100,0,0.558683568329718,0.5564497469269704,0.5568203181489515,0.0018632501807664
phase_003,100,2,0.5592568863319386,0.5570916143654113,0.5572241108786611,0.0020327754532775
