point_id,T,seed,recoverable_alternative_count,branching_after_closure,post_perturbation_continuation_rate
phase_002,100,28,2300.0,0.9999790385482668,0.0
phase_003,50,11,2158.0,0.9999691078020068,0.0
phase_003,50,13,2129.0,0.999904134478538,0.0
phase_003,50,12,2141.0,0.9999040319642964,0.0
phase_003,50,14,2170.0,0.9999001399172917,0.0
phase_003,50,15,2243.0,0.9999510011330642,0.0
phase_003,50,16,2120.0,0.9998582192916968,0.0
phase_003,50,17,2205.0,0.9999374561303822,0.0
phase_003,50,20,2123.0,0.999963666099264,0.0
phase_003,50,18,2163.0,0.9999338002619098,0.0
phase_003,50,19,2056.0,0.9998395296670586,0.0
phase_003,50,21,2104.0,0.9999343968705862,0.0
phase_003,50,23,2093.0,0.9999080616299634,0.0
phase_003,50,24,2056.0,0.9999855829908572,0.0
phase_003,50,22,2208.0,0.9996811038167368,0.0
phase_003,50,25,2139.0,0.9998651491275116,0.0
phase_003,50,26,2132.0,0.9999058465551612,0.0
phase_003,50,27,2197.0,0.999949938741933,0.0
phase_003,50,28,2070.0,0.999982702234532,0.0
phase_003,50,29,2084.0,0.9999693230219338,0.0
phase_003,100,0,1383.0,0.9999184201924484,0.0
phase_003,100,2,1434.0,0.9999684166663928,0.0
phase_003,100,1,1544.0,0.9999069327293668,0.0
phase_003,100,3,1580.0,0.9999875235233472,0.0
phase_003,100,4,1414.0,0.999909493017623,0.0
phase_003,100,5,1380.0,0.999646294901788,0.0
phase_003,100,8,1463.0,0.9999510134386532,0.0
phase_003,100,6,1335.0,0.999760049948074,0.0
phase_003,100,7,1415.0,0.9998888011024828,0.0
phase_003,100,9,1480.0,0.9998535214744634,0.0
phase_003,100,10,1436.0,0.9999766398465992,0.0
phase_003,100,11,1489.0,0.9999128611675362,0.0
phase_003,100,12,1449.0,0.9999787149319488,0.0
phase_003,100,15,1397.0,0.9999305567845508,0.0
phase_003,100,14,1486.0,0.9999473894940204,0.0
phase_003,100,13,1477.0,0.999798453727612,0.0
phase_003,100,16,1433.0,0.9999585711078502,0.0
phase_003,100,17,1445.0,0.9998187991136124,0.0
phase_003,100,19,1340.0,0.999872497392725,0.0
phase_003,100,18,1448.0,0.9999320933594148,0.0
phase_003,100,20,1406.0,0.9999570967081788,0.0
phase_003,100,21,1402.0,0.9998886426593364,0.0
phase_004,50,1,2852.0,0.9999646548386428,0.0
phase_004,50,0,2852.0,0.9999705937711172,0.0
phase_004,50,2,2852.0,0.9999826637180472,0.0
phase_004,50,3,2853.0,0.9999596693548852,0.0
phase_004,50,4,2857.0,0.999993995845414,0.0
phase_004,50,5,2858.0,0.999978488122389,0.0
phase_003,100,22,1598.0,0.999894276824227,0.0
phase_003,100,23,1393.0,0.9999874613182776,0.0
phase_003,100,25,1370.0,0.9998705550756526,0.0
phase_003,100,24,1443.0,0.9998665413333176,0.0
phase_003,100,26,1468.0,0.9999067935951816,0.0
phase_003,100,29,1427.0,0.999956858541196,0.0
phase_003,100,27,1366.0,0.9998744413812142,0.0
phase_003,100,28,1569.0,0.9999967822706224,0.0
phase_004,50,6,2859.0,0.9999623350275948,0.0
phase_004,50,7,2892.0,0.999981983946394,0.0
phase_004,50,8,2822.0,0.9999280617383186,0.0
phase_004,50,9,2864.0,0.9999188911539978,0.0
phase_004,50,10,2854.0,0.9999864929402772,0.0
phase_004,50,12,2847.0,0.9999723282121938,0.0
phase_004,50,11,2857.0,0.9999600312591154,0.0
phase_004,50,14,2853.0,0.9999593094854736,0.0
phase_004,50,13,2850.0,0.9999927576439442,0.0
phase_004,50,15,2855.0,0.9999912644534666,0.0
phase_004,50,16,2850.0,0.9999788916026344,0.0
phase_004,50,17,2853.0,0.999975798260884,0.0
phase_004,50,18,2861.0,0.9999890288564912,0.0
phase_004,50,19,2846.0,0.999968327815544,0.0
phase_004,50,20,2842.0,0.9999732520732482,0.0
phase_004,50,21,2861.0,0.9999569629168428,0.0
phase_004,50,22,2834.0,0.9999721457142376,0.0
phase_004,50,23,2863.0,0.9999757441279816,0.0
phase_004,50,24,2874.0,0.999982344270447,0.0
phase_004,50,25,2881.0,0.9999776333566196,0.0
phase_004,50,26,2859.0,0.9999828760422228,0.0
phase_004,50,28,2868.0,0.999965782757277,0.0
phase_004,50,29,2856.0,0.9999603128364956,0.0
phase_004,50,27,2865.0,0.9999700969459828,0.0
phase_004,100,0,2710.0,0.9999831305639252,0.0
phase_004,100,2,2709.0,0.9999494579174693,0.0
phase_004,100,1,2730.0,0.9999814584401628,0.0
phase_004,100,3,2717.0,0.9999720813018016,0.0
phase_004,100,4,2735.0,0.99997482025599,0.0
phase_004,100,5,2683.0,0.9999949733150169,0.0
phase_004,100,6,2717.0,0.9999811020513236,0.0
phase_004,100,7,2729.0,0.9999886785257622,0.0
phase_004,100,8,2717.0,0.999977484317549,0.0
phase_004,100,9,2705.0,0.9999712317449224,0.0
phase_004,100,10,2718.0,0.9999846443156438,0.0
phase_004,100,11,2671.0,0.9999869583171092,0.0
phase_004,100,12,2742.0,0.9999191111552024,0.0
phase_004,100,13,2751.0,0.999992275625912,0.0
phase_004,100,14,2728.0,0.9999764769310028,0.0
phase_004,100,16,2695.0,0.999961292126272,0.0
phase_004,100,17,2692.0,0.9999704213585354,0.0
phase_004,100,15,2734.0,0.9999907751878117,0.0
phase_005,50,0,2492.0,0.9999291262027696,0.0
phase_005,50,1,2466.0,0.9999547404410184,0.0
phase_005,50,3,2356.0,0.9998660013784768,0.0
phase_005,50,2,2383.0,0.9998667480743186,0.0
phase_004,100,18,2711.0,0.9999873699828576,0.0
phase_005,50,4,2518.0,0.999992034106769,0.0
phase_005,50,5,2499.0,0.9998762481685228,0.0
phase_004,100,19,2724.0,0.9999164167887452,0.0
phase_004,100,20,2726.0,0.99997020262011,0.0
phase_004,100,21,2674.0,0.9999616202800324,0.0
phase_004,100,22,2702.0,0.9999804464853196,0.0
phase_004,100,23,2717.0,0.9999605626818786,0.0
phase_004,100,24,2701.0,0.999991838498594,0.0
phase_004,100,26,2714.0,0.9999933573496558,0.0
phase_004,100,25,2728.0,0.9999978053067384,0.0
phase_004,100,27,2737.0,0.9999788753320216,0.0
phase_004,100,29,2704.0,0.9999135895984042,0.0
phase_004,100,28,2738.0,0.9999959168901624,0.0
phase_005,50,6,2381.0,0.9999543224453656,0.0
phase_005,50,7,2467.0,0.9999918074680798,0.0
phase_005,50,8,2474.0,0.9999925412807114,0.0
phase_005,50,9,2445.0,0.9999536948323586,0.0
phase_005,50,11,2467.0,0.9999544262631166,0.0
phase_005,50,10,2523.0,0.9999909535249176,0.0
phase_005,50,12,2552.0,0.999987996990578,0.0
phase_005,50,14,2484.0,0.9999849823108388,0.0
phase_005,50,13,2484.0,0.9998606835777664,0.0
phase_005,50,15,2464.0,0.9999964686486218,0.0
phase_005,50,16,2500.0,0.9999401646505496,0.0
phase_005,50,17,2504.0,0.9999844721135824,0.0
phase_005,50,18,2515.0,0.9999752027388988,0.0
phase_005,50,19,2439.0,0.9999092590574724,0.0
phase_005,50,20,2476.0,0.9999842865352164,0.0
phase_005,50,21,2427.0,0.9999490979331508,0.0
phase_005,50,22,2448.0,0.999958696973996,0.0
phase_005,50,23,2429.0,0.9999743043762904,0.0
phase_005,50,24,2516.0,0.9998237016354796,0.0
phase_005,50,25,2449.0,0.9998843882235346,0.0
phase_005,50,26,2451.0,0.9998565394942548,0.0
phase_005,50,27,2481.0,0.9999344471934352,0.0
phase_005,50,29,2444.0,0.9999761326282306,0.0
phase_005,50,28,2452.0,0.9999830342668672,0.0
phase_005,100,0,1966.0,0.999920688418436,0.0
phase_005,100,1,2040.0,0.9999924106900298,0.0
phase_005,100,2,1974.0,0.9999666828660092,0.0
phase_005,100,3,2113.0,0.9998873304036244,0.0
phase_005,100,4,2022.0,0.999941112788586,0.0
phase_005,100,5,1983.0,0.9999117321910844,0.0
phase_005,100,6,2004.0,0.9999636447210298,0.0
phase_005,100,7,1974.0,0.9999914735091604,0.0
phase_005,100,8,1953.0,0.9999717837857138,0.0
phase_005,100,10,2001.0,0.9999679003419504,0.0
phase_005,100,11,2039.0,0.9999887062382908,0.0
phase_005,100,9,2122.0,0.999923000427458,0.0
phase_005,100,12,1974.0,0.9998978578198184,0.0
phase_005,100,14,1992.0,0.999980628274872,0.0
phase_005,100,13,2024.0,0.9999811292933388,0.0
phase_005,100,15,2007.0,0.999984738232188,0.0
phase_005,100,16,2064.0,0.9999726756670444,0.0
phase_005,100,17,1906.0,0.9999224868488098,0.0
phase_006,50,0,835.0,0.9998016933866368,0.0
phase_006,50,1,780.0,0.9997799518366548,0.0
phase_006,50,3,715.0,0.9999184073946066,0.0
phase_006,50,2,733.0,0.9998894272289944,0.0
phase_006,50,4,710.0,0.9999246941680052,0.0
phase_006,50,5,853.0,0.9997943975923408,0.0
phase_005,100,18,2056.0,0.9999928736173008,0.0
phase_005,100,19,1974.0,0.9999568374094756,0.0
phase_005,100,20,2019.0,0.9999785767045156,0.0
phase_005,100,22,2017.0,0.9999763565836348,0.0
phase_005,100,21,2046.0,0.9999499380212998,0.0
