point_id,T,seed,p_viable,survival_depth,collapse_rate
phase_003,50,22,0.736,0.736,0.0003333333333332
phase_003,50,25,0.713,0.713,0.0006666666666667
phase_003,50,26,0.7106666666666667,0.7106666666666667,0.0003333333333332
phase_003,50,27,0.7323333333333333,0.7323333333333333,0.0006666666666667
phase_003,50,28,0.69,0.69,0.0003333333333332
phase_003,50,29,0.6946666666666667,0.6946666666666667,0.0
phase_003,100,0,0.461,0.461,0.0016666666666667
phase_003,100,2,0.478,0.478,0.0013333333333332
phase_003,100,1,0.5146666666666667,0.5146666666666667,0.0003333333333332
phase_003,100,3,0.5266666666666666,0.5266666666666666,0.0
phase_003,100,4,0.4713333333333333,0.4713333333333333,0.0006666666666667
phase_003,100,5,0.46,0.46,0.001
phase_003,100,8,0.4876666666666667,0.4876666666666667,0.002
phase_003,100,6,0.445,0.445,0.0006666666666667
phase_003,100,7,0.4716666666666667,0.4716666666666667,0.0
phase_003,100,9,0.4933333333333333,0.4933333333333333,0.001
phase_003,100,10,0.4786666666666667,0.4786666666666667,0.001
phase_003,100,11,0.4963333333333333,0.4963333333333333,0.0006666666666667
phase_003,100,12,0.483,0.483,0.001
phase_003,100,15,0.4656666666666667,0.4656666666666667,0.0003333333333332
phase_003,100,14,0.4953333333333333,0.4953333333333333,0.0006666666666667
phase_003,100,13,0.4923333333333333,0.4923333333333333,0.001
phase_003,100,16,0.4776666666666667,0.4776666666666667,0.001
phase_003,100,17,0.4816666666666667,0.4816666666666667,0.001
phase_003,100,19,0.4466666666666666,0.4466666666666666,0.001
phase_003,100,18,0.4826666666666667,0.4826666666666667,0.0003333333333332
phase_003,100,20,0.4686666666666667,0.4686666666666667,0.0003333333333332
phase_003,100,21,0.4673333333333333,0.4673333333333333,0.0
phase_004,50,1,0.9506666666666668,0.9506666666666668,0.0
phase_004,50,0,0.9506666666666668,0.9506666666666668,0.0
phase_004,50,2,0.9506666666666668,0.9506666666666668,0.0
phase_004,50,3,0.951,0.951,0.0
phase_004,50,4,0.9523333333333334,0.9523333333333334,0.0
phase_004,50,5,0.9526666666666668,0.9526666666666668,0.0
phase_003,100,22,0.5326666666666666,0.5326666666666666,0.001
phase_003,100,23,0.4643333333333333,0.4643333333333333,0.001
phase_003,100,25,0.4566666666666666,0.4566666666666666,0.0023333333333332
phase_003,100,24,0.481,0.481,0.0003333333333332
phase_003,100,26,0.4893333333333333,0.4893333333333333,0.0023333333333332
phase_003,100,29,0.4756666666666667,0.4756666666666667,0.0013333333333332
phase_003,100,27,0.4553333333333333,0.4553333333333333,0.0013333333333332
phase_003,100,28,0.523,0.523,0.0006666666666667
phase_004,50,6,0.953,0.953,0.0
phase_004,50,7,0.964,0.964,0.0
phase_004,50,8,0.9406666666666668,0.9406666666666668,0.0
phase_004,50,9,0.9546666666666668,0.9546666666666668,0.0
phase_004,50,10,0.9513333333333334,0.9513333333333334,0.0
phase_004,50,12,0.949,0.949,0.0
phase_004,50,11,0.9523333333333334,0.9523333333333334,0.0
phase_004,50,14,0.951,0.951,0.0
phase_004,50,13,0.95,0.95,0.0
phase_004,50,15,0.9516666666666668,0.9516666666666668,0.0
phase_004,50,16,0.95,0.95,0.0
phase_004,50,17,0.951,0.951,0.0
phase_004,50,18,0.9536666666666668,0.9536666666666668,0.0
phase_004,50,19,0.9486666666666668,0.9486666666666668,0.0
phase_004,50,20,0.9473333333333334,0.9473333333333334,0.0
phase_004,50,21,0.9536666666666668,0.9536666666666668,0.0
phase_004,50,22,0.9446666666666668,0.9446666666666668,0.0
phase_004,50,23,0.9543333333333334,0.9543333333333334,0.0
phase_004,50,24,0.958,0.958,0.0
phase_004,50,25,0.9603333333333334,0.9603333333333334,0.0
phase_004,50,26,0.953,0.953,0.0
phase_004,50,28,0.956,0.956,0.0
phase_004,50,29,0.952,0.952,0.0
phase_004,50,27,0.955,0.955,0.0
phase_004,100,0,0.9033333333333332,0.9033333333333332,0.0
phase_004,100,2,0.903,0.903,0.0
phase_004,100,1,0.91,0.91,0.0
phase_004,100,3,0.9056666666666666,0.9056666666666666,0.0
phase_004,100,4,0.9116666666666666,0.9116666666666666,0.0
phase_004,100,5,0.8943333333333333,0.8943333333333333,0.0
phase_004,100,6,0.9056666666666666,0.9056666666666666,0.0
phase_004,100,7,0.9096666666666666,0.9096666666666666,0.0
phase_004,100,8,0.9056666666666666,0.9056666666666666,0.0
phase_004,100,9,0.9016666666666666,0.9016666666666666,0.0
phase_004,100,10,0.906,0.906,0.0
phase_004,100,11,0.8903333333333333,0.8903333333333333,0.0
phase_004,100,12,0.914,0.914,0.0
phase_004,100,13,0.917,0.917,0.0
phase_004,100,14,0.9093333333333332,0.9093333333333332,0.0
phase_004,100,16,0.8983333333333333,0.8983333333333333,0.0
phase_004,100,17,0.8973333333333333,0.8973333333333333,0.0
phase_004,100,15,0.9113333333333332,0.9113333333333332,0.0
phase_005,50,0,0.8306666666666667,0.8306666666666667,0.0
phase_005,50,1,0.822,0.822,0.0
phase_005,50,3,0.7853333333333333,0.7853333333333333,0.0
phase_005,50,2,0.7943333333333333,0.7943333333333333,0.0
phase_004,100,18,0.9036666666666666,0.9036666666666666,0.0
phase_005,50,4,0.8393333333333334,0.8393333333333334,0.0
phase_005,50,5,0.833,0.833,0.0
phase_004,100,19,0.908,0.908,0.0
phase_004,100,20,0.9086666666666666,0.9086666666666666,0.0
phase_004,100,21,0.8913333333333333,0.8913333333333333,0.0
phase_004,100,22,0.9006666666666666,0.9006666666666666,0.0
phase_004,100,23,0.9056666666666666,0.9056666666666666,0.0
phase_004,100,24,0.9003333333333333,0.9003333333333333,0.0
phase_004,100,26,0.9046666666666666,0.9046666666666666,0.0
phase_004,100,25,0.9093333333333332,0.9093333333333332,0.0
