point_id,T,seed,transition_determinism,state_concentration,relation_rigidity,branching_collapse,lock_in_index
phase_002,100,18,0.3636584499344119,0.0004372540445999,0.0725,2.7111880725017024e-05,5.807264300531304e-07
phase_003,50,2,0.3156577988338193,0.0004859086491739,0.10625,1.162735040882712e-05,8.166192031783211e-07
phase_003,50,4,0.3091191155492154,0.0009510223490252,0.10125,1.2023662035787195e-05,1.4918043425982582e-06
phase_003,50,3,0.3063480504587156,0.0004587155963302,0.07625,6.331025097416898e-05,5.446545478595605e-07
phase_003,50,5,0.307238255872064,0.0004997501249375,0.09625,2.623007447155601e-05,7.429500193484974e-07
phase_002,100,19,0.3646389312146277,0.0004353504571179,0.075625,1.2199432490311857e-05,6.021938818807155e-07
phase_002,100,20,0.36322265625,0.0004401408450704,0.078125,3.869422407876133e-05,6.306747886566826e-07
phase_002,100,21,0.3638178168402777,0.0004340277777777,0.079375,2.2092643631732575e-05,6.301821432114493e-07
phase_002,100,22,0.3624913644214162,0.0004317789291882,0.074375,8.764492710067184e-05,5.957622153072018e-07
phase_002,100,23,0.3627206843940715,0.0004359197907585,0.069375,5.666953780547601e-05,5.574292011896399e-07
phase_002,100,25,0.363962592431492,0.0004349717268377,0.065625,3.95282033993638e-06,5.20091750828261e-07
phase_002,100,24,0.3640293250327653,0.000436871996505,0.07,4.15686946877436e-05,5.632306079005467e-07
phase_002,100,26,0.3602044059622972,0.0004384042086804,0.079375,9.410598839743044e-05,6.41586421662016e-07
phase_003,50,7,0.3065359972041006,0.0004659832246039,0.07625,5.180337202759233e-05,5.519795375785866e-07
phase_003,50,6,0.3061164653971203,0.0004644681839294,0.08125,4.0744343942411554e-05,5.834048561209369e-07
phase_003,50,8,0.3041526644263082,0.0004800768122899,0.09375,6.87560254997166e-05,6.94492531372742e-07
phase_003,50,10,0.3097187649593107,0.0004786979415988,0.09,0.0002626730392394,7.061221692763259e-07
phase_003,50,9,0.3035833709896069,0.000451875282422,0.07875,2.9300201512372223e-05,5.441728771881509e-07
phase_002,100,29,0.3638755434782609,0.0004347826086956,0.060625,5.566934496759046e-05,4.883715018798431e-07
phase_002,100,27,0.3629540760869565,0.0004347826086956,0.06625,9.810752983940851e-05,5.382147412556869e-07
phase_002,100,28,0.3625486413043478,0.0004347826086956,0.078125,2.0961451733247927e-05,6.190457286698976e-07
phase_003,50,11,0.3095638322520853,0.000463392029657,0.09,3.08921979932375e-05,6.499538240648102e-07
phase_003,50,13,0.3080789102865195,0.0004697040864255,0.07,9.586552146190196e-05,5.203430396377878e-07
phase_003,50,12,0.3044196637085474,0.0004670714619336,0.09375,9.596803570355306e-05,6.801409298409442e-07
phase_003,50,14,0.3033220046082949,0.0004608294930875,0.07875,9.986008270845836e-05,5.643410846141203e-07
phase_003,50,15,0.3071098974587606,0.0004458314757021,0.08125,4.899886693576772e-05,5.629433773635552e-07
phase_003,50,16,0.3115595518867924,0.0004716981132075,0.09375,0.000141780708303,7.097210063275633e-07
phase_003,50,17,0.3066632653061225,0.000453514739229,0.12625,6.254386961779268e-05,8.866175825518236e-07
phase_003,50,20,0.3095519312293923,0.0004710315591144,0.09875,3.633390073587428e-05,7.252283982981687e-07
phase_003,50,18,0.3049809292649098,0.0004623208506703,0.07125,6.619973809018909e-05,5.116431891567641e-07
phase_003,50,19,0.303784046692607,0.0004863813229571,0.075,0.0001604703329414,5.777911002978263e-07
phase_003,50,21,0.3152019961977186,0.0004752851711026,0.0925,6.560312941383817e-05,7.027031700392147e-07
phase_003,50,23,0.3132799808886765,0.0004777830864787,0.09375,9.193837003662608e-05,7.153857435373539e-07
phase_003,50,24,0.3048705009727626,0.0004863813229571,0.07125,1.441700914284194e-05,5.303971208732363e-07
phase_003,50,22,0.3085818614130435,0.0004528985507246,0.085,0.0003188961832633,6.385319242909154e-07
phase_003,50,25,0.3066830294530154,0.0004675081813931,0.10375,0.0001348508724883,7.631017715692468e-07
phase_003,50,26,0.3111544324577861,0.0004690431519699,0.085,9.415344483865162e-05,6.340068478603692e-07
phase_003,50,27,0.3115691852526172,0.0004551661356395,0.09625,5.0061258066946834e-05,6.895877330072192e-07
phase_003,50,28,0.3113846618357488,0.0004830917874396,0.0925,1.7297765467882975e-05,6.983286569280526e-07
phase_003,50,29,0.3146635076775432,0.0004798464491362,0.08375,3.067697806624636e-05,6.369032456444263e-07
phase_003,100,0,0.308683568329718,0.0007230657989877,0.07,8.157980755152394e-05,7.994033515926748e-07
phase_003,100,2,0.3092568863319386,0.000697350069735,0.071875,3.158333360731014e-05,7.818405151093333e-07
phase_003,100,1,0.3098813957253886,0.0006476683937823,0.079375,9.306727063318476e-05,8.15208293397215e-07
phase_003,100,3,0.311943829113924,0.000632911392405,0.0825,1.2476476652700796e-05,8.168735791112852e-07
phase_003,100,4,0.3116371994342291,0.0007072135785007,0.06875,9.050698237700328e-05,7.775517790469415e-07
phase_003,100,5,0.3087839673913043,0.0007246376811594,0.06875,0.000353705098212,8.483067763913536e-07
phase_003,100,8,0.3063905502392344,0.0006835269993164,0.093125,4.898656134677548e-05,9.853998763067683e-07
phase_003,100,6,0.3082560861423221,0.0007490636704119,0.0875,0.0002399500519258,1.065607820785755e-06
phase_003,100,7,0.3118533568904593,0.0007067137809187,0.0775,0.0001111988975173,8.785226200875078e-07
phase_003,100,9,0.3077081925675675,0.0006756756756756,0.078125,0.0001464785255366,8.42606601053984e-07
phase_003,100,10,0.3085088788300836,0.0006963788300835,0.09125,2.336015340076436e-05,9.85221848466034e-07
