kappa,variant_id,split,alpha,T,singleton_fraction,small_fiber_fraction,macro_path_entropy,macro_node_entropy
random_matched_predictive_kmeans_no_COM_k8,noise_test_005,test,0.525,1500,0.9992616712766339,1.0,11.547567973502055,2.9997459224077865
all_one_diagnostic,noise_test_005,test,0.525,2400,0.0,0.0,0.0,0.0
boundary_v2_regime_sequence,noise_test_005,test,0.525,2400,0.41945679004293884,0.6486217364656253,1.2282978364267032,0.4819075872491533
center_of_mass,noise_test_005,test,0.525,2400,0.5723003412101769,0.8709797109059125,9.380653923748435,2.1130259785814447
identity_diagnostic,noise_test_005,test,0.525,2400,1.0,1.0,11.549105724012847,7.656347375682248
joint_basin,noise_test_005,test,0.525,2400,0.5738431407739232,0.866226412449092,7.517551249979479,1.6864038287713683
predictive_kmeans_k13,noise_test_005,test,0.525,2400,0.712371095831763,0.9388503343598519,10.022644339289236,2.8475218558672224
predictive_kmeans_k21,noise_test_005,test,0.525,2400,0.8661376417290267,0.9898338953200116,11.026655254520536,3.5046733973783417
predictive_kmeans_k5,noise_test_005,test,0.525,2400,0.4064491633476414,0.7090867456452385,5.764515637392741,1.6675520828676447
predictive_kmeans_k8,noise_test_005,test,0.525,2400,0.5657980890194897,0.8528774188951735,7.806567700236169,2.1507778362876433
predictive_kmeans_no_COM_k13,noise_test_005,test,0.525,2400,0.7266488720969774,0.9553455282144243,10.35136571902139,3.0084379849067817
predictive_kmeans_no_COM_k8,noise_test_005,test,0.525,2400,0.5601524305084907,0.8620791899423206,7.930552040419121,2.157624239497116
random_matched_predictive_kmeans_k13,noise_test_005,test,0.525,2400,0.9999732921491143,1.0,11.549052326137861,3.70002169012759
random_matched_predictive_kmeans_k21,noise_test_005,test,0.525,2400,0.9999966622162885,1.0,11.54909905067284,4.391635901508543
random_matched_predictive_kmeans_k5,noise_test_005,test,0.525,2400,0.9812473849208263,1.0,11.511750324151366,2.3217843325377623
random_matched_predictive_kmeans_k8,noise_test_005,test,0.525,2400,0.9992683825878222,1.0,11.547643999124272,2.9997461226795794
random_matched_predictive_kmeans_no_COM_k13,noise_test_005,test,0.525,2400,0.9999732921491143,1.0,11.549052326137861,3.70002169012759
random_matched_predictive_kmeans_no_COM_k8,noise_test_005,test,0.525,2400,0.9992683825878222,1.0,11.547643999124272,2.9997461226795794
all_one_diagnostic,noise_test_006,test,0.525,1500,0.0,0.0,0.0,0.0
boundary_v2_regime_sequence,noise_test_006,test,0.525,1500,0.23066527916527918,0.3921740481740482,1.456228647222206,0.5137963630833903
center_of_mass,noise_test_006,test,0.525,1500,0.41236509754560946,0.7143845451927117,6.539526442850892,1.9811312917797586
identity_diagnostic,noise_test_006,test,0.525,1500,0.9999966633299967,1.0,11.549099015896992,7.2399454569633015
joint_basin,noise_test_006,test,0.525,1500,0.4062656320337304,0.6868515563187789,5.604852841754884,1.5194632585599757
predictive_kmeans_k13,noise_test_006,test,0.525,1500,0.5145067571901358,0.8101184196122294,7.958922863138692,2.860023784759006
predictive_kmeans_k21,noise_test_006,test,0.525,1500,0.6252130530731971,0.8924739278753872,9.278225826356922,3.471362836451582
predictive_kmeans_k5,noise_test_006,test,0.525,1500,0.38287681343807806,0.6725838346105809,4.2249280983279345,1.5501413447562211
predictive_kmeans_k8,noise_test_006,test,0.525,1500,0.4326060697791838,0.7315309531332858,6.2952023863703825,2.1270273402379454
predictive_kmeans_no_COM_k13,noise_test_006,test,0.525,1500,0.5109068107254853,0.8150791229496055,7.952024755114466,2.9396673346159896
predictive_kmeans_no_COM_k8,noise_test_006,test,0.525,1500,0.4211624672969244,0.7200108566730019,6.306516944944908,2.1585473453736386
random_matched_predictive_kmeans_k13,noise_test_006,test,0.525,1500,0.9999732988201769,1.0,11.549052302469317,3.7000240896793746
random_matched_predictive_kmeans_k21,noise_test_006,test,0.525,1500,0.9999966611018364,1.0,11.549099011443648,4.391636979006341
random_matched_predictive_kmeans_k5,noise_test_006,test,0.525,1500,0.981219213728813,1.0,11.511686999994629,2.321784735480481
random_matched_predictive_kmeans_k8,noise_test_006,test,0.525,1500,0.9992650549461242,1.0,11.547637326699018,2.9997457661029667
random_matched_predictive_kmeans_no_COM_k13,noise_test_006,test,0.525,1500,0.9999732988201769,1.0,11.549052302469317,3.7000240896793746
random_matched_predictive_kmeans_no_COM_k8,noise_test_006,test,0.525,1500,0.9992650549461242,1.0,11.547637326699018,2.9997457661029667
all_one_diagnostic,noise_test_006,test,0.525,2400,0.0,0.0,0.0,0.0
boundary_v2_regime_sequence,noise_test_006,test,0.525,2400,0.1525396825396825,0.31402777777777774,1.1328318023051052,0.4674561681609818
center_of_mass,noise_test_006,test,0.525,2400,0.423112326867575,0.7337725523048079,6.988874009695666,1.9025812489791718
identity_diagnostic,noise_test_006,test,0.525,2400,1.0,1.0,11.549245363595947,6.89275319845774
