rule,T,ring_size,confirmed,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,motif_type,confirmed_fraction,depends_left,depends_center,depends_right,relation_degree,relation_complete,self_only,no_local_self_relation,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,confirmed_candidate
71,597.3333333333334,384.0,0.0,0.49926067335151597,0.17463048299153647,0.4568755826726936,0.00016276041666666666,0.00016276041666666666,0.0,0.0,1.0,601.228515625,601.3333333333334,1.0,0.7877777513378458,0.9998372395833334,1.0,1.0091145833333333,0.0,-6.357828776041667e-06,1.9375,0.9998372395833334,0.49926067335151597,0.500739326648484,54.46918741241118,0.0,1.0,1.0,0.3499999999999999,0.4568755826726936,0.2809642155965169,0.719035784403483,0.8037400218076471,0.2809642155965169,global_periodic_artifact,0.0,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False,False
72,597.3333333333334,384.0,0.0,0.028755874364075267,0.028382619222005207,0.14457606501377376,0.3651529947916667,0.3651529947916667,0.0,1.0,1.0,382.3896484375,452.0,1.6458333333333333,0.22450821623703718,0.6348470052083334,1.0,0.7591145833333334,0.0,-0.013312021891276041,1.0,0.6348470052083334,0.028755874364075267,0.9712441256359248,125000055.56898497,1.0,1.0,1.0,1.0,0.14457606501377376,0.028382619222005207,0.9716173807779948,0.32112722402710236,0.01189575006911907,static_object,0.0,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False,False
73,597.3333333333334,384.0,0.375,0.43453562105414556,0.4540715217590332,0.8427458840418276,8.138020833333333e-05,8.138020833333333e-05,0.069091796875,0.0,0.19547526041666666,378.4173177083333,600.9166666666666,1.125,1.2907777456984377,0.9237467447916666,0.7281436920166016,1.0087076822916667,0.3263467152913411,-0.013038317362467447,0.5625,0.9308268229166666,0.43453562105414556,0.5654643789458544,43.928852792377704,0.0,0.19547526041666666,0.06917317708333333,0.024210611979166668,0.8427458840418276,0.44350528717041016,0.5564947128295898,0.5358258581850293,0.4335985626515813,emitter,0.375,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,True
75,597.3333333333334,384.0,0.0,0.500066970908733,0.4918958346048991,0.8908688774892587,8.138020833333333e-05,8.138020833333333e-05,0.0,0.0,8.138020833333333e-05,204.8125,301.1666666666667,1.4375,1.9878630563138442,0.999755859375,0.5573487281799316,0.6223958333333334,0.4854900042215983,-0.004762490590413411,0.0,0.9999186197916666,0.500066970908733,0.4999330290912671,34.074358517870145,0.0,8.138020833333333e-05,8.138020833333333e-05,2.8483072916666664e-05,0.8908688774892587,0.48764610290527344,0.5123538970947266,0.4863286043791688,0.48763790182537475,emitter,0.0,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,False
76,597.3333333333334,384.0,0.0,0.15255846211164695,0.1525119145711263,0.42954431851298813,0.000244140625,0.000244140625,0.0,1.0,1.0,601.103515625,601.3333333333334,1.1875,0.49553161241886096,0.999755859375,1.0,1.0091145833333333,0.0,-5.086263020833333e-06,1.0,0.999755859375,0.15255846211164695,0.847441537888353,375000099.54355186,1.0,1.0,1.0,1.0,0.42954431851298813,0.27335484822591144,0.7266451517740885,0.8146837475853372,0.24275704626331418,static_object,0.0,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,False
77,597.3333333333334,384.0,0.0,0.5003207326668985,0.5005985895792643,0.9346935996483224,8.138020833333333e-05,8.138020833333333e-05,0.0,0.9999186197916666,1.0,601.1565755208334,601.3333333333334,1.0,0.23819410568033003,0.9999186197916666,0.9759209950764974,1.0091145833333333,0.024079004923502605,-0.00492095947265625,1.1041666666666667,0.9999186197916666,0.5003207326668985,0.4996792673331015,312500139.68180555,0.9999186197916666,1.0,0.8958333333333334,0.9634887695312501,0.9346935996483224,0.9562466939290365,0.04375330607096354,0.9488359299946084,0.9561667021054404,static_object,0.0,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False,False
78,597.3333333333334,384.0,0.0,0.4041049210614683,0.4924972852071126,0.8772839161990448,0.0,0.0,0.0,0.8958333333333334,0.9552408854166666,601.2620442708334,601.3333333333334,1.0,0.3433187574868355,1.0,0.9394501050313314,1.0091145833333333,0.06054989496866862,-0.007150014241536458,0.9583333333333334,1.0,0.4041049210614683,0.5958950789385317,312500114.23946536,0.8958333333333334,0.9552408854166666,0.6875,0.8229166666666666,0.8772839161990448,0.9185295104980469,0.08147048950195312,0.9147216116926636,0.9049518367981553,static_object,0.0,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,False
86,597.3333333333334,384.0,0.0,0.4386763341092521,0.5033855438232422,0.9344882554380112,0.0,0.0,0.0,0.0,0.0,231.99479166666666,346.0,1.25,1.8678611513779189,0.9998372395833334,0.5549724896748861,0.6844889322916666,0.48722124099731445,-0.005862712860107422,0.0,1.0,0.4386763341092521,0.5613236658907479,39.246802363915165,0.0,0.0,0.0,0.0,0.9344882554380112,0.5141169230143229,0.48588307698567706,0.5351767273425615,0.5137990567030294,emitter,0.0,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,False
89,597.3333333333334,384.0,0.0,0.5002500559065644,0.49099890391031903,0.8916974032402325,8.138020833333333e-05,8.138020833333333e-05,0.0,0.0,8.138020833333333e-05,193.68326822916666,295.1666666666667,1.375,1.9855917014889555,0.9998372395833334,0.5587264696756998,0.6155598958333334,0.486730416615804,-0.0021065076192220054,0.0,0.9999186197916666,0.5002500559065644,0.49974994409343565,33.815260883406076,0.0,8.138020833333333e-05,8.138020833333333e-05,2.8483072916666664e-05,0.8916974032402325,0.48990440368652344,0.5100955963134766,0.48754264048576856,0.48989555333688495,emitter,0.0,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,False
90,597.3333333333334,384.0,0.020833333333333332,0.09819425180050155,0.0,0.26343037575470013,1.0,1.0,0.0,0.874267578125,0.8333333333333334,169.93815104166666,187.25,1.6875,1.1998660642435406,1.0,0.9773006439208984,0.4263509114583333,0.022699356079101562,-0.036458333333333336,0.8333333333333334,0.0,0.09819425180050155,0.9018057481994984,0.0,0.874267578125,0.8333333333333334,0.9007975260416666,0.8835530598958333,0.26343037575470013,0.0,1.0,0.24574988364300523,0.0,static_object,0.020833333333333332,True,False,True,2,True,False,True,0.0,0.0,0.0,False,False,False
94,597.3333333333334,384.0,0.0,0.42142231460513674,0.4629068374633789,0.8440625928037453,0.12776692708333334,0.12776692708333334,0.000244140625,0.3194986979166667,0.82958984375,499.7080078125,520.25,1.125,0.5338681867391345,0.99951171875,0.9536452293395996,0.8815104166666666,0.049498399098714195,-0.008144696553548178,2.4166666666666665,0.8719889322916666,0.42142231460513674,0.5785776853948633,104166747.84873879,0.3194986979166667,0.82958984375,0.6351725260416666,0.4299845377604166,0.8440625928037453,0.7892335255940756,0.21076647440592447,0.7433910205102908,0.7824263450714541,global_periodic_artifact,0.0,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,False
99,597.3333333333334,384.0,0.10416666666666667,0.4982160545046221,0.47464895248413086,0.8756676956126831,0.0,0.0,0.0,0.0,0.19783528645833334,601.2958984375,601.3333333333334,1.0729166666666667,0.5422506146021494,1.0,0.767121156056722,1.0091145833333333,0.2969943682352702,-0.005877176920572917,0.375,1.0,0.4982160545046221,0.501783945495378,187500140.30736423,0.0,0.19783528645833334,0.3387044270833333,0.11854654947916665,0.8756676956126831,0.8620637257893881,0.13793627421061197,0.8375472581245288,0.8618039348924187,emitter,0.10416666666666667,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False,False
102,597.3333333333334,384.0,0.08333333333333333,0.15359923144009566,0.022655804951985676,0.41118460964927445,0.8333333333333334,0.8333333333333334,0.0,0.6648763020833334,0.5,183.400390625,215.33333333333334,1.6666666666666667,1.2170845037590168,0.9998372395833334,0.9285370508829752,0.47802734375,0.07227865854899089,-0.026233673095703125,0.5,0.16666666666666666,0.15359923144009566,0.8464007685599043,3.1825553853599833,0.6648763020833334,0.5,0.6773274739583334,0.6692342122395832,0.41118460964927445,0.024463653564453125,0.9755363464355469,0.38059510192206364,0.022836419391745702,static_object,0.08333333333333333,False,True,True,1,True,False,False,0.5,0.0,1.0,False,False,False
109,597.3333333333334,384.0,0.375,0.5649921602304018,0.5519269307454427,0.8506286627264434,0.059814453125,0.059814453125,0.0,0.0,0.2838541666666667,411.5315755208333,601.25,1.2083333333333333,1.5024682563423104,0.937744140625,0.7246691385904948,1.009033203125,0.34792137145996094,-0.012699445088704428,0.6666666666666666,0.940185546875,0.5649921602304018,0.4350078397695982,64.80931899653372,0.0,0.2838541666666667,0.059814453125,0.02093505859375,0.8506286627264434,0.45276832580566406,0.5472316741943359,0.39759242138244527,0.4431934769873768,emitter,0.375,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,True
118,597.3333333333334,384.0,0.125,0.5004109490808911,0.5864512125651041,0.8418721208472011,0.0693359375,0.0693359375,0.0,0.0693359375,0.8089192708333334,558.359375,601.3333333333334,2.0,1.085611923413847,0.9300944010416666,0.8018309275309244,1.0091145833333333,0.5786898930867513,-0.0028009414672851562,2.28125,0.9306640625,0.5004109490808911,0.49958905091910893,20833516.416137826,0.0693359375,0.8089192708333334,0.07853190104166667,0.07255452473958333,0.8418721208472011,0.5523751576741537,0.4476248423258464,0.4382948860766665,0.5092720511741994,global_periodic_artifact,0.125,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,False
122,597.3333333333334,384.0,0.125,0.30236373277083367,0.2965041796366374,0.7047938600889564,0.262451171875,0.262451171875,0.0005696614583333334,0.24080403645833334,0.3568522135416667,235.93391927083334,362.8333333333333,1.7708333333333333,1.5403425383736813,0.9939778645833334,0.7531711260477701,0.6764322916666666,0.28053998947143555,-0.017067114512125652,0.4166666666666667,0.7369791666666666,0.30236373277083367,0.6976362672291664,104166675.5660296,0.24080403645833334,0.3568522135416667,0.3264973958333333,0.27079671223958335,0.7047938600889564,0.2381738026936849,0.7618261973063151,0.36989737716110843,0.22783708934384297,emitter,0.125,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,False
126,597.3333333333334,384.0,0.16666666666666666,0.20810030085418085,0.18563922246297201,0.4953273997590651,0.47705078125,0.47705078125,0.0015462239583333333,0.4557291666666667,0.428466796875,157.33626302083334,262.9166666666667,2.375,1.198423529180789,0.8695475260416666,0.8102877934773763,0.5089518229166666,0.2111186981201172,-0.02284383773803711,0.3333333333333333,0.5214029947916666,0.20810030085418085,0.7918996991458193,6.762248780296063,0.4557291666666667,0.428466796875,0.478759765625,0.46378987630208335,0.4953273997590651,0.09070173899332683,0.9092982610066732,0.20147772450515763,0.08013982547161061,emitter,0.16666666666666666,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False,False
128,597.3333333333334,384.0,0.0,0.0004470396693354317,0.0,0.0013174226245651255,1.0,1.0,0.0,1.0,1.0,4.060221354166667,5.666666666666667,1.2291666666666667,0.8853560780052178,0.0,1.0,0.012776692708333334,0.0,-0.036458333333333336,1.0,0.0,0.0004470396693354317,0.9995529603306647,0.0,1.0,1.0,1.0,1.0,0.0013174226245651255,0.0,1.0,0.0068680266815715095,0.0,static_object,0.0,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False,False
129,597.3333333333334,384.0,0.16666666666666666,0.7842331830242192,0.8089179992675781,0.5206338854041022,0.0015462239583333333,0.0015462239583333333,0.3522135416666667,0.3304036458333333,0.3257649739583333,152.50748697916666,248.08333333333334,3.2083333333333335,2.4282562576157205,0.8670247395833334,0.8063851992289225,0.4503580729166667,0.21688445409138998,-0.02251148223876953,0.3229166666666667,0.646240234375,0.7842331830242192,0.21576681697578085,7.822283989649976,0.3304036458333333,0.3257649739583333,0.3765462239583333,0.34655354817708334,0.5206338854041022,0.09414895375569661,0.9058510462443033,0.10167897846055186,0.08270788730872873,emitter,0.16666666666666666,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False,False
