rule,ic_family,T,ring_size,motif_type,confirmed,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index
145,short_random_block,1024,256,global_periodic_artifact,False,0.4096270305354421,0.3756256103515625,0.9373084318865958,0.0,0.0,0.0,0.0,1.0,1028.0,1028.0,1.0,0.6986620790587819,1.0,0.8361663818359375,1.00390625,0.6669158935546875,0.001953125,3.0,1.0,0.4096270305354421,0.5903729694645579,160.50092304387127,0.0,1.0,0.0,0.0,0.9373084318865958,0.58331298828125,0.41668701171875,0.7175268943137011,0.5568100963839083
145,bernoulli_050,1024,512,global_periodic_artifact,False,0.36001939727038873,0.35419464111328125,0.9416616808962979,0.0,0.0,0.0,0.0,0.96484375,815.453125,1028.0,1.0,0.5974599600692462,0.92578125,0.8810958862304688,1.00390625,0.6333541870117188,0.00188446044921875,3.0,1.0,0.36001939727038873,0.6399806027296113,66.05273335936292,0.0,0.96484375,0.0,0.0,0.9416616808962979,0.6171112060546875,0.3828887939453125,0.8523955676706322,0.5790992172131186
145,bernoulli_025,1024,512,global_periodic_artifact,False,0.36058283363900534,0.3628387451171875,0.9418801545036455,0.0,0.0,0.0,0.0,0.98046875,801.546875,1028.0,1.0,0.5959075322703165,0.9296875,0.8885879516601562,1.00390625,0.6383285522460938,0.00200653076171875,3.0,1.0,0.36058283363900534,0.6394171663609947,62.17332753560657,0.0,0.98046875,0.0,0.0,0.9418801545036455,0.6160430908203125,0.3839569091796875,0.8511610795407645,0.578757171482404
131,bernoulli_050,256,256,emitter,True,0.37061900573018,0.3582916259765625,0.9488005110618157,0.0,0.0,0.0,0.0,0.59765625,241.359375,260.0,1.0,0.8299658995141067,0.984375,0.798065185546875,1.015625,0.59368896484375,-0.012451171875,3.0,1.0,0.37061900573018,0.6293809942698201,49.13602788833418,0.0,0.59765625,0.0,0.0,0.9488005110618157,0.604278564453125,0.395721435546875,0.7980015979868867,0.5699307790826972
145,g0_motif_seed,512,512,global_periodic_artifact,False,0.5097618177387915,0.373046875,0.8868435248955129,0.0,0.0,0.0,0.0,1.0,516.0,516.0,1.0,0.6196236851686073,1.0,0.810546875,1.0078125,0.666015625,-0.03125,3.0,1.0,0.5097618177387915,0.4902381822612085,528.8599129972743,0.0,1.0,0.0,0.0,0.8868435248955129,0.58984375,0.41015625,0.5574176258925478,0.5616914035026745
145,g0_candidate_window_seed,512,256,global_periodic_artifact,False,0.42802821823030884,0.37213134765625,0.9355059389541047,0.0,0.0,0.0,0.0,1.0,516.0,516.0,1.0,0.752959103949764,1.0,0.792816162109375,1.0078125,0.655059814453125,-0.0013580322265625,3.0,1.0,0.42802821823030884,0.5719717817696912,112.6382050326696,0.0,1.0,0.0,0.0,0.9355059389541047,0.587493896484375,0.412506103515625,0.6834236193628827,0.5600729379799881
145,periodic_perturbation,1024,512,global_periodic_artifact,False,0.7224827464033917,0.6840744018554688,0.4598493796498744,0.0,0.0,0.49609375,0.49609375,1.0,520.0,1028.0,1.0,0.5926522079536914,0.50390625,0.9153594970703125,1.00390625,0.3365936279296875,-0.00676727294921875,3.0,0.50390625,0.7224827464033917,0.2775172535966083,1.6124598146237041,0.49609375,1.0,0.49609375,0.49609375,0.4598493796498744,0.2932891845703125,0.7067108154296875,0.33147285916996866,0.14105271863878793
131,bernoulli_050,256,512,emitter,True,0.36977433972785445,0.35729217529296875,0.9487168282811637,0.0,0.0,0.0,0.0,0.5,183.734375,260.0,1.0,0.8131139212670225,0.90234375,0.7853469848632812,1.015625,0.5813980102539062,-0.008819580078125,1.5,1.0,0.36977433972785445,0.6302256602721455,67.19680570081171,0.0,0.5,0.0,0.0,0.9487168282811637,0.6055145263671875,0.3944854736328125,0.801434461857297,0.5707313206262158
131,bernoulli_025,256,256,emitter,True,0.3692177501633937,0.364959716796875,0.9470453154217608,0.0,0.0,0.0,0.0,0.640625,240.0,260.0,1.0,0.7815477188822245,0.984375,0.802947998046875,1.015625,0.583648681640625,-0.01092529296875,3.0,1.0,0.3692177501633937,0.6307822498366062,49.22738011770293,0.0,0.640625,0.0,0.0,0.9470453154217608,0.60687255859375,0.39312744140625,0.8094063547605104,0.5719238955888833
145,g0_motif_seed,1024,256,global_periodic_artifact,False,0.39983993902439025,0.37109375,0.9385489590576176,0.0,0.0,0.0,0.0,1.0,1028.0,1028.0,1.0,0.6002460353452383,1.0,0.859375,1.00390625,0.6640625,0.001953125,3.0,1.0,0.39983993902439025,0.6001600609756097,545.2250830935068,0.0,1.0,0.0,0.0,0.9385489590576176,0.59375,0.40625,0.7502799072171396,0.5643757867981298
131,bernoulli_050,512,256,global_periodic_artifact,False,0.3641269378959552,0.3642730712890625,0.9441621507347109,0.0,0.0,0.0,0.0,0.91796875,487.125,516.0,1.0,0.6881877030087954,0.984375,0.840667724609375,1.0078125,0.637664794921875,-0.002044677734375,3.0,1.0,0.3641269378959552,0.6358730621040448,48.64842640785679,0.0,0.91796875,0.0,0.0,0.9441621507347109,0.621917724609375,0.378082275390625,0.8321250517216949,0.5843815144576775
145,two_cell_seed,1024,512,global_periodic_artifact,False,0.4517949695121951,0.376953125,0.9098214003382159,0.0,0.0,0.0,0.0,1.0,1028.0,1028.0,1.0,0.6013943695901118,1.0,0.833984375,1.00390625,0.666015625,0.001953125,3.0,1.0,0.4517949695121951,0.5482050304878049,624.7472720190646,0.0,1.0,0.0,0.0,0.9098214003382159,0.58203125,0.41796875,0.6510381712459972,0.5555235042152087
145,g0_candidate_window_seed,512,512,global_periodic_artifact,False,0.5048885977523834,0.3758392333984375,0.8959944293848584,0.0,0.0,0.0,0.0,1.0,515.984375,516.0,1.0,0.7216184214407882,1.0,0.8057403564453125,1.0078125,0.649017333984375,-0.0121612548828125,3.0,1.0,0.5048885977523834,0.4951114022476166,204.54475652266333,0.0,1.0,0.0,0.0,0.8959944293848584,0.5819854736328125,0.4180145263671875,0.5550537283229364,0.5555113742820648
131,bernoulli_025,256,512,emitter,True,0.3694209532978934,0.366241455078125,0.9477950490522898,0.0,0.0,0.0,0.0,0.61328125,187.546875,260.0,1.0,0.7804412135024634,0.9375,0.8062286376953125,1.015625,0.5858917236328125,-0.00872802734375,3.0,1.0,0.3694209532978934,0.6305790467021066,67.58925513613485,0.0,0.61328125,0.0,0.0,0.9477950490522898,0.6076812744140625,0.3923187255859375,0.8074792899629479,0.573086899608982
