world,T,n_sites,seed,p_viable,viable_future_entropy,viability_weighted_richness,noncollapse_diversity,state_diversity,distinction_entropy,distinction_survival,nontrivial_future_classes
W3_relation_only,50,16,10,0.986,10.8957480960128,10.74320762266862,1.0,1.0,0.9995989174526856,1.0,1923.0
W3_relation_only,50,16,11,0.986,10.897393690585735,10.744830178917535,0.99875,0.99875,0.9995437386884094,0.99875,1925.0
W3_relation_only,50,16,13,0.988,10.909523665035,10.77860938105458,0.99925,0.99925,0.9997425289214744,0.99925,1938.0
W3_relation_only,50,16,12,0.9885,10.897121997660337,10.771805094687242,0.99975,0.99975,0.9994992912171432,0.99975,1926.0
W3_relation_only,50,16,14,0.988,10.896995887959005,10.766231937303496,1.0,1.0,0.9996250692651018,1.0,1926.0
W3_relation_only,50,16,15,0.99,10.898759462441715,10.7897718678173,0.99975,0.99975,0.9996047055608054,0.99975,1928.0
W3_relation_only,50,16,16,0.988,10.90003232520597,10.769231937303498,0.99975,0.99975,0.9997840655322786,0.99975,1929.0
W3_relation_only,50,16,17,0.9825,10.890440823609076,10.699858109195915,0.99975,0.99975,0.9998477390148844,0.99975,1916.0
W3_relation_only,50,16,18,0.991,10.906951697488122,10.808789132210729,0.99975,0.99975,0.999568977672618,0.99975,1937.0
W3_relation_only,50,16,19,0.989,10.891429453426287,10.771623729438598,0.9995,0.9995,0.9996248985025704,0.9995,1921.0
W3_relation_only,100,16,1,0.9775,10.877825302675111,10.633074233364924,0.9995,0.9995,0.99981437183015,0.9995,1903.0
W3_relation_only,100,16,0,0.976,10.878096514047437,10.617022197710297,1.0,1.0,0.9996191891216792,1.0,1901.0
W3_relation_only,100,16,2,0.981,10.881659332589187,10.674907805269994,0.99975,0.99975,0.9997587777730816,0.99975,1907.0
W3_relation_only,100,16,3,0.9795,10.89570010620727,10.672338254030022,0.9995,0.9995,0.9995996816409072,0.9995,1920.0
W3_relation_only,100,16,4,0.9795,10.88753267384382,10.664338254030024,0.99975,0.99975,0.9996488388560124,0.99975,1912.0
W3_relation_only,100,16,5,0.977,10.877967054936656,10.627773812673112,0.999,0.999,0.999691700933857,0.999,1901.0
W3_relation_only,100,16,6,0.9785,10.881285475476068,10.647337837753332,0.99975,0.99975,0.9992609732739444,0.99975,1905.0
W3_relation_only,100,16,7,0.974,10.876694915365544,10.59390084756604,0.9995,0.9995,0.9997765857981948,0.9995,1899.0
