condition,kappa,alpha,T,seed,singleton_fraction,small_fiber_fraction,component_balance,viable_propagation_index,estimator_warning
coupled,basin_transition_profile,0.5,900,2,0.0454545454545454,0.2272727272727272,0.6053396094789918,0.5539965631362399,
product,center_of_mass,0.5,900,2,0.1111111111111111,0.1111111111111111,0.4811407620376306,0.1878821174103887,
product,component_A_only,0.5,900,2,0.0625,0.0625,0.3393926296725055,1.251510321917364e-05,
product,component_B_only,0.5,900,2,0.0,0.1666666666666666,0.6552342942831725,0.6494548001904478,
product,time_shuffled_COM,0.5,900,2,0.1111111111111111,0.1111111111111111,0.4811407620376306,0.1773212558839449,
product,random_balanced_k_COM_cardinality,0.5,900,2,0.0,0.0,0.3493819840971537,0.3493819840971537,
product,hash_high_cardinality,0.5,900,2,0.3144453312051077,0.6472466081404629,0.1027646361820464,0.0,
product,joint_basin,0.5,900,2,0.25,0.25,1.0,0.746877625,
product,boundary_v2_regime_sequence,0.5,900,2,0.0,0.0,1.0,0.99301,
product,basin_transition_profile,0.5,900,2,0.1818181818181818,0.2727272727272727,0.8895979376804233,0.7087874803370363,
shuffled,center_of_mass,0.5,900,2,0.0,0.2,0.4802784242388072,0.217575057265585,
shuffled,component_A_only,0.5,900,2,0.0,0.0,0.3367826148675064,5.297429494517694e-06,
shuffled,component_B_only,0.5,900,2,0.0,0.1666666666666666,0.6599333613977336,0.6575100816916093,
shuffled,time_shuffled_COM,0.5,900,2,0.0,0.2,0.4802784242388072,0.2036221249571144,
shuffled,random_balanced_k_COM_cardinality,0.5,900,2,0.0,0.0,0.3458087558533698,0.3458087558533698,
shuffled,hash_high_cardinality,0.5,900,2,0.3276561232765612,0.635036496350365,0.1020999493693871,0.0,
shuffled,joint_basin,0.5,900,2,0.25,0.25,1.0,0.7447470090481565,
shuffled,boundary_v2_regime_sequence,0.5,900,2,0.0,0.0,1.0,0.9934970140682166,
shuffled,basin_transition_profile,0.5,900,2,0.1818181818181818,0.1818181818181818,0.8699640099569557,0.6967584523563242,
time_shuffled,center_of_mass,0.5,900,2,0.0,0.0,0.7091132307183198,0.3458583845179558,
time_shuffled,component_A_only,0.5,900,2,0.0625,0.0625,0.5086554219676019,0.0018566997406546,
time_shuffled,component_B_only,0.5,900,2,0.0,0.0,0.7746334384911471,0.7692048042681238,
time_shuffled,time_shuffled_COM,0.5,900,2,0.0,0.0,0.7091132307183198,0.334479868313864,
time_shuffled,random_balanced_k_COM_cardinality,0.5,900,2,0.0,0.0,0.5030656252058672,0.5030656252058672,
time_shuffled,hash_high_cardinality,0.5,900,2,0.3659761456371626,0.7156308851224106,0.1524102687787476,0.0,
time_shuffled,joint_basin,0.5,900,2,0.0,0.0,1.0,0.9901668734931452,
time_shuffled,boundary_v2_regime_sequence,0.5,900,2,0.0,0.0,1.0,0.9926600027041392,
time_shuffled,basin_transition_profile,0.5,900,2,0.1304347826086956,0.2608695652173913,0.5144717903009269,0.4284033201289536,
independent_alpha0,center_of_mass,0.5,900,2,0.0,0.1111111111111111,0.4781885566752454,0.2300627310676973,
independent_alpha0,component_A_only,0.5,900,2,0.0588235294117647,0.1176470588235294,0.334208874980914,8.073437921107572e-06,
independent_alpha0,component_B_only,0.5,900,2,0.1666666666666666,0.1666666666666666,0.6661183309061797,0.5528798799479564,
independent_alpha0,time_shuffled_COM,0.5,900,2,0.0,0.1111111111111111,0.4781885566752454,0.2136998359411054,
independent_alpha0,random_balanced_k_COM_cardinality,0.5,900,2,0.0,0.0,0.3465713954226774,0.3465713954226774,
independent_alpha0,hash_high_cardinality,0.5,900,2,0.3193885760257441,0.6154465004022526,0.1021005721760503,0.0,
independent_alpha0,joint_basin,0.5,900,2,0.0,0.0,1.0,0.993012,
