alpha,T,seed,condition,kappa,condition_family,threshold,component_threshold,p_viable,node_count,node_entropy,node_singleton_fraction,macro_path_entropy,fiber_entropy,singleton_fraction,small_fiber_fraction,certified_node_fraction,certified_edge_count,certified_edge_fraction,transport_survival_mean,certified_path_count,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,mean_certified_path_length,max_certified_path_length,component_A_preservation,component_B_preservation,component_balance,lower_rank_erasure_score,edge_component_balance_mean,nonfragmentation,viable_propagation_index,delta_vs_product,delta_vs_shuffled,delta_vs_time_shuffled,component_necessity_A,component_necessity_B,component_necessity_min,ordered_edge_predictivity,edge_order_delta_vs_time_shuffled,edge_order_delta_vs_endpoint_fakeout,local_edge_survival_min,edge_transition_consistency,within_fiber_A_diversity,within_fiber_B_diversity,within_fiber_component_balance,within_fiber_effective_radius,rigid_collapse_diversity_delta,early_edge_survival,middle_edge_survival,late_edge_survival,late_to_early_transport_ratio,final_segment_certified_mass,delayed_trap_late_delta,base_signal_positive,R1_component_necessity_pass,R2_edge_order_pass,R3_nondegeneracy_pass,R4_late_retention_pass,refined_positive
0.5,900,6,noise_fakeout,random_balanced_k_COM_cardinality,false_positive_control,main,0.6,1.0,105,3.905189541156348,0.0,3.905189541156348,3.905189541156348,0.0,0.0,1.0,1337,1.0,1.0,1000,1.0,1.0,6.0,6,0.8639757879835436,0.863044311356814,0.863044311356814,0.1369556886431859,0.9203223222943012,1.0,0.863044311356814,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,noise_fakeout,hash_high_cardinality,false_positive_control,main,0.6,1.0,6411,11.896579892992396,1.0,11.896579892992396,11.896579892992396,0.6440027106392591,0.9805737519765078,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.28361001576874,0.2833042478242336,0.2833042478242336,0.7166957521757664,0.7641273545590932,0.3559972893607409,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
0.5,900,6,noise_fakeout,joint_basin,false_positive_control,main,0.6,1.0,63,3.023278122890148,0.0,3.023278122890148,3.023278122890148,0.0,0.0,1.0,477,1.0,1.0,1000,1.0,1.0,6.0,6,1.0,1.0,1.0,0.0,0.624463528450554,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,noise_fakeout,boundary_v2_regime_sequence,false_positive_control,main,0.6,1.0,33,1.08827812922191,0.0606060606060606,1.08827812922191,1.08827812922191,0.0,0.0,0.9393939393939394,100,0.9615384615384616,0.999,997,0.997,0.9975714285714286,5.989,6,1.0,1.0,1.0,0.0,0.750320241787774,1.0,0.996003,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,noise_fakeout,basin_transition_profile,false_positive_control,main,0.6,1.0,486,6.01774528634185,0.1687242798353909,6.01774528634185,6.01774528634185,0.0,0.0,0.831275720164609,1999,0.8710239651416122,0.9421666666666668,815,0.815,0.8841428571428571,5.483,6,0.5606733170816333,0.5600688393898321,0.5600688393898321,0.4399311606101679,0.8170928047062973,1.0,0.4300577260821062,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,component_swap_fakeout,center_of_mass,false_positive_control,main,0.6,1.0,54,2.6754918738809064,0.1111111111111111,2.6754918738809064,2.6754918738809064,0.0,0.0769230769230769,0.8888888888888888,49,0.2058823529411764,0.0465,0,0.0,0.0018095238095238,0.033,2,0.9888544705936184,1.0,0.9888544705936184,0.0111455294063814,0.4328066732560411,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
0.5,900,6,component_swap_fakeout,component_A_only,false_positive_control,main,0.6,1.0,77,2.9496310377732486,0.1428571428571428,2.9496310377732486,2.9496310377732486,0.0625,0.0625,0.8571428571428571,49,0.2677595628415301,0.0931666666666666,51,0.051,0.0555238095238095,0.35,6,0.8969501834783096,0.9762856761647364,0.8969501834783096,0.1030498165216904,0.2326399387353733,0.9375,0.0039954926219973,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,component_swap_fakeout,component_B_only,false_positive_control,main,0.6,1.0,67,3.183734291165669,0.1492537313432835,3.183734291165669,3.183734291165669,0.0555555555555555,0.1111111111111111,0.8507462686567164,107,0.2772020725388601,0.0935,0,0.0,0.004,0.077,2,0.8309965149621091,0.9044983873621576,0.8309965149621091,0.1690034850378908,0.4540459465332825,0.9444444444444444,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
0.5,900,6,component_swap_fakeout,time_shuffled_COM,false_positive_control,main,0.6,1.0,54,2.6754918738809064,0.1111111111111111,2.6754918738809064,2.6754918738809064,0.0,0.0769230769230769,0.8888888888888888,66,0.308411214953271,0.1515,1,0.001,0.043095238095238,0.765,6,0.9888544705936184,1.0,0.9888544705936184,0.0111455294063814,0.4238449167778055,1.0,0.0001498114522949,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,6,component_swap_fakeout,random_balanced_k_COM_cardinality,false_positive_control,main,0.6,1.0,49,2.8068722388867995,0.0,2.8068722388867995,2.8068722388867995,0.0,0.0,1.0,294,1.0,1.0,1000,1.0,1.0,6.0,6,0.9425694778232232,1.0,0.9425694778232232,0.0574305221767768,0.4892904191162817,1.0,0.9425694778232232,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
