alpha,T,condition,threshold,kappa,metric,mean,std,se,ci_low,ci_high
0.45,1500,coupled,main,joint_basin,singleton_fraction,0.477149424686418,0.021956733438323547,0.0021956733438323545,0.472735459533761,0.4812725610685615
0.45,1500,coupled,strict,boundary_v2_regime_sequence,viable_propagation_index,0.6509269591536371,0.12022798548053705,0.012022798548053704,0.6262567375773173,0.674826160810185
0.45,1500,coupled,strict,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,coupled,strict,boundary_v2_regime_sequence,singleton_fraction,0.34255604178243504,0.12130368554147929,0.012130368554147928,0.3208298848264308,0.36355150110789625
0.45,1500,coupled,strict,center_of_mass,viable_propagation_index,0.24790583715844897,0.009430690311958936,0.0009430690311958937,0.24599011341017288,0.24949773327170963
0.45,1500,coupled,strict,center_of_mass,component_B_preservation,0.7762657335424358,0.007688969228834277,0.0007688969228834277,0.7747734934596786,0.7776862018620079
0.45,1500,coupled,strict,center_of_mass,singleton_fraction,0.45342912539962166,0.017503659664275025,0.0017503659664275025,0.4499871780655282,0.45696658684692937
0.45,1500,coupled,strict,joint_basin,viable_propagation_index,0.5086595471295452,0.022413537483415603,0.0022413537483415603,0.5040280563855573,0.5125373075361611
0.45,1500,coupled,strict,joint_basin,component_B_preservation,0.9968599250979188,0.004606881619776875,0.0004606881619776875,0.9959854869855621,0.9977517068704176
0.45,1500,coupled,strict,joint_basin,singleton_fraction,0.477149424686418,0.021956733438323547,0.0021956733438323545,0.47268994763535327,0.48181548884087333
0.45,1500,independent_alpha0,loose,boundary_v2_regime_sequence,viable_propagation_index,0.7709458691833604,0.03370633912885444,0.0033706339128854444,0.7644939744325888,0.7781184186161778
0.45,1500,independent_alpha0,loose,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,independent_alpha0,loose,boundary_v2_regime_sequence,singleton_fraction,0.22594806659208477,0.03354774504797625,0.003354774504797625,0.21856371498575186,0.23159509870775538
0.45,1500,independent_alpha0,loose,center_of_mass,viable_propagation_index,0.19375699774005073,0.007336292434095232,0.0007336292434095232,0.19232797429956086,0.19530422361808397
0.45,1500,independent_alpha0,loose,center_of_mass,component_B_preservation,0.7167632146826972,0.007701117930347536,0.0007701117930347536,0.7149544736190778,0.7180801782068315
0.45,1500,independent_alpha0,loose,center_of_mass,singleton_fraction,0.43737192511326645,0.01882385842639668,0.001882385842639668,0.43349312763365705,0.440921814323358
0.45,1500,independent_alpha0,loose,joint_basin,viable_propagation_index,0.5691616798723852,0.07615257522149335,0.007615257522149335,0.5538440036261195,0.5848026393552858
0.45,1500,independent_alpha0,loose,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,independent_alpha0,loose,joint_basin,singleton_fraction,0.4287128233766001,0.07642602694043318,0.0076426026940433186,0.4143762056223997,0.4438265054430089
0.45,1500,independent_alpha0,main,boundary_v2_regime_sequence,viable_propagation_index,0.7680044789604366,0.033310662141092434,0.0033310662141092435,0.7619727089461091,0.7744609330400605
0.45,1500,independent_alpha0,main,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,independent_alpha0,main,boundary_v2_regime_sequence,singleton_fraction,0.22594806659208477,0.03354774504797625,0.003354774504797625,0.21955489018166202,0.2319973518463862
0.45,1500,independent_alpha0,main,center_of_mass,viable_propagation_index,0.19216063264503344,0.007351454639287383,0.0007351454639287383,0.1907184251977714,0.19367248857267755
0.45,1500,independent_alpha0,main,center_of_mass,component_B_preservation,0.7167632146826972,0.007701117930347536,0.0007701117930347536,0.7152186475688064,0.7182096405077901
0.45,1500,independent_alpha0,main,center_of_mass,singleton_fraction,0.43737192511326645,0.01882385842639668,0.001882385842639668,0.43331954135285716,0.4408621039776827
0.45,1500,independent_alpha0,main,joint_basin,viable_propagation_index,0.5677330517282205,0.07596384176571491,0.007596384176571491,0.5542641310603111,0.5823677846095575
0.45,1500,independent_alpha0,main,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,independent_alpha0,main,joint_basin,singleton_fraction,0.4287128233766001,0.07642602694043318,0.0076426026940433186,0.4153765805430988,0.44365975013118736
0.45,1500,independent_alpha0,strict,boundary_v2_regime_sequence,viable_propagation_index,0.7665444317777006,0.03312807508169383,0.0033128075081693834,0.7593982728483486,0.7721868754686708
0.45,1500,independent_alpha0,strict,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,independent_alpha0,strict,boundary_v2_regime_sequence,singleton_fraction,0.22594806659208477,0.03354774504797625,0.003354774504797625,0.21994311298997057,0.23141187079521003
0.45,1500,independent_alpha0,strict,center_of_mass,viable_propagation_index,0.18884795347788624,0.007273351401188445,0.0007273351401188445,0.18750587730576526,0.19016284760965912
0.45,1500,independent_alpha0,strict,center_of_mass,component_B_preservation,0.7167632146826972,0.007701117930347536,0.0007701117930347536,0.7154210966982313,0.7183219819126522
0.45,1500,independent_alpha0,strict,center_of_mass,singleton_fraction,0.43737192511326645,0.01882385842639668,0.001882385842639668,0.4343304441892667,0.4410146456577257
0.45,1500,independent_alpha0,strict,joint_basin,viable_propagation_index,0.5652283572534865,0.07570591674680072,0.007570591674680072,0.5512573569474656,0.5795381908814563
0.45,1500,independent_alpha0,strict,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,independent_alpha0,strict,joint_basin,singleton_fraction,0.4287128233766001,0.07642602694043318,0.0076426026940433186,0.41502442653574445,0.4421909372872006
0.45,1500,product,loose,boundary_v2_regime_sequence,viable_propagation_index,0.7770513646633483,0.03411691408715164,0.003411691408715164,0.7707008731169427,0.7833438213153188
0.45,1500,product,loose,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,product,loose,boundary_v2_regime_sequence,singleton_fraction,0.21977243423459059,0.034352584665628016,0.0034352584665628015,0.21286840369184915,0.22632195508342967
0.45,1500,product,loose,center_of_mass,viable_propagation_index,0.19246159444312042,0.008504802138038121,0.0008504802138038121,0.19077057426191305,0.1939928117388603
0.45,1500,product,loose,center_of_mass,component_B_preservation,0.7148757576891666,0.00781514457258192,0.0007815144572581921,0.7133423206310477,0.7164278966697015
0.45,1500,product,loose,center_of_mass,singleton_fraction,0.4377418882411012,0.022296816452376963,0.0022296816452376965,0.4332273408281826,0.4422909041530325
0.45,1500,product,loose,joint_basin,viable_propagation_index,0.5700649594353163,0.0728265849303612,0.007282658493036121,0.5549398184600381,0.584961942149145
0.45,1500,product,loose,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,product,loose,joint_basin,singleton_fraction,0.42793006111762383,0.07301828192460562,0.007301828192460562,0.41200333200487704,0.4423924516000857
0.45,1500,product,main,boundary_v2_regime_sequence,viable_propagation_index,0.7740816656636871,0.034309637940050285,0.0034309637940050284,0.7664524354563065,0.7810064009553732
0.45,1500,product,main,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,product,main,boundary_v2_regime_sequence,singleton_fraction,0.21977243423459059,0.034352584665628016,0.0034352584665628015,0.2130971923189173,0.22655000574985787
0.45,1500,product,main,center_of_mass,viable_propagation_index,0.19088726421177568,0.008510373646728627,0.0008510373646728627,0.18947669406175305,0.19249250082871433
0.45,1500,product,main,center_of_mass,component_B_preservation,0.7148757576891666,0.00781514457258192,0.0007815144572581921,0.71350054780311,0.7164439274196343
0.45,1500,product,main,center_of_mass,singleton_fraction,0.4377418882411012,0.022296816452376963,0.0022296816452376965,0.4340415582986634,0.4422100565055761
0.45,1500,product,main,joint_basin,viable_propagation_index,0.568675471125992,0.07259963039502357,0.007259963039502357,0.5544467176935904,0.5812561334682848
0.45,1500,product,main,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,product,main,joint_basin,singleton_fraction,0.42793006111762383,0.07301828192460562,0.007301828192460562,0.4137595529919529,0.4395246261667658
0.45,1500,product,strict,boundary_v2_regime_sequence,viable_propagation_index,0.7726306349604822,0.034014164578076184,0.003401416457807618,0.7656370086596581,0.7785852844911485
