kappa,variant_id,split,alpha,T,component_A_preservation,component_B_preservation,lower_rank_erasure_score
random_matched_predictive_kmeans_k5,noise_test_004,test,0.525,2400,0.7216098896659165,0.42203005593032844,0.4281800272018775
random_matched_predictive_kmeans_k8,noise_test_004,test,0.525,2400,0.7193633683810091,0.4207162352326884,0.4299601981931512
random_matched_predictive_kmeans_no_COM_k13,noise_test_004,test,0.525,2400,0.7192748187930197,0.4206643900693882,0.430030395568796
random_matched_predictive_kmeans_no_COM_k8,noise_test_004,test,0.525,2400,0.7193633683810091,0.4207162352326884,0.4299601981931512
all_one_diagnostic,noise_test_005,test,0.525,1500,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_005,test,0.525,1500,1.0,1.0,0.0
center_of_mass,noise_test_005,test,0.525,1500,1.0,0.8325491767446125,0.08372541162769367
identity_diagnostic,noise_test_005,test,0.525,1500,0.8515916180477632,0.6279008120196483,0.26025378496629425
joint_basin,noise_test_005,test,0.525,1500,1.0,0.9984256183151866,0.000787190842406645
predictive_kmeans_k13,noise_test_005,test,0.525,1500,0.9944162220073813,0.7334528090564838,0.13606548446806735
predictive_kmeans_k21,noise_test_005,test,0.525,1500,0.8998106178234121,0.6634516031311439,0.21836888952272196
predictive_kmeans_k5,noise_test_005,test,0.525,1500,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_005,test,0.525,1500,1.0,0.9275190938913443,0.03624045305432777
predictive_kmeans_no_COM_k13,noise_test_005,test,0.525,1500,0.9826882416870562,0.7245548799879507,0.14637843916249657
predictive_kmeans_no_COM_k8,noise_test_005,test,0.525,1500,1.0,0.9248090678325185,0.0375954660837407
random_matched_predictive_kmeans_k13,noise_test_005,test,0.525,1500,0.8515955550256322,0.6279037208392539,0.26025036206755686
random_matched_predictive_kmeans_k21,noise_test_005,test,0.525,1500,0.8515921097188601,0.6279011733716887,0.2602533584547256
random_matched_predictive_kmeans_k5,noise_test_005,test,0.525,1500,0.8543569051312698,0.6299399861682208,0.2578515543502547
random_matched_predictive_kmeans_k8,noise_test_005,test,0.525,1500,0.8517004323148294,0.6279810612475797,0.2601592532187954
random_matched_predictive_kmeans_no_COM_k13,noise_test_005,test,0.525,1500,0.8515955550256322,0.6279037208392539,0.26025036206755686
random_matched_predictive_kmeans_no_COM_k8,noise_test_005,test,0.525,1500,0.8517004323148294,0.6279810612475797,0.2601592532187954
all_one_diagnostic,noise_test_005,test,0.525,2400,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_005,test,0.525,2400,1.0,1.0,0.0
center_of_mass,noise_test_005,test,0.525,2400,1.0,0.802532742626195,0.09873362868690247
identity_diagnostic,noise_test_005,test,0.525,2400,0.8949363288115094,0.6518415061624122,0.22661108251303907
joint_basin,noise_test_005,test,0.525,2400,1.0,0.9973626463502575,0.001318676824871255
predictive_kmeans_k13,noise_test_005,test,0.525,2400,1.0,0.7511216834918908,0.1244391582540546
predictive_kmeans_k21,noise_test_005,test,0.525,2400,0.9373430231895935,0.6827289678875758,0.1899640044614153
predictive_kmeans_k5,noise_test_005,test,0.525,2400,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_005,test,0.525,2400,1.0,0.9643793381172335,0.017810330941383203
predictive_kmeans_no_COM_k13,noise_test_005,test,0.525,2400,0.9976845558087902,0.7272686512630596,0.13752339646407502
predictive_kmeans_no_COM_k8,noise_test_005,test,0.525,2400,1.0,0.9492966348429169,0.025351682578541496
random_matched_predictive_kmeans_k13,noise_test_005,test,0.525,2400,0.8949404595295009,0.6518445188712897,0.2266075107996047
random_matched_predictive_kmeans_k21,noise_test_005,test,0.525,2400,0.8949368467195049,0.6518418842290228,0.2266106345257361
random_matched_predictive_kmeans_k5,noise_test_005,test,0.525,2400,0.8978406263017998,0.6539570691833002,0.2241011522574499
random_matched_predictive_kmeans_k8,noise_test_005,test,0.525,2400,0.8950496090831084,0.6519240847400216,0.226513153088435
random_matched_predictive_kmeans_no_COM_k13,noise_test_005,test,0.525,2400,0.8949404595295009,0.6518445188712897,0.2266075107996047
random_matched_predictive_kmeans_no_COM_k8,noise_test_005,test,0.525,2400,0.8950496090831084,0.6519240847400216,0.226513153088435
all_one_diagnostic,noise_test_006,test,0.525,1500,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_006,test,0.525,1500,1.0,1.0,0.0
center_of_mass,noise_test_006,test,0.525,1500,1.0,0.806304356439946,0.09684782178002697
identity_diagnostic,noise_test_006,test,0.525,1500,0.6934451990215612,0.4565462259851854,0.4250042874966266
joint_basin,noise_test_006,test,0.525,1500,1.0,0.940750816248141,0.02962459187592941
predictive_kmeans_k13,noise_test_006,test,0.525,1500,0.99929117177582,0.6624892246951211,0.1691098017645294
predictive_kmeans_k21,noise_test_006,test,0.525,1500,0.8631794490079856,0.5682857458992334,0.28426740254639044
predictive_kmeans_k5,noise_test_006,test,0.525,1500,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_006,test,0.525,1500,1.0,0.8375801818606747,0.08120990906966259
predictive_kmeans_no_COM_k13,noise_test_006,test,0.525,1500,0.9996055564617368,0.6630610494112231,0.16866669706352003
predictive_kmeans_no_COM_k8,noise_test_006,test,0.525,1500,1.0,0.8360882627050452,0.08195586864747734
random_matched_predictive_kmeans_k13,noise_test_006,test,0.525,1500,0.6934480030851456,0.4565480752860148,0.4250019608144197
random_matched_predictive_kmeans_k21,noise_test_006,test,0.525,1500,0.6934451969619373,0.4565462281389139,0.42500428744957447
random_matched_predictive_kmeans_k5,noise_test_006,test,0.525,1500,0.6956988855855761,0.4580305827856166,0.42313526581440364
random_matched_predictive_kmeans_k8,noise_test_006,test,0.525,1500,0.6935329576593687,0.45660397774186634,0.42493153229938246
random_matched_predictive_kmeans_no_COM_k13,noise_test_006,test,0.525,1500,0.6934480030851456,0.4565480752860148,0.4250019608144197
random_matched_predictive_kmeans_no_COM_k8,noise_test_006,test,0.525,1500,0.6935329576593687,0.45660397774186634,0.42493153229938246
all_one_diagnostic,noise_test_006,test,0.525,2400,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_006,test,0.525,2400,1.0,1.0,0.0
center_of_mass,noise_test_006,test,0.525,2400,1.0,0.6958209495540784,0.15208952522296076
identity_diagnostic,noise_test_006,test,0.525,2400,0.7194976420006941,0.4210571384970016,0.4297226097511521
joint_basin,noise_test_006,test,0.525,2400,1.0,0.9279036953966218,0.036048152301689076
predictive_kmeans_k13,noise_test_006,test,0.525,2400,1.0,0.6356555470293975,0.1821722264853012
predictive_kmeans_k21,noise_test_006,test,0.525,2400,0.920437077364481,0.5386356145179427,0.27046365405878814
predictive_kmeans_k5,noise_test_006,test,0.525,2400,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_006,test,0.525,2400,1.0,0.8328978217194141,0.08355108914029293
predictive_kmeans_no_COM_k13,noise_test_006,test,0.525,2400,1.0,0.5992753199243889,0.2003623400378055
predictive_kmeans_no_COM_k8,noise_test_006,test,0.525,2400,1.0,0.8123122138000101,0.09384389309999491
random_matched_predictive_kmeans_k13,noise_test_006,test,0.525,2400,0.7195009748227882,0.4210590792457339,0.42971997296573894
random_matched_predictive_kmeans_k21,noise_test_006,test,0.525,2400,0.7194980566839678,0.42105738505873114,0.4297222791286505
random_matched_predictive_kmeans_k5,noise_test_006,test,0.525,2400,0.7218376031266343,0.4224266251166948,0.4278678858783354
random_matched_predictive_kmeans_k8,noise_test_006,test,0.525,2400,0.7195895856880759,0.42111093555603724,0.42964973937794343
random_matched_predictive_kmeans_no_COM_k13,noise_test_006,test,0.525,2400,0.7195009748227882,0.4210590792457339,0.42971997296573894
