condition,alpha,T,control,A_past_to_A_future_delta,B_past_to_B_future_delta,joint_past_to_joint_future_delta,component_continuity_balance,component_erasure_rejection
product,0.45,2400,none,0.47566133737564087,0.09317614138126373,0.3662984371185303,0.6175148040056229,0.19588756550057873
product,0.5,900,none,0.880505383014679,0.3872576355934143,0.8190885186195374,0.5067522525787354,0.43981291093022007
product,0.5,1500,none,0.7378102540969849,0.1890660524368286,0.6318076848983765,0.45125579833984375,0.25625294767450596
product,0.5,2400,none,0.482066810131073,0.09171248227357864,0.36590147018432617,0.6096456721425056,0.19024848910183675
product,0.525,900,none,0.8799254894256592,0.3935566544532776,0.8198939561843872,0.5136311650276184,0.4472613410825933
product,0.525,1500,none,0.7425340414047241,0.19610245525836945,0.6352881789207458,0.4535684138536453,0.264098942706227
product,0.525,2400,none,0.4790908098220825,0.09269417077302933,0.37044817209243774,0.6136033609509468,0.1934793339230462
shuffled,0.45,900,none,0.881492018699646,0.384218692779541,0.8224186301231384,0.502726674079895,0.4358731385297514
shuffled,0.45,1500,none,0.7394394278526306,0.2144930213689804,0.6368950009346008,0.4750535935163498,0.29007517490902396
shuffled,0.45,2400,none,0.4800802767276764,0.08962000161409378,0.3700685203075409,0.6095397248864174,0.1866771162209823
shuffled,0.5,900,none,0.8858515024185181,0.39666053652763367,0.8240164518356323,0.5108090341091156,0.44777317128738414
shuffled,0.5,1500,none,0.7331421971321106,0.20789258182048798,0.6285056471824646,0.4747503846883774,0.28356379244533675
shuffled,0.5,2400,none,0.47989287972450256,0.08950711041688919,0.3688109219074249,0.6096142306923866,0.18651477068856184
shuffled,0.525,900,none,0.8807658553123474,0.38651925325393677,0.8192543983459473,0.5057533979415894,0.43884450211442955
shuffled,0.525,1500,none,0.7407868504524231,0.20468609035015106,0.6347745060920715,0.46389923989772797,0.27630902225807935
shuffled,0.525,2400,none,0.4986909329891205,0.08602185547351837,0.3740696310997009,0.5873309224843979,0.17249532683080693
time_shuffled,0.45,900,none,0.5097253918647766,0.08817943930625916,0.5102559924125671,0.5784540474414825,0.1729940095463245
time_shuffled,0.45,1500,none,0.3097570538520813,0.040616486221551895,0.3597544729709625,0.7308594323694706,0.13112368456651044
time_shuffled,0.45,2400,none,0.14876246452331543,0.01197704579681158,0.23470452427864075,0.8632145812734962,0.08051120849059627
time_shuffled,0.5,900,none,0.4737112522125244,0.0831097960472107,0.49289268255233765,0.6093985438346863,0.17544399812973951
time_shuffled,0.5,1500,none,0.2807634770870209,0.035466067492961884,0.33594346046447754,0.754702590405941,0.1263200892827289
time_shuffled,0.5,2400,none,0.11682518571615219,0.010868352837860584,0.22779178619384766,0.8940431671217084,0.0930309057181146
time_shuffled,0.525,900,none,0.4660392105579376,0.0745009109377861,0.48125898838043213,0.6084617003798485,0.15985974838596592
time_shuffled,0.525,1500,none,0.25870028138160706,0.02950870990753174,0.3408257067203522,0.7708084285259247,0.11406524086459588
time_shuffled,0.525,2400,none,0.11773701012134552,0.007933232933282852,0.21738103032112122,0.8901962228119373,0.06738096139103987
