variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,singleton_fraction,estimator_stable,ci_width,category
potential_shape_000,potential_shape,mild,0.525,900,joint_basin,0.4573156479427025,False,0.024135117037487504,Estimator-limited
potential_shape_000,potential_shape,mild,0.525,1500,boundary_v2_regime_sequence,0.4054604865808426,True,0.04892756568566575,Propagation lost
potential_shape_000,potential_shape,mild,0.525,1500,center_of_mass,0.38288142988049956,True,0.004097854410158336,Robust propagation retained
potential_shape_000,potential_shape,mild,0.525,1500,joint_basin,0.43696447138958366,False,0.025644018029615558,Estimator-limited
potential_shape_000,potential_shape,mild,0.525,2400,boundary_v2_regime_sequence,0.3527775982187747,True,0.0457541751844108,Propagation lost
potential_shape_000,potential_shape,mild,0.525,2400,center_of_mass,0.4227609460013892,True,0.003996711127210312,Robust propagation retained
potential_shape_000,potential_shape,mild,0.525,2400,joint_basin,0.4603515956657547,True,0.03437373112091885,Entropy-only pseudo-risk
potential_shape_001,potential_shape,moderate,0.45,900,boundary_v2_regime_sequence,0.4271990227381612,True,0.029935931660423187,Propagation lost
potential_shape_001,potential_shape,moderate,0.45,900,center_of_mass,0.3560938510971762,True,0.004195056782201147,Robust propagation retained
potential_shape_001,potential_shape,moderate,0.45,900,joint_basin,0.44242443076495086,False,0.02146774415473251,Estimator-limited
potential_shape_001,potential_shape,moderate,0.45,1500,boundary_v2_regime_sequence,0.4314661089787998,True,0.04549874345643651,Propagation lost
potential_shape_001,potential_shape,moderate,0.45,1500,center_of_mass,0.383235742870096,True,0.004574188073835708,Robust propagation retained
potential_shape_001,potential_shape,moderate,0.45,1500,joint_basin,0.4349261541672593,False,0.023095372983705162,Estimator-limited
potential_shape_001,potential_shape,moderate,0.45,2400,boundary_v2_regime_sequence,0.3906697267184252,True,0.044562416843402286,Propagation lost
potential_shape_001,potential_shape,moderate,0.45,2400,center_of_mass,0.420141289078371,True,0.0038158750942278857,Component-erasing
potential_shape_001,potential_shape,moderate,0.45,2400,joint_basin,0.4736955950216653,False,0.03186333316629629,Estimator-limited
potential_shape_001,potential_shape,moderate,0.5,900,boundary_v2_regime_sequence,0.41756930349422927,True,0.04419744319180963,Propagation lost
potential_shape_001,potential_shape,moderate,0.5,900,center_of_mass,0.35331299947703243,True,0.004108463978218915,Robust propagation retained
potential_shape_001,potential_shape,moderate,0.5,900,joint_basin,0.43838075569146095,False,0.02313678885920914,Estimator-limited
potential_shape_001,potential_shape,moderate,0.5,1500,boundary_v2_regime_sequence,0.4557104128129838,True,0.03938213281619268,Propagation lost
potential_shape_001,potential_shape,moderate,0.5,1500,center_of_mass,0.38557953810121093,True,0.0037154124252540416,Robust propagation retained
potential_shape_001,potential_shape,moderate,0.5,1500,joint_basin,0.4167804859296732,False,0.02559714988510143,Estimator-limited
potential_shape_001,potential_shape,moderate,0.5,2400,boundary_v2_regime_sequence,0.3893424931878332,True,0.04386310563235851,Propagation lost
potential_shape_001,potential_shape,moderate,0.5,2400,center_of_mass,0.4206264436549926,True,0.004803951453025909,Component-erasing
potential_shape_001,potential_shape,moderate,0.5,2400,joint_basin,0.4900537005351935,True,0.026667247258520405,Entropy-only pseudo-risk
potential_shape_001,potential_shape,moderate,0.525,900,boundary_v2_regime_sequence,0.4420667783986859,True,0.03674841845884447,Propagation lost
potential_shape_001,potential_shape,moderate,0.525,900,center_of_mass,0.35366246052663997,True,0.004066307610319925,Robust propagation retained
potential_shape_001,potential_shape,moderate,0.525,900,joint_basin,0.43904417209331187,False,0.0274783786705997,Estimator-limited
potential_shape_001,potential_shape,moderate,0.525,1500,boundary_v2_regime_sequence,0.47313769228918223,True,0.0329678637513538,Propagation lost
potential_shape_001,potential_shape,moderate,0.525,1500,center_of_mass,0.3868359053020559,True,0.003601889642163736,Robust propagation retained
potential_shape_001,potential_shape,moderate,0.525,1500,joint_basin,0.419874011124952,False,0.02288389007345711,Estimator-limited
potential_shape_001,potential_shape,moderate,0.525,2400,boundary_v2_regime_sequence,0.4066506277767677,True,0.04428661909798015,Propagation lost
potential_shape_001,potential_shape,moderate,0.525,2400,center_of_mass,0.42059999614802274,True,0.004202139509192904,Robust propagation retained
potential_shape_001,potential_shape,moderate,0.525,2400,joint_basin,0.4977287883578737,True,0.022203785111343743,Entropy-only pseudo-risk
reference_000,reference,reference,0.45,900,boundary_v2_regime_sequence,0.39648421504636916,True,0.035751916616969415,Propagation lost
reference_000,reference,reference,0.45,900,center_of_mass,0.3524920785220227,True,0.004123630321211921,Robust propagation retained
reference_000,reference,reference,0.45,900,joint_basin,0.45075358097889373,False,0.02516567626665459,Estimator-limited
reference_000,reference,reference,0.45,1500,boundary_v2_regime_sequence,0.3675516251020819,True,0.03989797002934578,Propagation lost
reference_000,reference,reference,0.45,1500,center_of_mass,0.38036874159362555,True,0.004154865376079189,Robust propagation retained
reference_000,reference,reference,0.45,1500,joint_basin,0.44320003611361714,False,0.02613984444113547,Estimator-limited
reference_000,reference,reference,0.45,2400,boundary_v2_regime_sequence,0.34699656348553404,True,0.04640319518001604,Propagation lost
reference_000,reference,reference,0.45,2400,center_of_mass,0.42096250748337044,True,0.0036316275938726578,Robust propagation retained
reference_000,reference,reference,0.45,2400,joint_basin,0.45843948225007203,True,0.030715836516024816,Entropy-only pseudo-risk
reference_000,reference,reference,0.5,900,boundary_v2_regime_sequence,0.3914582923251976,True,0.03291720930614883,Propagation lost
reference_000,reference,reference,0.5,900,center_of_mass,0.3547218209357855,True,0.004258616949966834,Robust propagation retained
reference_000,reference,reference,0.5,900,joint_basin,0.4497536510301566,False,0.025225080144056236,Estimator-limited
reference_000,reference,reference,0.5,1500,boundary_v2_regime_sequence,0.3974423643078366,True,0.03993146204469511,Propagation lost
reference_000,reference,reference,0.5,1500,center_of_mass,0.38258340600444296,True,0.004534310936172195,Robust propagation retained
reference_000,reference,reference,0.5,1500,joint_basin,0.43614647097765935,False,0.025276078071139046,Estimator-limited
reference_000,reference,reference,0.5,2400,boundary_v2_regime_sequence,0.35446562322481434,True,0.04379715645460211,Propagation lost
reference_000,reference,reference,0.5,2400,center_of_mass,0.4206346290006947,True,0.00358392221238224,Robust propagation retained
reference_000,reference,reference,0.5,2400,joint_basin,0.46479745242938997,True,0.029941734980156245,Entropy-only pseudo-risk
reference_000,reference,reference,0.525,900,boundary_v2_regime_sequence,0.42011631158839646,True,0.031469429484399375,Propagation lost
reference_000,reference,reference,0.525,900,center_of_mass,0.35121450230628193,True,0.004166894855917272,Robust propagation retained
reference_000,reference,reference,0.525,900,joint_basin,0.4534508422767397,False,0.025543465015205345,Estimator-limited
reference_000,reference,reference,0.525,1500,boundary_v2_regime_sequence,0.4361071998662859,True,0.04358569773641319,Propagation lost
reference_000,reference,reference,0.525,1500,center_of_mass,0.3837625528583062,True,0.003443676668474921,Robust propagation retained
reference_000,reference,reference,0.525,1500,joint_basin,0.42905147630414675,False,0.029731977566223613,Estimator-limited
reference_000,reference,reference,0.525,2400,boundary_v2_regime_sequence,0.3449071581690583,True,0.04630189772467322,Propagation lost
