space,rule_id,stratum,q,radius,table_digest,depends_center,relation_degree,relation_complete,self_only,left_right_asymmetry,output_entropy,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,table_json
q3_radius1,q3g3_s5_00343,S5_asymmetric_neighbor_dependent,3,1,7e7295e73ced,True,2,True,False,0.37037037037037035,1.5448491887169091,0.02530868205777448,0.0,True,True,"[0,1,2,2,0,1,1,2,2,0,2,1,0,1,2,1,0,2,0,1,0,2,2,2,0,2,2]"
q3_radius1,q3g3_s5_00351,S5_asymmetric_neighbor_dependent,3,1,61eb725dbd2d,True,2,True,False,0.37037037037037035,1.4784345996621122,0.06721162236366718,0.0,True,True,"[0,1,1,1,2,0,1,1,2,2,1,1,1,1,0,2,1,1,2,1,2,0,0,1,0,1,0]"
q3_radius1,q3g3_s6_00058,S6_relation_rich_nonchaotic_bias,3,1,13aeaf36c1bd,True,2,True,False,0.5185185185185185,1.5175287893989997,0.04254593486689695,0.0,True,True,"[0,0,1,1,1,1,2,2,2,2,1,2,1,0,1,1,1,1,0,1,0,2,1,2,0,0,1]"
q3_radius1,q3g3_s6_00123,S6_relation_rich_nonchaotic_bias,3,1,1263b4734874,True,2,True,False,0.4444444444444444,1.4784345996621122,0.06721162236366718,0.0,True,True,"[0,2,0,1,1,1,1,1,1,0,1,0,1,1,1,2,2,1,0,1,1,1,2,2,2,0,2]"
q3_radius1,q3g3_s6_00140,S6_relation_rich_nonchaotic_bias,3,1,a06c139ee869,True,2,True,False,0.4444444444444444,1.5175287893989997,0.04254593486689695,0.0,True,True,"[0,0,0,1,1,1,2,1,2,2,0,0,0,1,1,1,1,2,1,1,1,2,1,1,0,2,2]"
q3_radius1,q3g3_s6_00149,S6_relation_rich_nonchaotic_bias,3,1,9b637d745f11,True,2,True,False,0.4444444444444444,1.5304930567574824,0.03436639285717491,0.0,True,True,"[0,0,0,1,1,1,1,0,2,0,2,0,2,1,0,1,2,1,1,0,0,2,1,1,1,1,2]"
q3_radius1,q3g3_s6_00302,S6_relation_rich_nonchaotic_bias,3,1,4814525c5fbe,True,2,True,False,0.5185185185185185,1.540709585192697,0.02792048108918921,0.0,True,True,"[0,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,1,1,1,1,2,2,0,0,2]"
q3_radius1,q3g3_s6_00313,S6_relation_rich_nonchaotic_bias,3,1,528ee0a3e46c,True,2,True,False,0.5185185185185185,1.5304930567574826,0.0343663928571748,0.0,True,True,"[0,0,1,1,1,1,2,2,2,2,2,0,0,0,1,1,2,2,1,1,1,2,2,2,0,2,2]"
q3_radius1,q3g3_s6_00356,S6_relation_rich_nonchaotic_bias,3,1,82160c5bd214,True,2,True,False,0.4444444444444444,1.5448491887169091,0.02530868205777448,0.0,True,True,"[0,0,0,1,1,1,2,2,2,2,0,2,0,1,1,1,1,1,1,2,0,1,1,1,0,2,2]"
q3_radius1,q3g3_s6_00364,S6_relation_rich_nonchaotic_bias,3,1,f979dd1e9612,True,2,True,False,0.37037037037037035,1.5304930567574826,0.0343663928571748,0.0,True,True,"[0,0,0,1,1,1,2,2,2,2,1,2,1,0,1,1,1,1,0,1,1,2,1,2,2,0,2]"
