space,rule_id,stratum,target_role,raw_persistence_score,adjusted_persistence,center_only_score,left_removed_score,right_removed_score,symmetrized_rule_score,symbol_phase_only_score,output_distribution_matched_score,stratum_null_persistence_q90,relation_load_bearing_adjusted,asymmetry_load_bearing_adjusted,local_phase_fakeout_rejected,future_distinct_descendant_count_raw,future_distinct_descendant_count_symbol_phase,composition_adjusted_delta,composition_emission_only_flag,interaction_outcome_diversity,matched_control_interaction_diversity,dominant_interaction_outcome,reclassification
q3_radius1,q3g3_s3_00075,S3_sparse_active_preserving,candidate,0.12571975023991172,0.011171222179422874,0.0,0.0,0.00019750665341882568,0.0,0.0,0.0,0.11454852806048885,0.1255222435864929,0.12571975023991172,True,64.0,1.0,-0.5,True,-0.0,1.0,emission,emission_only
q3_radius1,q3g3_s3_00084,S3_sparse_active_preserving,candidate,0.012107354028879245,-0.17751867603676338,0.0,0.0,0.0,0.0,0.0,0.0,0.18962603006564263,0.012107354028879245,0.012107354028879245,True,63.0,1.0,0.0,True,-0.0,-0.0,emission,generic_persistence
q3_radius1,q3g3_s3_00085,S3_sparse_active_preserving,candidate,0.0,-0.1275758926033828,0.0,0.0020061085612653505,0.0,0.0,0.0,0.112952970627127,0.1275758926033828,-0.0020061085612653505,0.0,False,64.0,63.0,0.0,False,1.0,1.0,pass_through,self_persistence_fakeout
q3_radius1,q3g3_s3_00090,S3_sparse_active_preserving,candidate,0.16680288352180606,0.03542792655111726,0.0,0.0,8.512531090376097e-05,0.05516391057294944,0.0,0.007467051672361774,0.1313749569706888,0.1667177582109023,0.11163897294885661,True,64.0,1.0,0.0,True,-0.0,-0.0,emission,emission_only
q3_radius1,q3g3_s3_00096,S3_sparse_active_preserving,candidate,0.032007147753997274,-0.04451390578807126,0.0,0.0,0.0,0.0,0.0,0.0,0.07652105354206853,0.032007147753997274,0.032007147753997274,True,64.0,1.0,0.0,False,1.0,1.0,collapse,generic_persistence
q3_radius1,q3g3_s3_00181,S3_sparse_active_preserving,candidate,0.14053812363157503,0.00604254377390262,0.0,0.11984571747126613,0.0,0.0,0.0,0.11981304313227377,0.1344955798576724,0.0206924061603089,0.14053812363157503,True,64.0,63.0,0.33333333333333337,False,0.6500224216483541,1.0,new_motif,control_adjusted_positive
q3_radius1,q3g3_s3_00193,S3_sparse_active_preserving,candidate,0.15066604165768627,0.03418186213625732,0.0,0.08836897492509134,0.0,0.005736757726934051,0.0,0.0,0.11648417952142895,0.06229706673259493,0.14492928393075222,True,64.0,1.0,0.0,True,-0.0,1.0,emission,emission_only
q3_radius1,q3g3_s3_00213,S3_sparse_active_preserving,candidate,0.10387236232075578,-0.03238466690108227,0.0,0.06381693772793562,0.08941413951816764,0.0,0.0,0.040218240048805094,0.13625702922183805,0.014458222802588142,0.10387236232075578,True,64.0,61.0,-0.5,True,-0.0,1.0,emission,generic_persistence
q3_radius1,q3g3_s3_00214,S3_sparse_active_preserving,candidate,0.0,-0.2852981093605292,0.0,0.10384251343635745,0.0,0.0,0.0,0.15884324699196095,0.2852981093605292,-0.10384251343635745,0.0,False,62.0,1.0,0.0,False,1.0,1.0,pass_through,self_persistence_fakeout
q3_radius1,q3g3_s3_00223,S3_sparse_active_preserving,candidate,0.002540102369824387,-0.16178909818815893,0.0,0.0,0.0,0.19623658050935563,0.0,0.11718666060264496,0.1643292005579833,0.002540102369824387,-0.19369647813953125,True,64.0,1.0,0.0,True,-0.0,-0.0,emission,symmetric_fakeout
q3_radius1,q3g3_s3_00226,S3_sparse_active_preserving,candidate,0.34150225503310416,0.18915157657025414,0.0,0.0,0.0,0.1321744883777614,0.0,0.008315690245956868,0.15235067846285003,0.34150225503310416,0.20932776665534275,False,64.0,64.0,0.0,True,-0.0,-0.0,emission,self_persistence_fakeout
q3_radius1,q3g3_s3_00229,S3_sparse_active_preserving,candidate,0.00017914083970633574,-0.13390697444755859,0.0,0.0,0.087141786383175,0.0,0.0,0.1024235813281911,0.1340861152872649,-0.08696264554346866,0.00017914083970633574,True,64.0,1.0,-0.5,True,-0.0,1.0,emission,output_distribution_fakeout
q3_radius1,q3g3_s3_00244,S3_sparse_active_preserving,candidate,0.13744038185800705,-0.014488326277341035,0.0,0.0,0.0,0.057767309498325106,0.0,0.0,0.1519287081353481,0.13744038185800705,0.07967307235968195,True,64.0,1.0,-0.5,True,-0.0,1.0,emission,generic_persistence
