coarse_name,collapse,early_mean,fake_short_horizon_lure_detected,horizon_coherence_score,late_mean,pair_id,variant
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,8,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,8,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,8,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,8,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,8,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,8,control
identity,0.0,0.0,0,1.0,0.0,9,control
all_one,0.0,0.0,0,1.0,0.0,9,control
random_k,0.0,0.0,0,1.0,0.0,9,control
checkerboard,0.0,0.0,0,1.0,0.0,9,control
region,0.0,0.0,0,1.0,0.0,9,control
viability_signature,0.0,0.0,0,1.0,0.0,9,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,9,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,9,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,9,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,9,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,9,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,9,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,9,control
identity,0.0,0.0,0,1.0,0.0,10,control
all_one,0.0,0.0,0,1.0,0.0,10,control
random_k,0.0,0.0,0,1.0,0.0,10,control
checkerboard,0.0,0.0,0,1.0,0.0,10,control
region,0.0,0.0,0,1.0,0.0,10,control
viability_signature,0.0,0.0,0,1.0,0.0,10,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,10,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,10,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,10,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,10,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,10,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,10,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,10,control
identity,3.184722578922643,3.184722578922643,1,0.23896446685300943,0.0,6,lure
all_one,0.0,0.0,0,1.0,0.0,6,lure
random_k,3.0516578988179592,3.0516578988179592,1,0.24681254562280355,0.0,6,lure
checkerboard,1.4048684574381194,1.4048684574381194,1,0.4158231594360422,0.0,6,lure
region,2.1071960503807237,2.1071960503807237,1,0.321833570777573,0.0,6,lure
viability_signature,2.7327045049587673,2.7327045049587673,1,0.2679022672894506,0.0,6,lure
hash_k34_s1206,3.184722578922643,3.184722578922643,1,0.23896446685300943,0.0,6,lure
trap_mixing_adversarial,2.930854424626611,2.930854424626611,1,0.254397617407312,0.0,6,lure
behavioral_quotient_k5,1.8328660454927774,1.8328660454927774,1,0.3529993949382276,0.0,6,lure
behavioral_quotient_k8,2.235814491267449,2.235814491267449,1,0.3090412020524409,0.0,6,lure
behavioral_quotient_k13,2.463845948908581,2.463845948908581,1,0.2886964416864696,0.0,6,lure
behavioral_quotient_k21,3.0578363595428577,3.0578363595428577,1,0.2464367488965614,0.0,6,lure
best_of_10_hashes_per_world,3.184722578922643,3.184722578922643,1,0.23896446685300943,0.0,6,lure
identity,0.0,0.0,0,1.0,0.0,12,control
all_one,0.0,0.0,0,1.0,0.0,12,control
random_k,0.0,0.0,0,1.0,0.0,12,control
checkerboard,0.0,0.0,0,1.0,0.0,12,control
region,0.0,0.0,0,1.0,0.0,12,control
viability_signature,0.0,0.0,0,1.0,0.0,12,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,12,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,12,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,12,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,12,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,12,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,12,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,12,control
identity,1.2782504668340646,3.1462197117585813,0,0.43893330191637553,1.8679692449245167,7,lure
all_one,0.0,0.0,0,1.0,0.0,7,lure
random_k,1.1501859893258766,2.939627210319779,0,0.4650760468928172,1.7894412209939026,7,lure
checkerboard,0.2866288211832846,1.3518326026835936,0,0.7772249335129316,1.065203781500309,7,lure
region,0.7651470708032369,2.0777044278844454,0,0.5665250315629202,1.3125573570812086,7,lure
viability_signature,1.084571952937005,2.703684352678173,0,0.4797147916103712,1.6191123997411678,7,lure
hash_k34_s1206,1.2782504668340646,3.1462197117585813,0,0.43893330191637553,1.8679692449245167,7,lure
trap_mixing_adversarial,1.1361795314443448,2.888649788825065,0,0.46812544792237826,1.75247025738072,7,lure
behavioral_quotient_k5,0.5856831863470486,1.8201283406297968,0,0.630642998935814,1.2344451542827481,7,lure
behavioral_quotient_k8,0.7867075608184442,2.285107591012477,0,0.5596886820929587,1.498400030194033,7,lure
behavioral_quotient_k13,1.0385563338660924,2.454648217897919,0,0.49054322580505516,1.4160918840318266,7,lure
behavioral_quotient_k21,1.3339212101759612,3.044793627121462,0,0.42846347838991833,1.710872416945501,7,lure
best_of_10_hashes_per_world,1.2023678353616507,3.057176057870472,0,0.4540567583415465,1.8548082225088214,7,lure
identity,0.0,0.0,0,1.0,0.0,14,control
all_one,0.0,0.0,0,1.0,0.0,14,control
random_k,0.0,0.0,0,1.0,0.0,14,control
checkerboard,0.0,0.0,0,1.0,0.0,14,control
region,0.0,0.0,0,1.0,0.0,14,control
viability_signature,0.0,0.0,0,1.0,0.0,14,control
hash_k34_s1206,0.0,0.0,0,1.0,0.0,14,control
trap_mixing_adversarial,0.0,0.0,0,1.0,0.0,14,control
behavioral_quotient_k5,0.0,0.0,0,1.0,0.0,14,control
behavioral_quotient_k8,0.0,0.0,0,1.0,0.0,14,control
behavioral_quotient_k13,0.0,0.0,0,1.0,0.0,14,control
behavioral_quotient_k21,0.0,0.0,0,1.0,0.0,14,control
best_of_10_hashes_per_world,0.0,0.0,0,1.0,0.0,14,control
identity,2.0442181130567314,3.1397247717252017,0,0.3284915741454181,1.0955066586684703,9,lure
all_one,0.0,0.0,0,1.0,0.0,9,lure
random_k,1.8011463245044013,2.8966529831728716,0,0.3569967021187039,1.0955066586684703,9,lure
checkerboard,0.8193889207156174,1.390448942209785,0,0.54963509374712,0.5710600214941676,9,lure
region,1.237324555823121,2.0969941164093315,0,0.4469624209850483,0.8596695605862106,9,lure
viability_signature,1.7782563592063823,2.702206759460915,0,0.35993798653111087,0.9239504002545328,9,lure
hash_k34_s1206,2.0442181130567314,3.1397247717252017,0,0.3284915741454181,1.0955066586684703,9,lure
trap_mixing_adversarial,1.8676083781898059,2.8938003188022816,0,0.34872265250921597,1.0261919406124758,9,lure
behavioral_quotient_k5,1.0149653422146896,1.8268963401787892,0,0.4962864517068465,0.8119309979640996,9,lure
behavioral_quotient_k8,1.4200830876210624,2.279752648207273,0,0.4132089534921705,0.8596695605862106,9,lure
behavioral_quotient_k13,1.726813166133288,2.787662465773761,0,0.3667284625217038,1.060849299640473,9,lure
behavioral_quotient_k21,1.7408730388771207,2.801722338517594,0,0.3648472533443867,1.060849299640473,9,lure
best_of_10_hashes_per_world,2.0668470555720297,3.1276963552125028,0,0.32606777641002366,1.060849299640473,9,lure
identity,2.05637046610005,3.1864722775988312,0,0.3271854675640833,1.1301018114987813,8,lure
all_one,0.0,0.0,0,1.0,0.0,8,lure
random_k,1.8702023957757652,2.961796030576772,0,0.3484074856434358,1.0915936348010067,8,lure
checkerboard,0.8146334272671026,1.4075435835815364,0,0.5510754871886344,0.5929101563144338,8,lure
region,1.2431193622611874,2.111179953668569,0,0.44580775184069793,0.8680605914073816,8,lure
viability_signature,1.7796158534321507,2.731711452102185,0,0.3597619429192861,0.9520955986700341,8,lure
hash_k34_s1206,2.05637046610005,3.1864722775988312,0,0.3271854675640833,1.1301018114987813,8,lure
trap_mixing_adversarial,1.8776975284473238,2.9307829865505557,0,0.347500037830437,1.0530854581032318,8,lure
behavioral_quotient_k5,1.011773936191731,1.8267916802412114,0,0.49707374273522525,0.8150177440494805,8,lure
behavioral_quotient_k8,1.3941594642673407,2.2622200556747223,0,0.4176831221666429,0.8680605914073816,8,lure
behavioral_quotient_k13,1.596283893020959,2.4643444844283406,0,0.3851658914065941,0.8680605914073816,8,lure
behavioral_quotient_k21,1.8002426880611153,2.891836322862122,0,0.3571119047158012,1.0915936348010067,8,lure
best_of_10_hashes_per_world,2.035741085726242,3.165842897225023,0,0.3294088566056909,1.1301018114987813,8,lure
identity,1.2367740538103271,3.1044763160576174,0,0.44707242481488363,1.8677022622472903,10,lure
all_one,0.0,0.0,0,1.0,0.0,10,lure
random_k,1.0494016114723972,2.869666322146947,0,0.4879473083275014,1.8202647106745498,10,lure
checkerboard,0.27295579336046805,1.3397199112209746,0,0.7855732345269479,1.0667641178605065,10,lure
region,0.7302748900297245,2.0680741506746467,0,0.5779428492907396,1.3377992606449223,10,lure
viability_signature,1.0536373381044983,2.6755934657332308,0,0.4869408933336775,1.6219561276287324,10,lure
hash_k34_s1206,1.2367740538103271,3.1044763160576174,0,0.44707242481488363,1.8677022622472903,10,lure
trap_mixing_adversarial,1.0918204518780563,2.854131803682846,0,0.47805250163903434,1.7623113518047895,10,lure
behavioral_quotient_k5,0.4510185772286499,1.8036412986543544,0,0.6891710524547069,1.3526227214257045,10,lure
behavioral_quotient_k8,0.7591669533117376,2.295578888551298,0,0.5684508784782706,1.5364119352395607,10,lure
behavioral_quotient_k13,1.0453378346540663,2.5327494459336224,0,0.4889167858028367,1.4874116112795561,10,lure
behavioral_quotient_k21,1.1659341754394874,2.9779265525967245,0,0.4616945479412324,1.811992377157237,10,lure
best_of_10_hashes_per_world,1.2333180531207377,3.0966881454895283,0,0.44776425758196203,1.8633700923687906,10,lure
identity,1.5295962115333959,2.7512490470878532,0,0.39532001014257445,1.2216528355544574,13,lure
all_one,0.0,0.0,0,1.0,0.0,13,lure
random_k,1.3759624220690025,2.4820907275301356,0,0.4208820773895885,1.106128305461133,13,lure
checkerboard,0.9204502141402857,1.5569643824350985,0,0.5207112335623149,0.6365141682948128,13,lure
region,1.0191729687233317,1.5627106573038905,0,0.49525227184091747,0.5435376885805587,13,lure
viability_signature,1.1932593674778507,2.024734600771956,0,0.45594242743390395,0.8314752332941056,13,lure
hash_k34_s1206,1.5295962115333959,2.7512490470878532,0,0.39532001014257445,1.2216528355544574,13,lure
trap_mixing_adversarial,0.8733012289108393,1.4702723555216508,0,0.5338169775191001,0.5969711266108115,13,lure
behavioral_quotient_k5,0.9858875567762959,1.5294252453568546,0,0.503553182851554,0.5435376885805587,13,lure
behavioral_quotient_k8,1.2683578837238045,1.8118955723043633,0,0.4408475431391673,0.5435376885805587,13,lure
behavioral_quotient_k13,1.2692603296533171,2.216260093040747,0,0.44067222562903285,0.9469997633874297,13,lure
behavioral_quotient_k21,1.5365986688969204,2.474159596906828,0,0.3942287017105727,0.9375609280099078,13,lure
best_of_10_hashes_per_world,1.5060197768204722,2.7276726123749295,0,0.39903914935130963,1.2216528355544574,13,lure
identity,2.0546207674238617,3.184722578922643,0,0.32737288067459774,1.1301018114987813,14,lure
all_one,0.0,0.0,0,1.0,0.0,14,lure
random_k,1.6907117563151475,2.729262543758253,0,0.371648876046638,1.0385507874431055,14,lure
checkerboard,0.8119583011236856,1.4048684574381194,0,0.5518890801073347,0.5929101563144338,14,lure
region,1.239135458973342,2.1071960503807237,0,0.446600939658428,0.8680605914073816,14,lure
viability_signature,1.7806089062887331,2.7327045049587673,0,0.35963345932553165,0.9520955986700341,14,lure
hash_k34_s1206,2.0546207674238617,3.184722578922643,0,0.32737288067459774,1.1301018114987813,14,lure
trap_mixing_adversarial,1.877768966523379,2.930854424626611,0,0.3474914114485347,1.0530854581032318,14,lure
behavioral_quotient_k5,0.9785868596923893,1.7936046037418698,0,0.505411220690847,0.8150177440494805,14,lure
behavioral_quotient_k8,1.57325676861028,2.4413173600176616,0,0.388612598710879,0.8680605914073816,14,lure
behavioral_quotient_k13,1.7246145077826303,2.816208142583637,0,0.3670243981831503,1.0915936348010067,14,lure
behavioral_quotient_k21,1.71169019693967,2.8032838317406767,0,0.3687736899770369,1.0915936348010067,14,lure
best_of_10_hashes_per_world,2.0418405748791186,3.1719423863779,0,0.32874832700255485,1.1301018114987813,14,lure
identity,1.3838463891368886,3.1462197117585813,0,0.41949011671094577,1.7623733226216927,12,lure
all_one,0.0,0.0,0,1.0,0.0,12,lure
random_k,1.1502894908610029,2.816214005226188,0,0.4650536610303515,1.665924514365185,12,lure
checkerboard,0.4226157831916425,1.3518326026835936,0,0.7029304832795381,0.9292168194919511,12,lure
region,0.9114026502143708,2.0777044278844454,0,0.523176003699611,1.1663017776700746,12,lure
viability_signature,1.2026895301289837,2.703684352678173,0,0.45399044500903524,1.5009948225491891,12,lure
hash_k34_s1206,1.3838463891368886,3.1462197117585813,0,0.41949011671094577,1.7623733226216927,12,lure
trap_mixing_adversarial,1.2435207943070095,2.888649788825065,0,0.445727983684183,1.6451289945180554,12,lure
