coarse_name,irreversibility_sensitivity,normalized_sensitivity,omega_irrev,omega_rev,pair_id
behavioral_quotient_k5,-0.0014419383233834626,-0.0014878836449442653,0.9705622914390845,0.969120353115701,12
behavioral_quotient_k8,-0.0008704562163751595,-0.0008937990997871229,0.9747539794627925,0.9738835232464174,12
behavioral_quotient_k13,-0.0057953370206338395,-0.005981578230785878,0.9746595392484848,0.968864202227851,12
behavioral_quotient_k21,-0.000838777606101071,-0.000853201411828097,0.9839332667536037,0.9830944891475026,12
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,12
identity,0.0,0.0,1.0,1.0,13
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,13
random_k,0.008181290520226647,0.009108828433620528,0.8899902558917845,0.8981715464120111,13
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,13
region,0.004086682145477805,0.004331812867460768,0.9393248341219239,0.9434115162674017,13
viability_signature,0.0002398717734000133,0.00024984279248237726,0.9598509558094399,0.9600908275828399,13
hash_k34_s1206,0.008128669876049766,0.009026705215308446,0.8923848267056602,0.90051349658171,13
trap_mixing_adversarial,0.0037660253005393773,0.0041442000445054165,0.9049799956673813,0.9087460209679207,13
behavioral_quotient_k5,-0.0019110563914787049,-0.001971949495575756,0.9710314095071797,0.969120353115701,13
behavioral_quotient_k8,-0.007170771800312448,-0.007339285211978988,0.9842103053789371,0.9770395335786246,13
behavioral_quotient_k13,0.0008963896332851995,0.0009173776642366844,0.9762253217733815,0.9771217114066667,13
behavioral_quotient_k21,0.0013762324127978287,0.0014075990829850694,0.9763399578246085,0.9777161902374063,13
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,13
identity,0.0,0.0,1.0,1.0,6
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,6
random_k,0.031181871598063626,0.040983220432109065,0.7296629636612371,0.7608448352593007,6
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,6
region,0.002686571567372731,0.003466954069512399,0.7722217524274061,0.7749083239947788,6
viability_signature,0.00018043172732906676,0.00019987922819871348,0.9025233107030117,0.9027037424303408,6
hash_k34_s1206,0.0064065003116987596,0.006967317136163827,0.9131009925288165,0.9195074928405153,6
trap_mixing_adversarial,0.003158103315697769,0.003466957881887931,0.9077567169064691,0.9109148202221669,6
behavioral_quotient_k5,-0.0013983830725297075,-0.0014429405677364386,0.9705187361882307,0.969120353115701,6
behavioral_quotient_k8,0.0019387996543822617,0.0026680925037252602,0.7247225329925402,0.7266613326469225,6
behavioral_quotient_k13,-0.028727734799086524,-0.03736016661775089,0.7976679564263945,0.768940221627308,6
behavioral_quotient_k21,-0.022394871332730215,-0.026688649040705652,0.8615108302774281,0.8391159589446979,6
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,6
identity,0.0,0.0,1.0,1.0,8
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,8
random_k,0.037219295437868616,0.04868125378041185,0.7273315849842942,0.7645508804221628,8
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,8
region,0.002686571567372731,0.003466954069512399,0.7722217524274061,0.7749083239947788,8
viability_signature,0.00018043172732906676,0.00019987922819871348,0.9025233107030117,0.9027037424303408,8
hash_k34_s1206,0.0064065003116987596,0.006967317136163827,0.9131009925288165,0.9195074928405153,8
trap_mixing_adversarial,0.003158103315697769,0.003466957881887931,0.9077567169064691,0.9109148202221669,8
behavioral_quotient_k5,-0.001893143971074318,-0.0019524720652953143,0.9715070015644618,0.9696138575933875,8
behavioral_quotient_k8,0.008563634417785737,0.011693233298092218,0.7237944909591292,0.7323581253769149,8
