kind,world,condition,alpha,T,metric,mean,ci_low,ci_high,ci_width
multi,F_T_attractive,independent_alpha0,0.5,1500,mean_hazard,7.353292188736656e-06,5.9288706171775565e-06,8.65387192479494e-06,2.7250013076173836e-06
multi,F_T_attractive,independent_alpha0,0.5,1500,late_hazard,0.0,0.0,0.0,0.0
multi,F_T_attractive,independent_alpha0,0.5,1500,endpoint_variance,0.029105628395660006,0.029046564158569557,0.029164385441173238,0.00011782128260368063
multi,F_T_attractive,independent_alpha0,0.5,1500,mean_pairwise_trajectory_distance,1.341970020532608,1.3371063701808452,1.346932631234328,0.009826261053482721
multi,F_T_attractive,independent_alpha0,0.5,1500,effective_dimension,2.461995670530531,2.4597728952765463,2.4640592420101166,0.004286346733570312
multi,F_T_attractive,independent_alpha0,0.5,1500,covariance_spectrum_rank,3.0,3.0,3.0,0.0
multi,F_T_attractive,independent_alpha0,0.5,1500,path_concentration_index,0.28885689165216183,0.28860776252118303,0.2889978302917389,0.0003900677705558908
multi,F_T_attractive,independent_alpha0,0.5,1500,collapse_score,0.28885689165216183,0.2886579508992731,0.2890746342972902,0.00041668339801709253
multi,F_T_attractive,independent_alpha0,0.5,1500,tube_thickness_mean,1.7631977869404687,1.763027869893445,1.7633856308791371,0.0003577609856921793
multi,F_T_attractive,independent_alpha0,0.5,1500,tube_erosion_slope,-0.03184341312282611,-0.031914446433592134,-0.03179894832169839,0.00011549811189374287
multi,F_T_attractive,independent_alpha0,0.5,1500,perturbation_survival_radius,1.6812196685208214,1.6810269565383593,1.6814239705767895,0.0003970140384301768
multi,F_T_attractive,independent_alpha0,0.5,1500,boundary_proximity,0.00040194097657007507,0.00039354521887563363,0.00041027082403087014,1.672560515523651e-05
multi,F_T_attractive,independent_alpha0,0.5,1500,restoration_probability,0.9983744408435999,0.9983587807757252,0.9983936706979741,3.48899222489818e-05
multi,F_T_attractive,independent_alpha0,0.5,1500,return_to_corridor_time,0.0,0.0,0.0,0.0
multi,F_T_attractive,independent_alpha0,0.5,1500,restoration_half_life,1.0,1.0,1.0,0.0
multi,F_T_attractive,independent_alpha0,0.5,1500,post_perturbation_viability,0.999999870525466,0.9999997569537825,0.9999999513559872,1.9440220466737657e-07
multi,F_T_attractive,independent_alpha0,0.5,1500,overshoot_or_absorption_rate,0.0,0.0,0.0,0.0
multi,F_T_attractive,independent_alpha0,0.5,1500,predictive_r2,0.6340331180228127,0.6330931777424282,0.6350651913632949,0.0019720136208666306
multi,F_T_attractive,independent_alpha0,0.5,1500,time_shuffled_r2,-0.0009336350007047794,-0.0010140130217469007,-0.0008495431531610288,0.00016446986858587194
multi,F_T_attractive,independent_alpha0,0.5,1500,A_pred_delta,0.6349667530235176,0.6338835682729923,0.6360025096488904,0.0021189413758980757
multi,F_T_attractive,independent_alpha0,0.5,1500,gaussian_mi_approx,0.7085726617395616,0.7075921862032373,0.7096942447669861,0.0021020585637487876
multi,F_T_attractive,independent_alpha0,0.5,1500,binned_mi_diagnostic,0.8703857047802106,0.8700767291567904,0.8706240316742978,0.0005473025175074531
multi,F_T_attractive,independent_alpha0,0.5,1500,component_prediction_balance,0.4643695591224564,0.46295628415627615,0.465525540964057,0.002569256807780862
multi,F_T_attractive,independent_alpha0,0.5,1500,component_erasure_proxy,0.5356304408775435,0.5343610141115883,0.5366208126809863,0.0022597985693979528
multi,F_T_attractive,independent_alpha0,0.5,1500,joint_vs_product_prediction_delta,0.46951502222153874,0.4688744269021683,0.4702343277829803,0.0013599008808120039
multi,F_T_attractive,independent_alpha0,0.5,1500,joint_vs_shuffled_prediction_delta,0.46951502222153874,0.46892065416814555,0.47020725432886845,0.001286600160722906
multi,F_T_attractive,independent_alpha0,0.525,900,p_viable_T,0.9988481481481482,0.9988147777777779,0.9988789166666667,6.413888888878727e-05
multi,F_T_attractive,independent_alpha0,0.525,900,tail_viability,0.9988481481481482,0.9988125833333331,0.9988815462962963,6.896296296321491e-05
multi,F_T_attractive,independent_alpha0,0.525,900,kernel_erosion_slope,9.135802469135619e-06,7.834876543209732e-06,1.0558641975308399e-05,2.7237654320986675e-06
multi,F_T_attractive,independent_alpha0,0.525,900,mean_hazard,9.145302526453897e-06,7.660767595788854e-06,1.0628538188616801e-05,2.9677705928279466e-06
multi,F_T_attractive,independent_alpha0,0.525,900,late_hazard,0.0,0.0,0.0,0.0
multi,F_T_attractive,independent_alpha0,0.525,900,endpoint_variance,0.05019348085754444,0.050101668322976224,0.05029193923394707,0.0001902709109708467
multi,F_T_attractive,independent_alpha0,0.525,900,mean_pairwise_trajectory_distance,1.4876510898272197,1.4823930313355393,1.492999051378833,0.010606020043293585
multi,F_T_attractive,independent_alpha0,0.525,900,effective_dimension,1.9310926338036856,1.9296112211048604,1.9327571664916146,0.0031459453867541676
multi,F_T_attractive,independent_alpha0,0.525,900,covariance_spectrum_rank,2.0,2.0,2.0,0.0
multi,F_T_attractive,independent_alpha0,0.525,900,path_concentration_index,0.3411742845623389,0.3409780922513766,0.34133445557060493,0.00035636331922833664
multi,F_T_attractive,independent_alpha0,0.525,900,collapse_score,0.3411742845623389,0.34098996245129654,0.3413668768680843,0.00037691441678777693
multi,F_T_attractive,independent_alpha0,0.525,900,tube_thickness_mean,1.735739105939865,1.7354237392875884,1.7360101560254892,0.00058641673790083
multi,F_T_attractive,independent_alpha0,0.525,900,tube_erosion_slope,-0.027874862154324807,-0.02793097567175407,-0.02781409393737295,0.00011688173438111765
multi,F_T_attractive,independent_alpha0,0.525,900,perturbation_survival_radius,1.6362810048792098,1.6358945808973577,1.6366353138287861,0.0007407329314284006
multi,F_T_attractive,independent_alpha0,0.525,900,boundary_proximity,0.00041089657116494385,0.00040177273230764205,0.00041987319580015866,1.8100463492516617e-05
multi,F_T_attractive,independent_alpha0,0.525,900,restoration_probability,0.9980483325720407,0.9980278446658314,0.9980697354884485,4.189082261707444e-05
multi,F_T_attractive,independent_alpha0,0.525,900,return_to_corridor_time,0.0,0.0,0.0,0.0
multi,F_T_attractive,independent_alpha0,0.525,900,restoration_half_life,1.0,1.0,1.0,0.0
multi,F_T_attractive,independent_alpha0,0.525,900,post_perturbation_viability,0.9999505784776476,0.9999483333776394,0.9999528068883551,4.473510715641282e-06
multi,F_T_attractive,independent_alpha0,0.525,900,overshoot_or_absorption_rate,0.0,0.0,0.0,0.0
multi,F_T_attractive,independent_alpha0,0.525,900,predictive_r2,0.8189559638500213,0.8184514086693525,0.8195035290055805,0.0010521203362280351
multi,F_T_attractive,independent_alpha0,0.525,900,time_shuffled_r2,-0.0007830612160141872,-0.0008775290156634607,-0.0007038862768650679,0.0001736427387983928
multi,F_T_attractive,independent_alpha0,0.525,900,A_pred_delta,0.8197390250660356,0.8191669123350653,0.820321186939274,0.0011542746042086938
multi,F_T_attractive,independent_alpha0,0.525,900,gaussian_mi_approx,1.0860700602327875,1.0852335413337568,1.0870020697639653,0.0017685284302084714
multi,F_T_attractive,independent_alpha0,0.525,900,binned_mi_diagnostic,0.9413046043066127,0.941185623320012,0.9414137699673043,0.00022814664729231549
multi,F_T_attractive,independent_alpha0,0.525,900,component_prediction_balance,0.5126163388291994,0.5113396784207888,0.5138169780621926,0.002477299641403863
multi,F_T_attractive,independent_alpha0,0.525,900,component_erasure_proxy,0.4873836611708005,0.48598041953312027,0.4885728227222959,0.0025924031891756405
multi,F_T_attractive,independent_alpha0,0.525,900,joint_vs_product_prediction_delta,0.6373212227390872,0.6367950361449686,0.6380174011323188,0.0012223649873501774
multi,F_T_attractive,independent_alpha0,0.525,900,joint_vs_shuffled_prediction_delta,0.6373212227390872,0.6367158496048716,0.6378971013861398,0.0011812517812681556
multi,F_T_attractive,independent_alpha0,0.525,1500,p_viable_T,0.9988503703703704,0.9988037037037037,0.998890824074074,8.712037037028608e-05
multi,F_T_attractive,independent_alpha0,0.525,1500,tail_viability,0.9988503703703704,0.998809,0.9988940833333333,8.508333333334672e-05
multi,F_T_attractive,independent_alpha0,0.525,1500,kernel_erosion_slope,9.012345679012383e-06,7.901234567901188e-06,1.0310185185185379e-05,2.4089506172841915e-06
