alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_excludes_zero,n_seeds
0.45,2400,center_of_mass,Delta_viable_propagation_vs_product,0.07858727736872886,0.008145637020272312,0.0006439691494261914,0.0773752990011016,0.07986166126104834,True,160
0.45,2400,center_of_mass,Delta_breadth_vs_product,0.054286493265753355,0.0028123898843058484,0.00022233894257059792,0.053855915527350154,0.05472358269807685,True,160
0.45,2400,center_of_mass,certified_transport_density_advantage,0.12370459941639078,0.02398499804763807,0.0018961805876307016,0.12004984180346369,0.12747106989253526,True,160
0.45,2400,center_of_mass,component_B_preservation,0.7162097403701455,0.004005663326311065,0.00031667549127373105,0.7155944034027675,0.7168309714472588,True,160
0.45,2400,center_of_mass,lower_rank_erasure_score,0.1418951298149272,0.0020028316631555336,0.0001583377456368656,0.1415967847713899,0.14219543969438705,True,160
0.45,2400,joint_basin,Delta_depth_vs_shuffled,-0.0013038585789400842,0.0014913714744570446,0.00011790326741719722,-0.0015234089603512427,-0.0010649897272887866,True,160
0.45,2400,joint_basin,Delta_depth_vs_product,-0.0014857949581870886,0.0012728258920159362,0.00010062572209014711,-0.001677816532645718,-0.0013034144566531863,True,160
0.45,2400,joint_basin,Delta_viable_propagation_vs_shuffled,-0.13066573256659117,0.06670644922813286,0.005273607854582019,-0.14097250097384587,-0.12072471603852702,True,160
0.45,2400,joint_basin,Delta_viable_propagation_vs_product,-0.12654913293200565,0.06506099590386312,0.005143523347377319,-0.1366070042424738,-0.11657674671924609,True,160
0.45,2400,joint_basin,Delta_breadth_vs_product,0.4218327795411415,0.0028788100194258033,0.0002275899153074779,0.4213943119584831,0.422277196980161,True,160
0.45,2400,joint_basin,certified_transport_density_advantage,0.17663427890287267,0.051152151688586486,0.004043932663859032,0.16879398856084007,0.18478329984269545,True,160
0.45,2400,joint_basin,component_B_preservation,0.9258208725903199,0.005144176625936962,0.0004066828706040201,0.9250404734976307,0.9266241513664304,True,160
0.45,2400,joint_basin,lower_rank_erasure_score,0.03708956370484002,0.002572088312968481,0.00020334143530201004,0.03673938278125243,0.03745266400127637,True,160
0.5,900,basin_transition_profile,Delta_depth_vs_shuffled,-0.020250143845464297,0.003378196703195815,0.00026706989915426487,-0.02073919664584526,-0.019708498710489037,True,160
0.5,900,basin_transition_profile,Delta_depth_vs_product,-0.019873043263659167,0.00318232027243321,0.00025158450762541225,-0.020368405056222314,-0.01936523232858622,True,160
0.5,900,basin_transition_profile,Delta_viable_propagation_vs_shuffled,-0.06747154099824293,0.054134737972423755,0.0042797268132316124,-0.07646061091565702,-0.05921137176582807,True,160
0.5,900,basin_transition_profile,Delta_viable_propagation_vs_product,-0.07069660475102438,0.05468433632478549,0.004323176378025084,-0.07978002733888061,-0.061912307479036824,True,160
0.5,900,basin_transition_profile,Delta_breadth_vs_product,0.29060601270519865,0.0027617365114023865,0.00021833444183197803,0.2901850762765999,0.29104900359115876,True,160
0.5,900,basin_transition_profile,certified_transport_density_advantage,0.041207179324074486,0.025568986060441994,0.0020214058353023104,0.03723441016568803,0.04514738919383615,True,160
0.5,900,basin_transition_profile,component_B_preservation,1.0,0.0,0.0,1.0,1.0,True,160
0.5,900,basin_transition_profile,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,False,160
0.5,900,boundary_v2_regime_sequence,Delta_depth_vs_shuffled,-0.0011232592443246917,0.0012267953479254026,9.698668805857487e-05,-0.00131902600775001,-0.0009423705052274018,True,160
0.5,900,boundary_v2_regime_sequence,Delta_depth_vs_product,-0.0012182423714553845,0.0011210693973862833,8.862831777132677e-05,-0.0014114476421365034,-0.0010611278815990024,True,160
0.5,900,boundary_v2_regime_sequence,Delta_viable_propagation_vs_shuffled,-0.262688317852254,0.08474297034306832,0.006699520049304911,-0.275681344463529,-0.25090859636005963,True,160
0.5,900,boundary_v2_regime_sequence,Delta_viable_propagation_vs_product,-0.2656442362275289,0.08326212919525006,0.006582449277304816,-0.27789421827117644,-0.25224040244782875,True,160
0.5,900,boundary_v2_regime_sequence,Delta_breadth_vs_product,-0.09920511178424982,0.0026264010076504844,0.00020763523082842117,-0.09957913354827237,-0.09879251105616894,True,160
0.5,900,boundary_v2_regime_sequence,certified_transport_density_advantage,-0.2253019378258756,0.03149507715540696,0.002489904472345572,-0.23006159770895473,-0.22061507779555356,True,160
0.5,900,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0,True,160
0.5,900,boundary_v2_regime_sequence,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,False,160
0.5,900,center_of_mass,Delta_depth_vs_shuffled,0.045311327947508445,0.006245989203978978,0.00049378880313489,0.04439898631303657,0.04629498258721237,True,160
0.5,900,center_of_mass,Delta_depth_vs_product,0.04422900692530072,0.006418274854473402,0.0005074091797280424,0.0432419497271679,0.045217120176674,True,160
