condition,alpha,T,control,effective_rank_A,effective_rank_B,mean_pairwise_distance_sketch_A,mean_pairwise_distance_sketch_B,component_rank_balance,component_distance_balance,component_erasure_score
shuffled,0.525,2400,none,1.8671380281448364,5.090814590454102,1.0928705930709839,0.49252113699913025,0.36676606365628556,0.4506673892790344,0.6332339363437145
time_shuffled,0.45,900,none,3.3375444412231445,6.307577133178711,1.5429933071136475,0.7529047727584839,0.529132560847684,0.4879507702900422,0.5120492297099578
time_shuffled,0.45,1500,none,4.733483791351318,6.719489574432373,1.5304820537567139,0.7457072138786316,0.7044409756006174,0.48723682322718015,0.5127631767728198
time_shuffled,0.45,2400,none,5.898622035980225,6.906628131866455,1.5315845012664795,0.7279876470565796,0.8540523571501705,0.47531667136524347,0.5246833286347565
time_shuffled,0.5,900,none,3.545799970626831,6.3909010887146,1.5849084854125977,0.7791915535926819,0.554820035767444,0.49163188964177684,0.5083681103582232
time_shuffled,0.5,1500,none,4.932775497436523,6.739609241485596,1.5730161666870117,0.7669182419776917,0.7319082339481753,0.48754631911566865,0.5124536808843314
time_shuffled,0.5,2400,none,6.0627360343933105,6.9102091789245605,1.581501841545105,0.748203456401825,0.8773592632888803,0.47309679745351463,0.5269032025464854
time_shuffled,0.525,900,none,3.647613048553467,6.429757595062256,1.5753607749938965,0.7897161841392517,0.5673017986486237,0.5012922732840744,0.49870772671592556
time_shuffled,0.525,1500,none,5.038341045379639,6.743754863739014,1.5793092250823975,0.7813551425933838,0.7471121277658922,0.4947448733813469,0.5052551266186531
time_shuffled,0.525,2400,none,6.1388163566589355,6.912126541137695,1.6131623983383179,0.7588023543357849,0.8881226812217072,0.47038187544999194,0.529618124550008
