world,T,seed,closure_rate,lineage_recurrence_rate,recoverable_alternative_count,branching_after_closure,lock_in_index,closure_without_lock_in
W2_asymmetry_only,50,13,0.4987474949899799,0.0,2919.0,0.9999830808456088,0.001002004008016,0.4982393180704385
W2_asymmetry_only,50,14,0.4996032408954226,0.0,2922.0,0.9999842170287764,0.0010023387905111,0.4990945918672992
W2_asymmetry_only,50,16,0.5008770464416973,0.0769230769230769,2938.0,0.9999996363789516,0.0010023387905111,0.5003748160018907
W2_asymmetry_only,50,15,0.4985591379886401,0.0384615384615384,2934.0,0.9999693801256052,0.0006682258603407,0.4982107322625578
W2_asymmetry_only,50,17,0.4973333333333333,0.0769230769230769,2933.0,0.9999840088185408,0.001,0.4968280550053685
W2_asymmetry_only,50,19,0.4990191986644407,0.0,2929.0,0.9999800513271648,0.0013355592654424,0.4983427874744844
W2_asymmetry_only,50,18,0.5010023387905111,0.0384615384615384,2924.0,0.999989808521863,0.0010023387905111,0.5004950638757184
W2_asymmetry_only,50,20,0.504744983277592,0.0769230769230769,2932.0,0.9999998739269658,0.0006688963210702,0.5044072976230324
W2_asymmetry_only,50,21,0.5020450751252087,0.1153846153846153,2925.0,0.9999934861678654,0.0010016694490818,0.5015389249497473
W2_asymmetry_only,50,22,0.4997078464106845,0.0384615384615384,2936.0,0.9999946911780272,0.0010016694490818,0.4992046541247623
W2_asymmetry_only,50,24,0.499561623246493,0.0,2925.0,0.9999981843658085,0.001002004008016,0.4990601543854239
W2_asymmetry_only,50,26,0.5022313980647314,0.0,2925.0,0.9999710078002304,0.001001001001001,0.5017141177148795
W2_asymmetry_only,50,25,0.4981029019346231,0.0384615384615384,2930.0,0.9999978920066462,0.000667111407605,0.4977695625094399
W2_asymmetry_only,50,23,0.4971609886439546,0.0384615384615384,2945.0,0.9999893576460251,0.0006680026720106,0.4968235963462748
W2_asymmetry_only,50,28,0.5003962295628962,0.1538461538461538,2929.0,0.9999990161990338,0.001001001001001,0.4998948406386955
W2_asymmetry_only,50,27,0.5008544514838279,0.0384615384615384,2940.0,0.9999584894412604,0.0006668889629876,0.5004996602950622
W2_asymmetry_only,50,29,0.5005213546880214,0.0,2929.0,0.9999750522253724,0.001001001001001,0.5000078579163966
W2_asymmetry_only,100,1,0.4974715814108993,0.0196078431372549,2928.0,0.999989103206176,0.0010030090270812,0.4969671975159286
W2_asymmetry_only,100,0,0.5030278984296692,0.0196078431372549,2931.0,0.9999993344098682,0.0010023387905111,0.5025233595795522
W2_asymmetry_only,100,2,0.4985183639398998,0.0588235294117647,2928.0,0.99999818557805,0.0010016694490818,0.4980181097083057
W2_asymmetry_only,100,3,0.4978066510695187,0.0784313725490196,2929.0,0.999989343413489,0.0006684491978609,0.4974685912393478
W2_asymmetry_only,100,4,0.5013142523364486,0.0392156862745098,2928.0,0.9999833934927924,0.0010013351134846,0.5008039520301427
W2_asymmetry_only,100,5,0.4991638795986622,0.0392156862745098,2931.0,0.9999878919122698,0.0010033444816053,0.498657008418738
W2_asymmetry_only,100,6,0.4998536299765808,0.0588235294117647,2914.0,0.9999999381828716,0.0010036801605888,0.4993519059364722
W2_asymmetry_only,100,7,0.4984949832775919,0.0,2920.0,0.9999742191724093,0.0010033444816053,0.4979819823683889
W2_asymmetry_only,100,8,0.4958584337349397,0.0784313725490196,2921.0,0.9999680845601464,0.001004016064257,0.4953447742509512
W2_asymmetry_only,100,9,0.5029424040066778,0.0196078431372549,2935.0,0.9999919582290936,0.0006677796327212,0.5026025074661246
W2_asymmetry_only,100,11,0.5026355421686747,0.0392156862745098,2925.0,0.9999586415091832,0.000669344042838,0.5022783317298402
W2_asymmetry_only,100,12,0.4997281699565072,0.0392156862745098,2913.0,0.9999978792930216,0.0006691201070592,0.4993927327220262
W2_asymmetry_only,100,13,0.5035547005687521,0.0392156862745098,2929.0,0.999999010925737,0.0010036801605888,0.5030487951529115
W2_asymmetry_only,100,14,0.4997494153023722,0.0196078431372549,2920.0,0.9999998741795748,0.0010023387905111,0.4992484342622212
W2_asymmetry_only,100,15,0.5055147058823529,0.0392156862745098,2920.0,0.9999959093576264,0.0010026737967914,0.5050057737264046
W2_asymmetry_only,100,10,0.5007517540928834,0.0196078431372549,2934.0,0.999979706329068,0.0006682258603407,0.5004069835204435
W2_asymmetry_only,100,16,0.4995608899297424,0.0,2921.0,0.9999998738425936,0.0010036801605888,0.4990594276154629
W2_asymmetry_only,100,17,0.5025693516042781,0.0196078431372549,2935.0,0.9999777286313014,0.0010026737967914,0.5020542567998627
W2_asymmetry_only,100,18,0.499078418230563,0.0196078431372549,2919.0,0.9999998974697633,0.0006702412868632,0.4987438641329507
W2_asymmetry_only,100,19,0.4962298927613941,0.0784313725490196,2928.0,0.9999976595246164,0.0010053619302949,0.4957298418723302
W2_asymmetry_only,100,20,0.5011488970588235,0.0,2932.0,0.999988153609399,0.0010026737967914,0.5006404773385472
W3_relation_only,50,0,0.5033760972316003,0.0,2858.0,0.999962872472433,0.00101282916948,0.5028475930560542
W3_relation_only,50,2,0.5055841200269724,0.0769230769230769,2855.0,0.9999107025432172,0.0010114632501685,0.5050276385585001
W2_asymmetry_only,100,21,0.4998537767379679,0.0,2921.0,0.9999129113362808,0.0010026737967914,0.4993090985043265
W3_relation_only,50,4,0.5091119528619529,0.0,2862.0,0.99999654491525,0.0013468013468013,0.5084245235422786
W3_relation_only,50,3,0.5096527543088881,0.0769230769230769,2847.0,0.9999989907684868,0.0010138560324433,0.5091355259533448
W3_relation_only,50,1,0.5079044735956946,0.0769230769230769,2862.0,0.9999918387713818,0.0010090817356205,0.5073878155261934
W2_asymmetry_only,100,22,0.4996659986639946,0.0392156862745098,2937.0,0.999987924243688,0.001002004008016,0.4991593035317634
W3_relation_only,50,5,0.5093644781144782,0.1153846153846153,2849.0,0.999966878747902,0.001010101010101,0.5088331147925371
W2_asymmetry_only,100,23,0.4987048796791444,0.0196078431372549,2933.0,0.9999999194210928,0.0010026737967914,0.4982048012191564
W2_asymmetry_only,100,24,0.5017349498327759,0.0980392156862745,2924.0,0.9999160791206992,0.0010033444816053,0.5011894730483277
W2_asymmetry_only,100,26,0.5016480307076101,0.0588235294117647,2935.0,0.9999615442835028,0.0010013351134846,0.5011264410023923
W2_asymmetry_only,100,25,0.4991005689424364,0.0392156862745098,2916.0,0.99997733189298,0.000669344042838,0.4987551928574615
W2_asymmetry_only,100,27,0.5009615384615385,0.0,2922.0,0.9999897880604284,0.0010033444816053,0.5004537908103666
W2_asymmetry_only,100,29,0.5028418589100635,0.0392156862745098,2923.0,0.9999993335194464,0.0010030090270812,0.5023371691882047
W2_asymmetry_only,100,28,0.5002509200401472,0.0392156862745098,2926.0,0.9999964562356568,0.0006691201070592,0.4999144205057974
W3_relation_only,50,6,0.5035972736452373,0.1153846153846153,2857.0,0.9999928173862396,0.0010097610232245,0.5030851472546526
W3_relation_only,50,7,0.5090217025572006,0.0,2873.0,0.999761845741784,0.0010094212651413,0.5083867819080178
W3_relation_only,50,8,0.5113961914391641,0.0,2855.0,0.9999836511200748,0.0010111223458038,0.5108707550212592
W3_relation_only,50,9,0.508607658716829,0.1153846153846153,2860.0,0.9999964276089086,0.0010077258985555,0.5080933064924503
W3_relation_only,50,10,0.5058527721433401,0.1538461538461538,2838.0,0.9999324467927098,0.0013522650439486,0.5051345993545815
W3_relation_only,50,13,0.5131368083670715,0.0384615384615384,2857.0,0.9999460835483072,0.0010121457489878,0.51258980061444
W3_relation_only,50,11,0.5050505050505051,0.1153846153846153,2864.0,0.9999524039332758,0.001010101010101,0.5045163388888939
W3_relation_only,50,12,0.5098772696704774,0.0384615384615384,2858.0,0.9999991385512934,0.0010087424344317,0.5093624960421672
W3_relation_only,50,14,0.5086040053853921,0.0384615384615384,2876.0,0.9999950915639488,0.0010097610232245,0.5080879429550804
W3_relation_only,50,16,0.5087508434547908,0.1923076923076923,2834.0,0.999999379054342,0.0010121457489878,0.5082355978644103
W3_relation_only,50,17,0.5103358083023962,0.0,2860.0,0.9999997483729286,0.0013499831252109,0.5096467353320494
W3_relation_only,50,15,0.5069912398921833,0.0,2857.0,0.9999999181126612,0.001010781671159,0.5064787409652624
W3_relation_only,50,18,0.5144344234659474,0.0,2866.0,0.9999900782423248,0.0010114632501685,0.5139089930209038
W3_relation_only,50,19,0.5058291245791245,0.0,2864.0,0.9999562679822468,0.001010101010101,0.5052960874855644
W3_relation_only,50,20,0.5041582661290323,0.1153846153846153,2874.0,0.999996944437424,0.001008064516129,0.5036485031362146
W3_relation_only,50,21,0.5088260135135135,0.1538461538461538,2847.0,0.9999971583070606,0.0010135135135135,0.5083088670109672
W3_relation_only,50,23,0.504809314883564,0.0769230769230769,2846.0,0.9999759040075444,0.0010124873439082,0.5042860502754903
W3_relation_only,50,22,0.5097142616318274,0.0,2856.0,0.9999996720087378,0.0010114632501685,0.5091985373753742
W3_relation_only,50,24,0.5086606540795684,0.0384615384615384,2860.0,0.9999956899858544,0.0010114632501685,0.5081439724040117
W3_relation_only,50,25,0.5116792929292929,0.0384615384615384,2872.0,0.9999961347513469,0.001010101010101,0.5111604693887046
W3_relation_only,50,26,0.5082297615048706,0.0,2869.0,0.9999636768123732,0.0010077258985555,0.5076991632899498
W3_relation_only,50,27,0.5119460419485792,0.0,2857.0,0.9999568021408596,0.0010148849797023,0.511404383071334
W3_relation_only,50,28,0.5069608504893689,0.0,2857.0,0.9999853015920608,0.0010124873439082,0.5064401150715687
W3_relation_only,50,29,0.5116963985190172,0.1538461538461538,2883.0,0.999931270666542,0.001346348030966,0.510972355877127
W3_relation_only,100,1,0.5012606837606838,0.0588235294117647,2805.0,0.9999699620882392,0.001025641025641,0.5007315288575865
W3_relation_only,100,2,0.497641108466508,0.0980392156862745,2827.0,0.9999748228453718,0.0010200612036722,0.4971209676718093
W3_relation_only,100,0,0.5007029652351738,0.0392156862745098,2834.0,0.9999926350870828,0.0010224948875255,0.5001873151499023
W3_relation_only,100,3,0.4999149081007488,0.0980392156862745,2812.0,0.9999951412881464,0.0010211027910142,0.4994020171305275
W3_relation_only,100,5,0.4988166953528399,0.0,2801.0,0.9999562443805832,0.0010327022375215,0.4982797627417489
W3_relation_only,100,4,0.4950272016320979,0.0,2822.0,0.9999936148479878,0.0010200612036722,0.4945190859892518
W3_relation_only,100,6,0.5009191176470589,0.0392156862745098,2824.0,0.999967090043446,0.0010259917920656,0.5003887104311725
W3_relation_only,100,7,0.4982786467188031,0.0784313725490196,2827.0,0.999998017998708,0.0010200612036722,0.4977693854211465
W3_relation_only,100,8,0.4991037896893137,0.0588235294117647,2817.0,0.9999764094650188,0.0013656538067599,0.4984104286529254
W3_relation_only,100,9,0.4991444216290212,0.0196078431372549,2819.0,0.9999859951003656,0.0010266940451745,0.498624969733196
W3_relation_only,100,10,0.4942271642808453,0.1372549019607843,2812.0,0.9999952864586206,0.0010224948875255,0.4937194923538655
W3_relation_only,100,11,0.4957381520627344,0.0196078431372549,2831.0,0.9999916146487604,0.0010228435049437,0.4952269368271138
W3_relation_only,100,12,0.5036614441416893,0.0196078431372549,2832.0,0.9999314306058756,0.0010217983651226,0.5031123032300047
W3_relation_only,100,13,0.4973513328776486,0.0196078431372549,2827.0,0.9999947748645992,0.0010252904989747,0.4968388072177919
W3_relation_only,100,14,0.4944695934403826,0.0196078431372549,2816.0,0.9999995737502104,0.0010249402118209,0.4939625811190068
W3_relation_only,100,17,0.4986120601298258,0.0392156862745098,2821.0,0.9999964426535052,0.0010249402118209,0.4980992406614086
W3_relation_only,100,15,0.4978389250256761,0.0392156862745098,2812.0,0.9998986389350976,0.0010270455323519,0.4972772121245484
W3_relation_only,100,16,0.5027146032831737,0.0,2818.0,0.9999711240579848,0.0013679890560875,0.5020123987080308
W3_relation_only,100,19,0.5008097511080805,0.0392156862745098,2826.0,0.9999946333789496,0.0010228435049437,0.5002948161998462
W3_relation_only,100,18,0.497563269493844,0.0196078431372549,2811.0,0.9999483172755564,0.0010259917920656,0.4970270846217748
W3_relation_only,100,21,0.4969884628435697,0.1372549019607843,2833.0,0.9998776811687528,0.001357312521208,0.4962531856445884
