space,parent_rule_id,rule_id,control_type,ic_family,raw_persistence_score
q3_radius1,q3g3_s1_00018,q3g3_s1_00018,raw,random_uniform,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018,raw,sparse_active_010,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018,raw,sparse_active_025,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018,raw,single_active_1,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018,raw,single_active_2,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018,raw,two_cell_active,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018,raw,short_random_active_block,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018,raw,periodic_background_perturbation,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00011,stratum_null_q3g3_s1_00011,random_uniform,0.0007422607821472
q3_radius1,q3g3_s1_00013,q3g3_s1_00011,stratum_null_q3g3_s1_00011,sparse_active_010,0.0017554106132556
q3_radius1,q3g3_s1_00013,q3g3_s1_00011,stratum_null_q3g3_s1_00011,sparse_active_025,0.0010572792931628
q3_radius1,q3g3_s1_00013,q3g3_s1_00011,stratum_null_q3g3_s1_00011,single_active_1,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00011,stratum_null_q3g3_s1_00011,single_active_2,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00011,stratum_null_q3g3_s1_00011,two_cell_active,0.0
q3_radius1,q3g3_s1_00013,q3g3_s1_00011,stratum_null_q3g3_s1_00011,short_random_active_block,0.0044748829635522
q3_radius1,q3g3_s1_00013,q3g3_s1_00011,stratum_null_q3g3_s1_00011,periodic_background_perturbation,0.0094876893579094
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_left_neighbor_removed,left_neighbor_removed,random_uniform,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_left_neighbor_removed,left_neighbor_removed,sparse_active_010,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_left_neighbor_removed,left_neighbor_removed,sparse_active_025,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_left_neighbor_removed,left_neighbor_removed,single_active_1,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_left_neighbor_removed,left_neighbor_removed,single_active_2,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_left_neighbor_removed,left_neighbor_removed,two_cell_active,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_left_neighbor_removed,left_neighbor_removed,short_random_active_block,0.0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_left_neighbor_removed,left_neighbor_removed,periodic_background_perturbation,0.0
q3_radius1,q3g3_s1_00026,q3g3_s1_00026,raw,random_uniform,0.1042783253797719
q3_radius1,q3g3_s1_00026,q3g3_s1_00026,raw,sparse_active_010,0.0877741756740301
