rule_id,best_birth_condition,best_ic_persistence,worst_death_condition,worst_ic_persistence,motif_family,dominant_interaction_outcome,collapse_rate,explosion_rate,death_mode_proxy
q3g3_s7_00040,periodic_background_perturbation,0.1613391797262452,single_active_1,0.0,fragile_or_inconclusive,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00041,single_active_1,0.1268047038330498,single_active_2,0.0,local_phase_or_self_fakeout,collapse,0.0,0.0,loss_of_persistence
q3g3_s7_00043,sparse_active_025,0.1602754165674535,single_active_1,0.0,fragile_or_inconclusive,collapse,0.0,0.0,loss_of_persistence
q3g3_s7_00044,two_cell_active,0.2172381059787197,single_active_1,0.0,local_phase_or_self_fakeout,collapse,0.0,0.0,loss_of_persistence
q3g3_s7_00045,short_random_active_block,0.1581935865014655,single_active_1,0.0,near_validation_pra,pass_through,0.0,0.0,loss_of_persistence
q3g3_s7_00048,single_active_1,0.167562136171911,two_cell_active,0.112557064054154,chaotic_discovery,emission,0.0,0.0,weak_or_unclear
q3g3_s7_00049,random_uniform,0.0,random_uniform,0.0,fragile_or_inconclusive,collapse,0.09375,0.0,loss_of_persistence
q3g3_s7_00052,short_random_active_block,0.0040327961997863,single_active_1,0.0,local_phase_or_self_fakeout,pass_through,0.0,0.109375,loss_of_persistence
q3g3_s7_00054,short_random_active_block,0.1279013060648512,single_active_1,0.030329820965438,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s7_00056,sparse_active_010,0.1404234432410511,single_active_1,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00059,single_active_2,0.240821242535947,random_uniform,0.1207655068714799,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s7_00060,sparse_active_025,0.0115976078863509,single_active_1,0.0,local_phase_or_self_fakeout,pass_through,0.078125,0.0,loss_of_persistence
q3g3_s7_00061,single_active_2,0.1523117176435894,two_cell_active,0.1290516807589757,near_validation_pra,emission,0.0,0.0,weak_or_unclear
q3g3_s7_00062,random_uniform,0.0,random_uniform,0.0,regular_life_like_discovery,pass_through,0.0,0.0,loss_of_persistence
q3g3_s7_00064,sparse_active_025,0.1381901020635481,two_cell_active,0.0025283600477982,fragile_or_inconclusive,pass_through,0.03125,0.0,weak_or_unclear
q3g3_s7_00065,sparse_active_010,0.0975985873104402,single_active_1,0.0,fragile_or_inconclusive,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00066,sparse_active_025,0.1551841082313548,single_active_1,0.0,local_phase_or_self_fakeout,collapse,0.0,0.0,loss_of_persistence
q3g3_s7_00067,single_active_1,0.0305901163720487,random_uniform,0.0,regular_life_like_discovery,emission,0.0,0.765625,explosion
q3g3_s7_00068,periodic_background_perturbation,0.0419467634973725,single_active_2,0.0,fragile_or_inconclusive,chaotic_explosion,0.0,0.328125,loss_of_persistence
q3g3_s7_00069,sparse_active_025,0.1641655467605194,two_cell_active,0.0,local_phase_or_self_fakeout,pass_through,0.0,0.328125,loss_of_persistence
q3g3_s7_00071,sparse_active_010,0.0399087907998807,random_uniform,0.0,regular_life_like_discovery,chaotic_explosion,0.0,0.875,explosion
q3g3_s7_00072,sparse_active_025,0.1582264234099699,single_active_1,0.0,local_phase_or_self_fakeout,collapse,0.0,0.0,loss_of_persistence
q3g3_s7_00073,random_uniform,0.0,random_uniform,0.0,fragile_or_inconclusive,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00074,two_cell_active,0.1420608564679297,single_active_2,0.1182781485167624,local_phase_or_self_fakeout,emission,0.0,0.015625,weak_or_unclear
q3g3_s7_00075,two_cell_active,0.1300162055647411,single_active_2,0.1036119672405563,near_validation_pra,emission,0.0,0.0,weak_or_unclear
q3g3_s7_00076,random_uniform,0.1852080885165925,two_cell_active,0.14882503867956,near_validation_pra,chaotic_explosion,0.0,0.734375,explosion
q3g3_s7_00078,random_uniform,0.0,random_uniform,0.0,fragile_or_inconclusive,chaotic_explosion,0.0,1.0,explosion
q3g3_s7_00079,random_uniform,0.1540404495242761,single_active_1,0.0,fragile_or_inconclusive,emission,0.0,0.21875,loss_of_persistence
q3g3_s7_00082,random_uniform,0.1968357194859762,single_active_2,0.1579321523319256,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s7_00083,random_uniform,0.1589638870792089,single_active_1,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00084,two_cell_active,0.1472948212552463,single_active_2,0.0,local_phase_or_self_fakeout,collapse,0.0,0.0,loss_of_persistence
q3g3_s7_00086,sparse_active_010,0.1405335089225377,single_active_1,0.0,fragile_or_inconclusive,emission,0.0,0.0,loss_of_persistence
q3g3_s7_00087,random_uniform,0.0656379176077871,sparse_active_010,0.0,local_phase_or_self_fakeout,chaotic_explosion,0.0,0.953125,explosion
q3g3_s7_00088,random_uniform,0.1571719655426961,single_active_1,0.0,fragile_or_inconclusive,collapse,0.0,0.0,loss_of_persistence
q3g3_s7_00089,random_uniform,0.1380345583003272,single_active_1,0.0,fragile_or_inconclusive,collapse,0.03125,0.0,loss_of_persistence
