Delta_H_cond_ci_high,Delta_H_cond_ci_low,Delta_H_cond_mean,Delta_H_cond_se,Delta_H_recovery_ci_high,Delta_H_recovery_ci_low,Delta_H_recovery_mean,Delta_H_recovery_se,Delta_H_weighted_ci_high,Delta_H_weighted_ci_low,Delta_H_weighted_mean,Delta_H_weighted_se,Delta_p_viable_ci_high,Delta_p_viable_ci_low,Delta_p_viable_mean,Delta_p_viable_se,candidate_C,horizon_T,pair_id,start_state
3.4665647757816056,3.2921948678222015,3.3793798218019035,0.04448211937739902,3.461584159095497,3.2901005751012686,3.375842367098383,0.04374581224342551,0.02511784982464451,0.019104340820961352,0.02211109532280293,0.0015340584193069288,0.007227934378858272,0.005743494192570301,0.0064857142857142865,0.0003786837209918294,predictive_quotient_k8,8,2,start
2.624496653926186,2.304192909528558,2.464344781727372,0.08171013887694582,2.6202095436141075,2.3028737376187864,2.461541640616447,0.08095301173350036,0.007438137481122516,0.004590371832952829,0.006014254657037673,0.0007264708286147162,0.00280122479152382,0.0019987752084761794,0.0024,0.00020470652628766357,predictive_quotient_k8,10,2,start
1.7917594692280547,1.7917594692280547,1.7917594692280547,0.0,1.7917594692280547,1.7917594692280547,1.7917594692280547,0.0,0.43002227261473314,0.43002227261473314,0.43002227261473314,0.0,0.2246153846153846,0.2246153846153846,0.2246153846153846,0.0,identity,2,1,start
2.995732273553991,2.995732273553991,2.995732273553991,0.0,2.9877474524103893,2.9877474524103893,2.9877474524103893,0.0,0.47931716376863853,0.47931716376863853,0.47931716376863853,0.0,0.15773242630385487,0.15773242630385487,0.15773242630385487,0.0,identity,3,1,start
4.007333185232473,4.007333185232473,4.007333185232473,0.0,3.9949272243245515,3.9949272243245515,3.9949272243245515,0.0,0.3526453203004576,0.3526453203004576,0.3526453203004576,0.0,0.08765337954939341,0.08765337954939341,0.08765337954939341,0.0,identity,4,1,start
4.912654885736057,4.912654885736057,4.912654885736057,0.0,4.898513587858044,4.898513587858044,4.898513587858044,0.0,0.2137987406272332,0.2137987406272332,0.2137987406272332,0.0,0.043466065476511516,0.043466065476511516,0.043466065476511516,0.0,identity,5,1,start
5.7990926544605,5.7990926544605,5.7990926544605,0.0,5.785293656548447,5.785293656548447,5.785293656548447,0.0,0.12247683686220576,0.12247683686220576,0.12247683686220576,0.0,0.02112,0.02112,0.02112,0.0,identity,6,1,start
3.4598946571262834,3.296570627063363,3.378232642094823,0.0416642933833981,3.450309301119988,3.287150878448809,3.3687300897843984,0.04162204659979064,0.0222446076273496,0.018214424977686428,0.020229516302518014,0.0010281078187916258,0.006427522129082408,0.0055153350137747345,0.005971428571428571,0.00023270079472134507,identity,8,1,start
2.8214484732484495,2.500511297714562,2.6609798854815057,0.08187172845252232,2.8191305820384915,2.499054354914125,2.659092468476308,0.08165209875621603,0.009272118870558673,0.006437214647049921,0.007854666758804297,0.0007231898529359063,0.003314205706284114,0.0025143657222873148,0.0029142857142857143,0.00020404081224408138,identity,10,1,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2246153846153846,0.2246153846153846,0.2246153846153846,0.0,all_one,2,1,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15773242630385487,0.15773242630385487,0.15773242630385487,0.0,all_one,3,1,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08765337954939341,0.08765337954939341,0.08765337954939341,0.0,all_one,4,1,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043466065476511516,0.043466065476511516,0.043466065476511516,0.0,all_one,5,1,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02114742857142857,0.02103542857142857,0.02109142857142857,2.857142857142857e-05,all_one,6,1,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006461811654979471,0.00513818834502053,0.0058000000000000005,0.0003376590076425872,all_one,8,1,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002946408974233887,0.001967876740051827,0.002457142857142857,0.000249625569944403,all_one,10,1,start
1.2424533248940002,1.2424533248940002,1.2424533248940002,0.0,1.2424533248940002,1.2424533248940002,1.2424533248940002,0.0,0.29818879797456005,0.29818879797456005,0.29818879797456005,0.0,0.2246153846153846,0.2246153846153846,0.2246153846153846,0.0,random_k,2,1,start
2.4412145291060345,2.4412145291060345,2.4412145291060345,0.0,2.3986042247852497,2.3986042247852497,2.3986042247852497,0.0,0.39059432465696553,0.39059432465696553,0.39059432465696553,0.0,0.15773242630385487,0.15773242630385487,0.15773242630385487,0.0,random_k,3,1,start
