candidate_C,compression_ratio,condition,family,label_entropy,macro_recoverability_mixing_rate,macro_viability_mixing_rate,mean_fiber_size,num_macro_labels,num_micro_states,pair_id,singleton_fraction,trap_mixing_rate,world_id,world_seed
predictive_quotient_k5,0.008818342151675485,reversible,A,1.1134719922686394,0.4,0.6,113.4,5,567,6,0.0,0.4,A_6_reversible,6
predictive_quotient_k8,0.014109347442680775,reversible,A,1.7479214068332343,0.25,0.375,70.875,8,567,6,0.0,0.5,A_6_reversible,6
identity,1.0,reversible,A,6.340359303727763,0.0,0.0,1.0,567,567,5,1.0,0.0,A_5_reversible,5
all_one,0.001763668430335097,reversible,A,0.0,1.0,1.0,567.0,1,567,5,0.0,1.0,A_5_reversible,5
random_k,0.02292768959435626,reversible,A,2.5607001204098574,1.0,1.0,43.61538461538461,13,567,5,0.0,1.0,A_5_reversible,5
hash_k34_s1206,0.059964726631393295,reversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,5,0.0,1.0,A_5_reversible,5
trap_mixing_adversarial,0.007054673721340388,reversible,A,0.9223011154613077,1.0,1.0,141.75,4,567,5,0.0,0.5,A_5_reversible,5
best_of_10_hashes_per_world,0.059964726631393295,reversible,A,3.496795609134514,0.9705882352941176,0.9705882352941176,16.676470588235293,34,567,5,0.0,0.9705882352941176,A_5_reversible,5
viability_signature,0.026455026455026454,reversible,A,2.02725861900005,0.0,0.13333333333333333,37.8,15,567,5,0.0,0.13333333333333333,A_5_reversible,5
behavioral_quotient_k5,0.008818342151675485,reversible,A,1.2218821047543706,0.2,0.6,113.4,5,567,5,0.0,0.4,A_5_reversible,5
predictive_quotient_k5,0.008818342151675485,reversible,A,1.1936536149402392,0.4,0.6,113.4,5,567,5,0.0,0.4,A_5_reversible,5
predictive_quotient_k8,0.014109347442680775,reversible,A,1.6280441122770783,0.375,0.5,70.875,8,567,5,0.0,0.375,A_5_reversible,5
identity,1.0,reversible,A,6.340359303727763,0.0,0.0,1.0,567,567,7,1.0,0.0,A_7_reversible,7
all_one,0.001763668430335097,reversible,A,0.0,1.0,1.0,567.0,1,567,7,0.0,1.0,A_7_reversible,7
random_k,0.02292768959435626,reversible,A,2.5518823706874976,1.0,1.0,43.61538461538461,13,567,7,0.0,1.0,A_7_reversible,7
hash_k34_s1206,0.059964726631393295,reversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,7,0.0,1.0,A_7_reversible,7
trap_mixing_adversarial,0.007054673721340388,reversible,A,0.8481934526498114,1.0,1.0,141.75,4,567,7,0.0,0.5,A_7_reversible,7
