candidate,candidate_category,fake_viability_rate,family,hidden_nonviability_rate,macro_viability_purity,mixed_viability_label_fraction,pair_id,variant,world_seed
predictive_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,20,hidden,320
predictive_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,20,hidden,320
predictive_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,20,hidden,320
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,15,hidden,315
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.8367346938775511,1.0,15,hidden,315
random_k,ADVERSARIAL,0.8461538461538461,D,0.0,0.8455075823693543,0.8461538461538461,15,hidden,315
hash_k34_s1206,ADVERSARIAL,0.8529411764705882,D,0.0,0.8371657754010695,0.8529411764705882,15,hidden,315
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.8367163062695498,1.0,15,hidden,315
checkerboard,ADVERSARIAL,1.0,D,0.0,0.8391666666666666,1.0,15,hidden,315
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.8762254901960784,0.5,15,hidden,315
viability_signature,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,15,hidden,315
behavioral_quotient_k5,THEORY_INFORMED,0.0,D,0.2,0.993103448275862,0.2,15,hidden,315
behavioral_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,15,hidden,315
behavioral_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,15,hidden,315
behavioral_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,15,hidden,315
predictive_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,15,hidden,315
predictive_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,15,hidden,315
predictive_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,15,hidden,315
predictive_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,15,hidden,315
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,16,hidden,316
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.9382716049382716,1.0,16,hidden,316
random_k,ADVERSARIAL,1.0,D,0.0,0.9391863751482273,1.0,16,hidden,316
hash_k34_s1206,ADVERSARIAL,0.6176470588235294,D,0.0,0.9367660970476942,0.6176470588235294,16,hidden,316
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.9385409394634487,1.0,16,hidden,316
checkerboard,ADVERSARIAL,1.0,D,0.0,0.9384146341463415,1.0,16,hidden,316
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.9546957671957672,0.5,16,hidden,316
viability_signature,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,16,hidden,316
