candidate,early_mean,irreversibility_sensitivity,late_mean,norm_irrev_sensitivity,pair_id,start_name
behavioral_quotient_k21,1.3355393603009178,-0.9181901051311478,2.2537294654320656,-0.6875050877753729,14,near_trap
predictive_quotient_k5,0.5473546392462223,-1.2492211016559225,1.7965757409021448,-2.282288322934945,14,near_trap
predictive_quotient_k8,0.8625433327259333,-0.8861479348616699,1.7486912675876032,-1.027366279745202,14,near_trap
predictive_quotient_k13,1.5381512830694697,-0.8175460335419409,2.3556973166114106,-0.5315121097259566,14,near_trap
predictive_quotient_k21,1.5425382905413678,-0.8152134771256683,2.357751767667036,-0.5284883248114131,14,near_trap
identity,0.0,0.0,0.0,0.0,17,near_trap
all_one,0.0,0.0,0.0,0.0,17,near_trap
random_k,0.0,0.0,0.0,0.0,17,near_trap
hash_k34_s1206,0.0,0.0,0.0,0.0,17,near_trap
best_of_10_hashes_per_world,0.0,0.0,0.0,0.0,17,near_trap
checkerboard,0.0,0.0,0.0,0.0,17,near_trap
trap_mixing_adversarial,0.0,0.0,0.0,0.0,17,near_trap
viability_signature,0.0,0.0,0.0,0.0,17,near_trap
behavioral_quotient_k5,0.0,0.0,0.0,0.0,17,near_trap
behavioral_quotient_k8,0.0,0.0,0.0,0.0,17,near_trap
behavioral_quotient_k13,0.0,0.0,0.0,0.0,17,near_trap
behavioral_quotient_k21,0.0,0.0,0.0,0.0,17,near_trap
predictive_quotient_k5,0.0,0.0,0.0,0.0,17,near_trap
predictive_quotient_k8,0.0,0.0,0.0,0.0,17,near_trap
predictive_quotient_k13,0.0,0.0,0.0,0.0,17,near_trap
predictive_quotient_k21,0.0,0.0,0.0,0.0,17,near_trap
identity,0.0,0.0,0.0,0.0,12,near_trap
all_one,0.0,0.0,0.0,0.0,12,near_trap
random_k,0.0,0.0,0.0,0.0,12,near_trap
hash_k34_s1206,0.0,0.0,0.0,0.0,12,near_trap
best_of_10_hashes_per_world,0.0,0.0,0.0,0.0,12,near_trap
checkerboard,0.0,0.0,0.0,0.0,12,near_trap
trap_mixing_adversarial,0.0,0.0,0.0,0.0,12,near_trap
viability_signature,0.0,0.0,0.0,0.0,12,near_trap
behavioral_quotient_k5,0.0,0.0,0.0,0.0,12,near_trap
behavioral_quotient_k8,0.0,0.0,0.0,0.0,12,near_trap
behavioral_quotient_k13,0.0,0.0,0.0,0.0,12,near_trap
behavioral_quotient_k21,0.0,0.0,0.0,0.0,12,near_trap
predictive_quotient_k5,0.0,0.0,0.0,0.0,12,near_trap
predictive_quotient_k8,0.0,0.0,0.0,0.0,12,near_trap
predictive_quotient_k13,0.0,0.0,0.0,0.0,12,near_trap
predictive_quotient_k21,0.0,0.0,0.0,0.0,12,near_trap
identity,0.0,0.0,0.0,0.0,16,near_trap
all_one,0.0,0.0,0.0,0.0,16,near_trap
random_k,0.0,0.0,0.0,0.0,16,near_trap
hash_k34_s1206,0.0,0.0,0.0,0.0,16,near_trap
