candidate,collapse,early_mean,horizon_coherence_score,late_mean,lure_detected,pair_id,start_name
behavioral_quotient_k5,0.20536964870752206,0.31800995092409823,0.8296210221256748,0.11264030221657616,0,8,near_trap
behavioral_quotient_k8,0.309201478370002,0.5951285757265645,0.7638243742628767,0.2859270973565625,0,8,near_trap
behavioral_quotient_k13,0.861031163834023,0.9736714660505992,0.5373365150639603,0.11264030221657616,1,8,near_trap
behavioral_quotient_k21,1.2185861782716876,1.3312264804882636,0.450737505621267,0.11264030221657616,1,8,near_trap
predictive_quotient_k5,0.3232954362758955,0.4359357384924717,0.7556891474017815,0.11264030221657616,0,8,near_trap
predictive_quotient_k8,0.3114691409792866,0.5973962383358491,0.7625036447699336,0.2859270973565625,0,8,near_trap
predictive_quotient_k13,0.5051665103774242,0.7910936077339867,0.664378321671034,0.2859270973565625,1,8,near_trap
predictive_quotient_k21,0.8611353237091731,1.1470624210657356,0.5373064426110817,0.2859270973565625,1,8,near_trap
identity,0.0,2.6725191272151436,1.0,2.926041739493816,0,11,near_trap
all_one,0.0,0.0,1.0,0.0,0,11,near_trap
random_k,0.0,2.6725191272151436,1.0,2.926041739493816,0,11,near_trap
hash_k34_s1206,0.0,2.6725191272151436,1.0,2.926041739493816,0,11,near_trap
best_of_10_hashes_per_world,0.0,1.1830813346421203,1.0,1.4371201987968811,0,11,near_trap
checkerboard,0.0,1.6204079415004946,1.0,2.236437036724889,0,11,near_trap
trap_mixing_adversarial,0.0,2.0448446098157556,1.0,2.386417782340529,0,11,near_trap
viability_signature,0.0,0.9709474981837986,1.0,1.619533607165873,0,11,near_trap
behavioral_quotient_k5,0.0,1.2570123236515927,1.0,1.6910197761498889,0,11,near_trap
behavioral_quotient_k8,0.0,1.826739643145407,1.0,2.156700487970862,0,11,near_trap
behavioral_quotient_k13,0.0,1.7779850931044776,1.0,2.138141020901696,0,11,near_trap
behavioral_quotient_k21,0.0,2.078507109093833,1.0,2.3886148166743455,0,11,near_trap
predictive_quotient_k5,0.0,1.238004984470936,1.0,1.6554633176448916,0,11,near_trap
predictive_quotient_k8,0.0,1.571852224475809,1.0,1.9117464110302784,0,11,near_trap
predictive_quotient_k13,0.0,1.3463264312064875,1.0,1.7337079948070542,0,11,near_trap
predictive_quotient_k21,0.0,1.6537265120426243,1.0,2.0315157449218204,0,11,near_trap
identity,1.2558746221776125,1.4291614173175988,0.4432870471474574,0.17328679513998632,1,10,near_trap
all_one,0.0,0.0,1.0,0.0,0,10,near_trap
random_k,1.178506194714687,1.3517929898546734,0.4590301383700987,0.17328679513998632,1,10,near_trap
hash_k34_s1206,1.2558746221776125,1.4291614173175988,0.4432870471474574,0.17328679513998632,1,10,near_trap
best_of_10_hashes_per_world,0.3779549867973705,0.3779549867973705,0.72571311079195,0.0,0,10,near_trap
checkerboard,0.8364311306338754,0.8364311306338754,0.5445344414602866,0.0,1,10,near_trap
trap_mixing_adversarial,1.0560425893059757,1.229329384445962,0.48637124795043934,0.17328679513998632,1,10,near_trap
viability_signature,0.9937394963925783,1.1670262915325647,0.5015700405240376,0.17328679513998632,1,10,near_trap
behavioral_quotient_k5,0.43510771051599806,0.43510771051599806,0.6968118090874493,0.0,0,10,near_trap
behavioral_quotient_k8,1.0708630413122897,1.0708630413122897,0.48289045680505643,0.0,1,10,near_trap
behavioral_quotient_k13,1.100363687412274,1.100363687412274,0.47610802166935057,0.0,1,10,near_trap
behavioral_quotient_k21,1.0662461181058154,1.2395329132458017,0.4839694512852745,0.17328679513998632,1,10,near_trap
predictive_quotient_k5,0.4359357384924717,0.4359357384924717,0.6964099946769607,0.0,0,10,near_trap
predictive_quotient_k8,0.4081678049146955,0.5814546000546819,0.7101426381925969,0.17328679513998632,0,10,near_trap
predictive_quotient_k13,1.0751604003676722,1.0751604003676722,0.48189046004483427,0.0,1,10,near_trap
predictive_quotient_k21,0.8991951642609901,1.0724819594009765,0.5265388301413022,0.17328679513998632,1,10,near_trap
identity,1.1432343199610364,1.4291614173175988,0.46658454033069974,0.2859270973565625,1,12,near_trap
all_one,0.0,0.0,1.0,0.0,0,12,near_trap
random_k,1.107957135975918,1.3938842333324806,0.4743929480032009,0.2859270973565625,1,12,near_trap
hash_k34_s1206,1.1432343199610364,1.4291614173175988,0.46658454033069974,0.2859270973565625,1,12,near_trap
best_of_10_hashes_per_world,0.5528355412249437,0.5528355412249437,0.6439831994128347,0.0,0,12,near_trap
checkerboard,0.7237908284172992,0.8364311306338754,0.5801167888322919,0.11264030221657616,1,12,near_trap
