adaptive_idx,bounded_cost_sustainment,candidate,candidate_category,compression_ratio,fake_viability_rate,fake_viability_rejection_score,family,heldout_l1_loss,heldout_nll,heldout_predictive_quality,hidden_nonviability_rate,horizon_coherence,irreversibility_sensitivity,label_entropy,macro_viability_purity,mc_fallback_used,mean_fiber_size,mixed_viability_label_fraction,norm_irrev_sensitivity,pair_id,quotient_gate_pass,raw_I_mean,recoverability_preservation,recoverability_purity,singleton_fraction,truncated,truncation_fraction,unsustainable_branch_penalty,variant,world_seed
,,behavioral_quotient_k13,THEORY_INFORMED,0.037900874635568516,0.15384615384615385,0.8461538461538461,A,1.0,inf,0.0,0.15384615384615385,1.0,0.0,2.410712782051946,0.9334748069268193,0,26.384615384615383,0.3076923076923077,0.0,5,1,0.0,0.9811320754716982,0.9615384615384616,0.0,0,0.0,,reversible,5
,,behavioral_quotient_k21,THEORY_INFORMED,0.061224489795918366,0.14285714285714285,0.8571428571428572,A,1.0,inf,0.0,0.14285714285714285,1.0,0.0,2.810084683026122,0.9217403628117913,0,16.333333333333332,0.2857142857142857,0.0,5,1,0.0,1.0,1.0,0.0,0,0.0,,reversible,5
,,predictive_quotient_k5,THEORY_INFORMED,0.014577259475218658,0.0,1.0,A,1.0,inf,0.0,0.4,1.0,0.0,1.500832328757121,0.8957264957264958,0,68.6,0.4,0.0,5,1,0.0,0.9549390115894657,0.9429487179487179,0.0,0,0.0,,reversible,5
,,predictive_quotient_k8,THEORY_INFORMED,0.023323615160349854,0.125,0.875,A,1.0,inf,0.0,0.25,1.0,0.0,1.9256300063132497,0.9478727035749752,0,42.875,0.375,0.0,5,1,0.0,0.9723101558380148,0.9681164142667991,0.0,0,0.0,,reversible,5
,,predictive_quotient_k13,THEORY_INFORMED,0.037900874635568516,0.07692307692307693,0.9230769230769231,A,1.0,inf,0.0,0.15384615384615385,1.0,0.0,2.388833546767159,0.9459658762290342,0,26.384615384615383,0.23076923076923078,0.0,5,1,0.0,0.9916567342073899,0.9903846153846154,0.0,0,0.0,,reversible,5
,,predictive_quotient_k21,THEORY_INFORMED,0.061224489795918366,0.09523809523809523,0.9047619047619048,A,1.0,inf,0.0,0.09523809523809523,1.0,0.0,2.8272017635356943,0.9440798541638877,0,16.333333333333332,0.19047619047619047,0.0,5,1,0.0,1.0,1.0,0.047619047619047616,0,0.0,,reversible,5
,,identity,DIAGNOSTIC_ONLY,1.0,0.0,1.0,A,1.0,inf,0.0,0.0,1.0,0.0,5.837730447165968,1.0,0,1.0,0.0,0.0,3,0,0.0,1.0,1.0,1.0,0,0.0,,reversible,3
,,all_one,DIAGNOSTIC_ONLY,0.0029154518950437317,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.0,0.7784256559766763,0,343.0,1.0,0.0,3,0,0.0,0.8349881830247199,0.7288629737609329,0.0,0,0.0,,reversible,3
,,random_k,ADVERSARIAL,0.037900874635568516,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,2.5444632041586135,0.7824375839462641,0,26.384615384615383,1.0,0.0,3,1,0.0,0.8424739672832803,0.7363618848314283,0.0,0,0.0,,reversible,3
,,hash_k34_s1206,ADVERSARIAL,0.09912536443148688,0.9705882352941176,0.02941176470588236,A,1.0,inf,0.0,0.0,1.0,0.0,3.5259755701090882,0.779144385026738,0,10.088235294117647,0.9705882352941176,0.0,3,1,0.0,0.8381771988908515,0.7296791443850267,0.0,0,0.0,,reversible,3
0,,best_of_10_hashes_per_world,ADAPTIVE_HASH,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6904886175651522,0.7759604867377632,0,171.5,1.0,0.0,3,1,0.0,0.8354117774401945,0.7254922067268252,0.0,0,0.0,,reversible,3
,,checkerboard,ADVERSARIAL,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6929389195380611,0.7782142857142857,0,171.5,1.0,0.0,3,1,0.0,0.8349829650931443,0.7286904761904762,0.0,0,0.0,,reversible,3
,,trap_mixing_adversarial,ADVERSARIAL,0.011661807580174927,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,1.3284760744713622,0.8061301443654385,0,85.75,1.0,0.0,3,1,0.0,0.8578348445923966,0.7562486533074768,0.0,0,0.0,,reversible,3
,,viability_signature,THEORY_INFORMED,0.0728862973760933,0.0,1.0,A,1.0,inf,0.0,0.12,1.0,0.0,2.830613101416443,0.9444175824175823,0,13.72,0.16,0.0,3,1,0.0,1.0,1.0,0.16,0,0.0,,reversible,3
,,behavioral_quotient_k5,THEORY_INFORMED,0.014577259475218658,0.0,1.0,A,1.0,inf,0.0,0.4,1.0,0.0,1.4943510637171566,0.9005847953216375,0,68.6,0.4,0.0,3,1,0.0,0.9618227958022016,0.9502923976608187,0.0,0,0.0,,reversible,3
,,behavioral_quotient_k8,THEORY_INFORMED,0.023323615160349854,0.125,0.875,A,1.0,inf,0.0,0.25,1.0,0.0,1.9419185470595874,0.9376174812030076,0,42.875,0.375,0.0,3,1,0.0,0.996807317283631,0.9967105263157895,0.0,0,0.0,,reversible,3
,,behavioral_quotient_k13,THEORY_INFORMED,0.037900874635568516,0.15384615384615385,0.8461538461538461,A,1.0,inf,0.0,0.15384615384615385,1.0,0.0,2.270137529929101,0.9374814374814375,0,26.384615384615383,0.3076923076923077,0.0,3,1,0.0,0.9916567342073899,0.9903846153846154,0.07692307692307693,0,0.0,,reversible,3
,,behavioral_quotient_k21,THEORY_INFORMED,0.061224489795918366,0.09523809523809523,0.9047619047619048,A,1.0,inf,0.0,0.14285714285714285,1.0,0.0,2.817695538771521,0.9404426645210054,0,16.333333333333332,0.23809523809523808,0.0,3,1,0.0,1.0,1.0,0.0,0,0.0,,reversible,3
,,predictive_quotient_k5,THEORY_INFORMED,0.014577259475218658,0.0,1.0,A,1.0,inf,0.0,0.4,1.0,0.0,1.5015486058184393,0.8911111111111112,0,68.6,0.4,0.0,3,1,0.0,0.9537953843957309,0.9405555555555555,0.0,0,0.0,,reversible,3
,,predictive_quotient_k8,THEORY_INFORMED,0.023323615160349854,0.25,0.75,A,1.0,inf,0.0,0.25,1.0,0.0,1.931071743047299,0.9335996240601504,0,42.875,0.5,0.0,3,1,0.0,0.9850656009369513,0.9833176691729324,0.0,0,0.0,,reversible,3
,,predictive_quotient_k13,THEORY_INFORMED,0.037900874635568516,0.15384615384615385,0.8461538461538461,A,1.0,inf,0.0,0.23076923076923078,1.0,0.0,2.412977909030246,0.9348668107288797,0,26.384615384615383,0.38461538461538464,0.0,3,1,0.0,0.9845440494590416,0.978021978021978,0.0,0,0.0,,reversible,3
,,predictive_quotient_k21,THEORY_INFORMED,0.061224489795918366,0.047619047619047616,0.9523809523809523,A,1.0,inf,0.0,0.14285714285714285,1.0,0.0,2.844606530326198,0.9413141501811453,0,16.333333333333332,0.23809523809523808,0.0,3,1,0.0,1.0,1.0,0.0,0,0.0,,reversible,3
,,identity,DIAGNOSTIC_ONLY,1.0,0.0,1.0,A,1.0,inf,0.0,0.0,1.0,0.0,5.837730447165968,1.0,0,1.0,0.0,0.0,7,0,0.0,1.0,1.0,1.0,0,0.0,,reversible,7
,,all_one,DIAGNOSTIC_ONLY,0.0029154518950437317,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.0,0.7784256559766763,0,343.0,1.0,0.0,7,0,0.0,0.8349881830247199,0.7288629737609329,0.0,0,0.0,,reversible,7
,,random_k,ADVERSARIAL,0.037900874635568516,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,2.5435398873608177,0.7824320222463459,0,26.384615384615383,1.0,0.0,7,1,0.0,0.8416985587267112,0.7332952586268237,0.0,0,0.0,,reversible,7
,,hash_k34_s1206,ADVERSARIAL,0.09912536443148688,0.9705882352941176,0.02941176470588236,A,1.0,inf,0.0,0.0,1.0,0.0,3.5259755701090882,0.779144385026738,0,10.088235294117647,0.9705882352941176,0.0,7,1,0.0,0.8381771988908515,0.7296791443850267,0.0,0,0.0,,reversible,7
0,,best_of_10_hashes_per_world,ADAPTIVE_HASH,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6921906413097776,0.7767236680746696,0,171.5,1.0,0.0,7,1,0.0,0.8357276847921202,0.7269382749693418,0.0,0,0.0,,reversible,7
,,checkerboard,ADVERSARIAL,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6929389195380611,0.7782142857142857,0,171.5,1.0,0.0,7,1,0.0,0.8349829650931443,0.7286904761904762,0.0,0,0.0,,reversible,7
,,trap_mixing_adversarial,ADVERSARIAL,0.011661807580174927,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,1.3284760744713622,0.8061301443654385,0,85.75,1.0,0.0,7,1,0.0,0.8578348445923966,0.7562486533074768,0.0,0,0.0,,reversible,7
,,viability_signature,THEORY_INFORMED,0.0728862973760933,0.0,1.0,A,1.0,inf,0.0,0.12,1.0,0.0,2.830613101416443,0.9444175824175823,0,13.72,0.16,0.0,7,1,0.0,1.0,1.0,0.16,0,0.0,,reversible,7
,,behavioral_quotient_k5,THEORY_INFORMED,0.014577259475218658,0.0,1.0,A,1.0,inf,0.0,0.4,1.0,0.0,1.5050043017419759,0.886720867208672,0,68.6,0.4,0.0,7,1,0.0,0.950410915685155,0.9360433604336043,0.0,0,0.0,,reversible,7
,,behavioral_quotient_k8,THEORY_INFORMED,0.023323615160349854,0.25,0.75,A,1.0,inf,0.0,0.25,1.0,0.0,1.9412773111165835,0.9256787166085947,0,42.875,0.5,0.0,7,1,0.0,0.9786877730533157,0.9759001161440186,0.0,0,0.0,,reversible,7
,,behavioral_quotient_k13,THEORY_INFORMED,0.037900874635568516,0.23076923076923078,0.7692307692307692,A,1.0,inf,0.0,0.15384615384615385,1.0,0.0,2.4383566172688402,0.9382732787556185,0,26.384615384615383,0.38461538461538464,0.0,7,1,0.0,0.985616546156828,0.982060589138629,0.0,0,0.0,,reversible,7
,,behavioral_quotient_k21,THEORY_INFORMED,0.061224489795918366,0.09523809523809523,0.9047619047619048,A,1.0,inf,0.0,0.14285714285714285,1.0,0.0,2.848284438680028,0.9296236046753644,0,16.333333333333332,0.2857142857142857,0.0,7,1,0.0,0.9957325746799431,0.9952380952380951,0.0,0,0.0,,reversible,7
,,predictive_quotient_k5,THEORY_INFORMED,0.014577259475218658,0.0,1.0,A,1.0,inf,0.0,0.4,1.0,0.0,1.5023616783125984,0.8935438596491228,0,68.6,0.4,0.0,7,1,0.0,0.9527432542669234,0.9388771929824561,0.0,0,0.0,,reversible,7
,,predictive_quotient_k8,THEORY_INFORMED,0.023323615160349854,0.125,0.875,A,1.0,inf,0.0,0.25,1.0,0.0,1.9413087138822482,0.9518174976559031,0,42.875,0.375,0.0,7,1,0.0,0.9770872841987898,0.9744133588853613,0.0,0,0.0,,reversible,7
,,predictive_quotient_k13,THEORY_INFORMED,0.037900874635568516,0.15384615384615385,0.8461538461538461,A,1.0,inf,0.0,0.15384615384615385,1.0,0.0,2.3583253451097668,0.938931623931624,0,26.384615384615383,0.3076923076923077,0.0,7,1,0.0,0.9979269087247529,0.9978632478632478,0.0,0,0.0,,reversible,7
,,predictive_quotient_k21,THEORY_INFORMED,0.061224489795918366,0.09523809523809523,0.9047619047619048,A,1.0,inf,0.0,0.09523809523809523,1.0,0.0,2.7837923063540857,0.946617732332018,0,16.333333333333332,0.19047619047619047,0.0,7,1,0.0,1.0,1.0,0.0,0,0.0,,reversible,7
,,identity,DIAGNOSTIC_ONLY,1.0,0.0,1.0,A,1.0,inf,0.0,0.0,1.0,0.0,5.837730447165968,1.0,0,1.0,0.0,0.0,3,0,0.0,1.0,1.0,1.0,0,0.0,,irreversible,3
,,all_one,DIAGNOSTIC_ONLY,0.0029154518950437317,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.0,0.6763848396501457,0,343.0,1.0,0.0,3,0,0.0,0.8158794443789485,0.6559766763848397,0.0,0,0.0,,irreversible,3
,,random_k,ADVERSARIAL,0.037900874635568516,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,2.5444632041586135,0.6827303589736853,0,26.384615384615383,1.0,0.0,3,1,0.0,0.8240578875491397,0.6640522173075579,0.0,0,0.0,,irreversible,3
,,hash_k34_s1206,ADVERSARIAL,0.09912536443148688,0.8823529411764706,0.11764705882352944,A,1.0,inf,0.0,0.029411764705882353,1.0,0.0,3.5259755701090882,0.6855614973262032,0,10.088235294117647,1.0,0.0,3,1,0.0,0.8221044995933441,0.6655080213903742,0.0,0,0.0,,irreversible,3
0,,best_of_10_hashes_per_world,ADAPTIVE_HASH,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6904886175651522,0.6748701121137544,0,171.5,1.0,0.0,3,1,0.0,0.8160552513011413,0.6537120590648072,0.0,0,0.0,,irreversible,3
,,checkerboard,ADVERSARIAL,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6929389195380611,0.6763095238095238,0,171.5,1.0,0.0,3,1,0.0,0.8158825317861753,0.6558333333333333,0.0,0,0.0,,irreversible,3
,,trap_mixing_adversarial,ADVERSARIAL,0.011661807580174927,0.75,0.25,A,1.0,inf,0.0,0.0,1.0,0.0,1.215287025007243,0.7748015873015872,0,85.75,0.75,0.0,3,1,0.0,0.8787621571641053,0.7632236227824463,0.0,0,0.0,,irreversible,3
,,viability_signature,THEORY_INFORMED,0.08746355685131195,0.06666666666666667,0.9333333333333333,A,1.0,inf,0.0,0.13333333333333333,1.0,0.0,3.0356074242114475,0.9417460317460318,0,11.433333333333334,0.2,0.0,3,1,0.0,1.0,1.0,0.06666666666666667,0,0.0,,irreversible,3
,,behavioral_quotient_k5,THEORY_INFORMED,0.014577259475218658,0.0,1.0,A,1.0,inf,0.0,0.2,1.0,0.0,1.5167728124752757,0.9182795698924732,0,68.6,0.2,0.0,3,1,0.0,0.9574468085106382,0.9333333333333333,0.0,0,0.0,,irreversible,3
