condition,alpha,T,control,A_past_to_A_future_delta,B_past_to_B_future_delta,component_continuity_balance,component_erasure_score,component_non_erasure
shuffled,0.45,1500,none,0.736108660697937,0.19579850137233734,0.45968984067440033,0.7340086975927003,0.36284057154085003
shuffled,0.45,2400,none,0.4735332131385803,0.08911637961864471,0.6155831664800644,0.8118054295959919,0.40188886844203625
shuffled,0.5,900,none,0.8805932402610779,0.39375925064086914,0.5131660103797913,0.5528477478158615,0.48015913128196486
shuffled,0.5,1500,none,0.7346418499946594,0.1995256245136261,0.4648837745189667,0.7284042223907111,0.3682397760641278
shuffled,0.5,2400,none,0.4843299090862274,0.09294556081295013,0.6086156517267227,0.8080945259228196,0.40026056290195156
shuffled,0.525,900,none,0.8816489577293396,0.3939158022403717,0.5122668445110321,0.553205616830887,0.47953061384007256
shuffled,0.525,1500,none,0.7327984571456909,0.1998978853225708,0.4670994281768799,0.727213010107596,0.36994320903464195
shuffled,0.525,2400,none,0.4708886444568634,0.08228057622909546,0.6113919317722321,0.8252653207978708,0.3930633054871806
time_shuffled,0.45,900,none,0.5247946977615356,0.09370158612728119,0.5689068883657455,0.8214509663932261,0.3737279609862597
time_shuffled,0.45,1500,none,0.30356091260910034,0.04573894664645195,0.7421780340373516,0.8493253091996379,0.44642636241885686
time_shuffled,0.45,2400,none,0.14630867540836334,0.008790948428213596,0.8624822730198503,0.9399150569596977,0.4612836080300763
time_shuffled,0.5,900,none,0.485442578792572,0.07839804887771606,0.592955470085144,0.8385019108280255,0.3772267796285593
time_shuffled,0.5,1500,none,0.26968666911125183,0.03277414292097092,0.7630874738097191,0.8784732555414119,0.4423071091341536
time_shuffled,0.5,2400,none,0.124269038438797,0.010523708537220955,0.886254670098424,0.9153151205687978,0.48546977476481307
time_shuffled,0.525,900,none,0.46226316690444946,0.07452722638845444,0.612264059484005,0.8387774935919579,0.38674328294602356
time_shuffled,0.525,1500,none,0.272183895111084,0.03265099599957466,0.7604671008884907,0.8800406762264568,0.44021321233101696
time_shuffled,0.525,2400,none,0.11231837421655655,0.008970276452600956,0.8966519022360444,0.9201352715869469,0.4882583153245488
