rule,ic_family,T,ring_size,localized_component_lifetime_max,recurrence_up_to_shift,translation_velocity_estimate,motif_type
118,periodic_perturbation,1024,256,1028.0,0.9311065673828125,-0.00841522216796875,global_periodic_artifact
118,two_cell_seed,1024,256,1028.0,0.83984375,0.001953125,global_periodic_artifact
118,bernoulli_050,1024,512,1028.0,0.8859176635742188,0.00196075439453125,global_periodic_artifact
118,g0_candidate_window_seed,256,256,260.0,0.776641845703125,0.005462646484375,global_periodic_artifact
118,g0_motif_seed,256,512,260.0,0.650390625,0.0078125,emitter
118,short_random_block,512,512,516.0,0.8084030151367188,-0.0130767822265625,global_periodic_artifact
118,g0_motif_seed,512,256,516.0,0.8046875,0.015625,global_periodic_artifact
118,bernoulli_025,1024,512,1028.0,0.8780136108398438,0.00131988525390625,global_periodic_artifact
118,g0_candidate_window_seed,256,512,260.0,0.6475982666015625,0.0078125,emitter
118,short_random_block,1024,256,1028.0,0.8348388671875,0.001953125,global_periodic_artifact
118,periodic_perturbation,1024,512,1028.0,0.92388916015625,-0.007659912109375,global_periodic_artifact
109,bernoulli_050,256,256,260.0,0.825408935546875,0.0,emitter
118,g0_candidate_window_seed,512,256,516.0,0.7948455810546875,-0.0023345947265625,global_periodic_artifact
118,single_seed,1024,512,1028.0,0.833984375,0.001953125,global_periodic_artifact
118,g0_motif_seed,512,512,516.0,0.798828125,-0.03125,global_periodic_artifact
109,bernoulli_050,256,512,260.0,0.8296737670898438,0.0,emitter
109,bernoulli_025,256,256,260.0,0.7791748046875,0.0,emitter
109,bernoulli_050,512,256,516.0,0.816986083984375,0.0,emitter
118,two_cell_seed,1024,512,1028.0,0.818359375,-0.0078125,global_periodic_artifact
118,g0_motif_seed,1024,256,1028.0,0.87109375,0.001953125,global_periodic_artifact
118,g0_candidate_window_seed,512,512,516.0,0.8060531616210938,-0.0118865966796875,global_periodic_artifact
109,single_seed,256,256,260.0,0.7421875,-0.0625,global_periodic_artifact
109,bernoulli_025,256,512,260.0,0.7840957641601562,0.0,emitter
