space,rule_id,T,ring_size,confirmed_rate,recurrence_up_to_shift,motif_material_turnover,frozen_order_index,chaos_index
q2_radius2,q2r2_s5_0021,512,256,0.16666666666666666,0.62591552734375,0.4307657877604167,0.10130208333333333,0.30961189667478967
q2_radius2,q2r2_s5_0025,512,256,0.16666666666666666,0.9055887858072916,0.2834574381510417,0.144921875,0.374786998795843
q2_radius2,q2r2_s5_0026,512,256,0.16666666666666666,0.825775146484375,0.19804890950520834,0.19505208333333332,0.5030618630002981
q2_radius2,q2r2_s5_0027,512,256,0.0,0.5640462239583334,0.4943644205729167,0.0,0.3792267881345252
q2_radius2,q2r2_s5_0029,512,256,0.0,0.5778605143229166,0.48187255859375,0.0,0.37949865193105065
q2_radius2,q2r2_s6_0033,512,256,0.0,0.556060791015625,0.507598876953125,0.0,0.2942842899814177
q2_radius2,q2r2_s7_0005,512,256,0.0,0.65057373046875,0.3910929361979167,0.171875,0.12053690856762732
q3_radius1,q3r1_s1_0002,512,256,0.375,0.7294387817382812,0.355224609375,0.00888671875,0.155761345573712
q3_radius1,q3r1_s1_0030,512,256,0.125,0.595489501953125,0.429656982421875,0.04375,0.28852689934045556
q3_radius1,q3r1_s1_0033,512,256,0.0,0.42119598388671875,0.6433029174804688,0.0,0.3693524860907088
q3_radius1,q3r1_s1_0037,512,256,0.125,0.7590560913085938,0.27538299560546875,0.1955078125,0.2642858486657215
q3_radius1,q3r1_s2_0013,512,256,0.0,1.0,0.0,0.35,0.4189467089609488
q3_radius1,q3r1_s2_0033,512,256,0.0,0.6619110107421875,0.4278411865234375,0.00068359375,0.2082158685819269
q3_radius1,q3r1_s2_0037,512,256,0.0,0.9999618530273438,3.814697265625e-05,0.35,0.2565755808167168
q3_radius1,q3r1_s2_0046,512,256,0.375,0.5954513549804688,0.5525360107421875,0.0,0.48181050637818834
q3_radius1,q3r1_s3_0011,512,256,0.0,0.5133743286132812,0.5707015991210938,0.0,0.4287085761947578
q3_radius1,q3r1_s3_0016,512,256,0.0,0.5234222412109375,0.5626983642578125,0.04375,0.5545646618020935
q3_radius1,q3r1_s3_0020,512,256,0.5,0.65380859375,0.37035369873046875,0.0,0.28004182621191726
q3_radius1,q3r1_s3_0047,512,256,0.25,0.6626968383789062,0.366790771484375,0.12373046874999999,0.38603163765997717
q3_radius1,q3r1_s4_0004,512,256,0.0,0.1445159912109375,0.86907958984375,0.0,0.09894964204146169
q3_radius1,q3r1_s4_0006,512,256,0.0,0.46234130859375,0.592041015625,0.005859375,0.38267945619985877
q3_radius1,q3r1_s4_0007,512,256,0.0,0.9817428588867188,0.02088165283203125,0.308984375,0.2632048874824492
q3_radius1,q3r1_s4_0009,512,256,0.125,0.634307861328125,0.42090606689453125,0.1025390625,0.3393187362315616
q3_radius1,q3r1_s4_0014,512,256,0.375,0.8853836059570312,0.16059112548828125,0.15312499999999998,0.09895025749265292
q3_radius1,q3r1_s4_0025,512,256,0.0,1.0,0.0,0.35,0.25496391566796395
q3_radius1,q3r1_s4_0029,512,256,0.0,0.449462890625,0.615234375,0.0,0.4464888776676086
q3_radius1,q3r1_s4_0031,512,256,0.125,0.84405517578125,0.2113189697265625,0.21669921874999998,0.22027433139246055
q3_radius1,q3r1_s4_0046,512,256,0.0,0.6558074951171875,0.37436676025390625,0.04375,0.25708924994712623
q3_radius1,q3r1_s5_0012,512,256,0.25,0.7245254516601562,0.30252838134765625,0.18798828125,0.3124967618492378
q3_radius1,q3r1_s5_0016,512,256,0.75,0.772186279296875,0.2339019775390625,0.015722656249999998,0.1012968315541084
q3_radius1,q3r1_s5_0020,512,256,0.0,0.647369384765625,0.36722564697265625,0.0615234375,0.07488527560982122
q3_radius1,q3r1_s5_0028,512,256,0.0,0.92352294921875,0.07647705078125,0.23583984375,0.3858741639454594
q3_radius1,q3r1_s5_0037,512,256,0.0,0.9980392456054688,0.00199127197265625,0.34042968749999997,0.41946429314240574
q3_radius1,q3r1_s5_0041,512,256,0.0,0.5002670288085938,0.5444259643554688,0.0,0.3740157013793579
q3_radius1,q3r1_s5_0045,512,256,0.0,0.9980926513671875,0.0021514892578125,0.34726562499999997,0.18555194566838445
q3_radius1,q3r1_s7_0002,512,256,0.625,0.8574981689453125,0.15753173828125,0.3904296875,0.11618512032861392
q3_radius1,q3r1_s7_0008,512,256,0.0,0.6819686889648438,0.37145233154296875,0.06767578125,0.20727825291113516
