rule,depends_left,depends_center,depends_right,relation_degree,relation_complete,self_only,no_local_self_relation,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,distinction_survival,DAR_complete,DAR_asymmetric,classification,future_distinct_descendant_count,post_perturbation_survival_rate,return_to_same_pattern_rate,branching_without_explosion
28,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True,0.38115164711008426,0.50177001953125,0.8723329301415367,0.0,0.0,0.0,0.359375,0.5338541666666666,259.9791666666667,260.0,1.0,0.24996770213665245,1.0,0.88006591796875,1.015625,0.11993408203125,-0.0224609375,1.0,1.0,0.38115164711008426,0.6188483528899157,73.93993399453042,0.359375,0.5338541666666666,0.5,0.40859375000000003,0.8723329301415367,0.9595947265625,0.0404052734375,0.9446873387924887,0.9559605707089118,1.0,True,True,transported_identity,16.0,1.0,1.0,1.0
29,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False,0.49889519242461094,0.216064453125,0.5190078895212746,0.0,0.0,0.0,0.0,1.0,260.0,260.0,1.0,0.5679013548429389,1.0,1.0,1.015625,0.0,0.0,2.0,1.0,0.49889519242461094,0.5011048075753891,50.25985782630226,0.0,1.0,1.0,0.35000000000000003,0.5190078895212746,0.35614013671875,0.64385986328125,0.8698986800006154,0.35614013671875,1.0,False,False,emitter_or_generator,16.0,1.0,1.0,1.0
30,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,0.44118043575460036,0.5064798990885416,0.9354477582180646,0.0,0.0,0.0,0.0,0.0,194.41666666666666,237.33333333333334,1.1666666666666667,1.7878042778240346,1.0,0.558074951171875,0.9270833333333334,0.4873555501302083,-0.00640869140625,0.0,1.0,0.44118043575460036,0.5588195642453996,35.53214371186244,0.0,0.0,0.0,0.0,0.9354477582180646,0.52490234375,0.47509765625,0.5566412062729984,0.524882134128856,1.0,False,False,emitter_or_generator,16.0,1.0,0.0,1.0
31,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,0.5062994456012889,0.152862548828125,0.35802129350807715,0.46875,0.46875,0.0625,0.0,0.53125,145.75,173.33333333333334,2.6666666666666665,1.5228824409346238,0.6354166666666666,0.8604329427083334,0.6770833333333334,0.15350341796875,-0.045206705729166664,1.0,0.46875,0.5062994456012889,0.49370055439871113,2.1626954266939724,0.0,0.53125,0.3645833333333333,0.12760416666666666,0.35802129350807715,0.029134114583333332,0.9708658854166666,0.22616583439647497,0.02906849731007081,0.53125,True,True,transported_identity,10.0,0.5625,1.0,0.625
32,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False,0.020790743302123865,0.0,0.06077763261123748,1.0,1.0,0.0,1.0,1.0,22.9375,26.666666666666668,1.1666666666666667,0.8190988930726398,0.16666666666666666,1.0,0.10416666666666667,0.0,-0.0625,1.0,0.0,0.020790743302123865,0.9792092566978762,0.0,1.0,1.0,1.0,1.0,0.06077763261123748,0.0,1.0,0.09170279723439778,0.0,0.0,False,False,collapse,1.0,0.0,1.0,0.0625
33,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False,0.4605827282065702,0.21288045247395834,0.4367825174751769,0.0026041666666666665,0.0026041666666666665,0.0,0.0,1.0,240.16666666666666,260.0,1.8333333333333333,1.4898456912144182,0.9973958333333334,1.0,1.015625,0.0,-0.00016276041666666666,2.0,0.9973958333333334,0.4605827282065702,0.5394172717934298,3.9861518830015163,0.0,1.0,1.0,0.35000000000000003,0.4367825174751769,0.07570393880208333,0.9242960611979166,0.5120484798750186,0.07352382365879266,0.9973958333333334,True,False,emitter_or_generator,16.0,1.0,1.0,1.0
34,False,True,True,1,True,False,False,0.25,0.5,1.0,True,True,0.1604181232773995,0.16019694010416666,0.4510906458219212,0.0,0.0,0.0,0.0,0.0,194.77083333333334,196.66666666666666,1.0,0.051422514195111485,1.0,0.8836466471354166,0.7682291666666666,0.12959798177083334,-0.052876790364583336,0.0,1.0,0.1604181232773995,0.8395818767226005,500000045.46070045,0.0,0.0,0.3645833333333333,0.12760416666666666,0.4510906458219212,0.3203938802083333,0.6796061197916666,0.9957517874822727,0.27826046133749227,1.0,True,True,transported_identity,16.0,0.9375,1.0,1.0
35,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,0.45977549670425993,0.19587198893229166,0.5298570458681681,0.0,0.0,0.0,0.0,0.0,256.0625,258.0,1.1666666666666667,0.6384890416627729,1.0,0.8595174153645834,1.0078125,0.15871175130208334,-0.0438232421875,0.0,1.0,0.45977549670425993,0.5402245032957401,166666673.00076756,0.0,0.0,0.3385416666666667,0.11848958333333333,0.5298570458681681,0.3203938802083333,0.6796061197916666,0.768608258843861,0.31490616042758474,1.0,True,True,transported_identity,16.0,1.0,1.0,1.0
36,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False,0.027378779904851658,0.025807698567708332,0.1392659602224219,0.3776041666666667,0.3776041666666667,0.0,1.0,1.0,162.71875,174.66666666666666,1.1666666666666667,0.10496441196986596,0.6223958333333334,1.0,0.6822916666666666,0.0,-0.023600260416666668,1.0,0.6223958333333334,0.027378779904851658,0.9726212200951482,166666737.09804663,1.0,1.0,1.0,1.0,0.1392659602224219,0.051615397135416664,0.9483846028645834,0.6238362627963201,0.018891148555198956,0.6223958333333333,True,False,frozen_order,7.0,0.625,1.0,0.4375
37,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,0.4590533661007417,0.13435872395833334,0.3981576898273374,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,216.42708333333334,217.33333333333334,2.5,1.1785919882271931,0.8333333333333334,1.0,0.8489583333333334,0.0,-0.010416666666666666,2.0,0.8333333333333334,0.4590533661007417,0.5409466338992582,10.955584034751212,0.0,1.0,1.0,0.35000000000000003,0.3981576898273374,0.08154296875,0.91845703125,0.30225867918885435,0.07871783867319042,0.8333333333333334,True,False,emitter_or_generator,16.0,1.0,0.875,1.0
