rule,classification,DAR_complete,DAR_asymmetric,localized_component_lifetime_max,recurrence_up_to_shift,motif_material_turnover,frozen_order_index,chaos_index
201,emitter_or_generator,False,False,260.0,1.0,0.0,0.5378906250000001,0.1362111080789855
202,transported_identity,False,False,206.0,0.804168701171875,0.195831298828125,0.6875,0.02913103020130654
203,frozen_order,True,True,174.66666666666666,1.0,0.0,1.0,0.06261412012343096
204,frozen_order,False,False,260.0,1.0,0.0,1.0,0.2996731738534633
205,frozen_order,True,False,260.0,1.0,0.0,1.0,0.35371805209502855
206,emitter_or_generator,True,True,194.66666666666666,0.7634684244791666,0.23653157552083334,0.8249999999999998,0.28130131198043457
207,frozen_order,True,True,174.66666666666666,1.0,0.0,1.0,0.27651682682125345
208,transported_identity,True,True,175.33333333333334,0.86676025390625,0.14711507161458334,0.17955729166666665,0.09725259817281993
209,transported_identity,False,False,174.66666666666666,0.8484090169270834,0.16861979166666666,0.11666666666666665,0.10619583024306699
210,transported_identity,False,False,160.66666666666666,0.84918212890625,0.16534423828125,0.225,0.21921880136072916
211,transported_identity,True,True,174.66666666666666,0.8667805989583334,0.14615885416666666,0.177734375,0.09325747696110519
212,transported_identity,False,False,194.66666666666666,0.8668416341145834,0.15167236328125,0.12395833333333332,0.30906818893981997
213,transported_identity,True,True,174.66666666666666,0.8759562174479166,0.14371744791666666,0.12486979166666666,0.3091887549812903
214,transported_identity,True,True,260.0,0.8630879720052084,0.154632568359375,0.13671875,0.5144020427406516
215,transported_identity,True,True,174.66666666666666,0.8937174479166666,0.11857096354166667,0.24114583333333336,0.21726436269142113
216,transported_identity,False,False,206.0,0.8117268880208334,0.18827311197916666,0.6792968749999999,0.029059315014216488
217,frozen_order,True,True,174.66666666666666,1.0,0.0,1.0,0.06265344848059988
218,frozen_order,True,False,167.33333333333334,1.0,0.0,1.0,0.016101918347358
219,frozen_order,True,False,132.0,1.0,0.0,1.0,0.019326708136608504
220,emitter_or_generator,True,True,194.66666666666666,0.7636006673177084,0.23639933268229166,0.8249999999999998,0.2796925383788716
221,frozen_order,True,True,174.66666666666666,1.0,0.0,1.0,0.2765972545986806
222,frozen_order,True,False,184.0,1.0,0.0,1.0,0.2181426855785924
223,frozen_order,True,False,174.66666666666666,1.0,0.0,1.0,0.1913802143187264
224,collapse,False,False,52.666666666666664,0.99725341796875,0.00274658203125,0.9296875,0.029430047276914756
225,transported_identity,False,False,238.66666666666666,0.7397969563802084,0.2851053873697917,0.0,0.3036916264286044
226,transported_identity,False,False,196.0,0.8914998372395834,0.13205973307291666,0.13033854166666667,0.3921416699846711
227,transported_identity,True,True,260.0,0.8505045572916666,0.17156982421875,0.11940104166666665,0.38623206503067636
228,frozen_order,False,False,260.0,0.9581197102864584,0.041880289713541664,0.9174479166666667,0.05100885979115253
229,transported_identity,True,True,217.33333333333334,0.85760498046875,0.15635172526041666,0.09205729166666665,0.10831010687288463
230,transported_identity,True,True,260.0,0.7270406087239584,0.2869160970052083,0.05833333333333333,0.31772394221739164
231,transported_identity,True,True,174.66666666666666,0.9062296549479166,0.10335286458333333,0.1923177083333333,0.07572460696467671
232,frozen_order,False,False,194.66666666666666,1.0,0.0,1.0,0.036137569264253516
233,frozen_order,True,False,152.66666666666666,1.0,0.0,1.0,0.0056926665054620506
234,collapse,True,True,138.0,0.841552734375,0.158447265625,0.6459635416666667,0.08932892589704274
235,collapse,True,True,50.666666666666664,0.9965413411458334,0.0034586588541666665,0.9114583333333334,0.0466682231158129
236,frozen_order,True,False,260.0,1.0,0.0,1.0,0.08011282845749691
237,frozen_order,True,False,174.66666666666666,1.0,0.0,1.0,0.015308032558134855
238,collapse,True,True,38.0,0.7607828776041666,0.23921712239583334,0.8249999999999998,0.0
239,collapse,True,True,4.0,1.0,0.0,1.0,0.0
240,transported_identity,False,False,196.0,0.84735107421875,0.16778564453125,0.11848958333333333,0.2989234658577296
241,transported_identity,True,True,174.66666666666666,0.8436482747395834,0.17193603515625,0.11757812499999999,0.30122172040255757
242,transported_identity,True,True,260.0,0.8490804036458334,0.17256673177083334,0.12669270833333332,0.9023969907806949
243,transported_identity,True,True,174.66666666666666,0.8849283854166666,0.12917073567708334,0.12213541666666666,0.2785991920991755
244,transported_identity,True,True,195.33333333333334,0.83837890625,0.181640625,0.17499999999999996,0.10847222542195374
245,transported_identity,True,True,174.66666666666666,0.88525390625,0.12656656901041666,0.183203125,0.08793440904317708
246,transported_identity,True,True,260.0,0.9097900390625,0.10373942057291667,0.24986979166666665,0.27924517276784333
247,mixed,True,True,174.66666666666666,0.9493204752604166,0.056193033854166664,0.3743489583333333,0.026773463595625633
248,collapse,True,True,139.33333333333334,0.8474019368489584,0.15259806315104166,0.705078125,0.019762379191076075
249,collapse,True,True,50.0,0.99664306640625,0.00335693359375,0.9140625,0.04396340395608996
250,collapse,True,False,98.66666666666667,1.0,0.0,0.8916666666666666,0.16666666666666666
251,collapse,True,False,26.0,1.0,0.0,1.0,0.0
252,collapse,True,True,38.0,0.7612508138020834,0.23874918619791666,0.8249999999999998,0.0
253,collapse,True,True,4.0,1.0,0.0,1.0,0.0
254,collapse,True,False,19.333333333333332,1.0,0.0,1.0,0.0
255,collapse,False,False,4.0,1.0,0.0,1.0,0.0
