variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction
noise_012,noise,mild,0.45,1500,center_of_mass,1.0,0.7943774343720621,0.10281128281396892,0.3939408091765153
noise_012,noise,mild,0.45,2400,center_of_mass,1.0,0.7532285982221394,0.12338570088893026,0.448620261471483
noise_012,noise,mild,0.5,900,center_of_mass,1.0,0.8290344929679305,0.08548275351603467,0.3518816925871049
noise_012,noise,mild,0.5,1500,center_of_mass,1.0,0.8142079822453496,0.09289600887732517,0.3965597349467231
noise_012,noise,mild,0.5,2400,center_of_mass,1.0,0.770367082632601,0.11481645868369947,0.447598715063259
noise_012,noise,mild,0.525,900,center_of_mass,1.0,0.8365577522884993,0.08172112385575031,0.35001662858747845
noise_012,noise,mild,0.525,1500,center_of_mass,1.0,0.8226459382276351,0.08867703088618241,0.39592834097677787
noise_012,noise,mild,0.525,2400,center_of_mass,1.0,0.7776840117658602,0.11115799411706988,0.44795239363203726
noise_013,noise,moderate,0.45,900,center_of_mass,1.0,0.8208456967781096,0.08957715161094518,0.3706549588868474
noise_013,noise,moderate,0.45,1500,center_of_mass,1.0,0.8088914294138672,0.09555428529306634,0.4252014515189807
noise_013,noise,moderate,0.45,2400,center_of_mass,1.0,0.7777499470516832,0.11112502647415837,0.48732627523378935
noise_013,noise,moderate,0.5,900,center_of_mass,1.0,0.8319264180162502,0.08403679099187487,0.3701193747938919
noise_013,noise,moderate,0.5,1500,center_of_mass,1.0,0.8203141341944707,0.0898429329027646,0.4260586092015995
noise_013,noise,moderate,0.5,2400,center_of_mass,1.0,0.7871052772707376,0.10644736136463111,0.48677978765860735
noise_013,noise,moderate,0.525,900,center_of_mass,1.0,0.8378265436344293,0.08108672818278527,0.37139021028512476
noise_013,noise,moderate,0.525,1500,center_of_mass,1.0,0.8253273131180643,0.08733634344096783,0.42645802442696984
noise_013,noise,moderate,0.525,2400,center_of_mass,1.0,0.7918129487162193,0.10409352564189027,0.4849609319505045
noise_014,noise,mild,0.45,900,center_of_mass,1.0,0.7839037834797199,0.10804810826014002,0.31300569807872847
noise_014,noise,mild,0.45,1500,center_of_mass,1.0,0.7457485528346035,0.1271257235826982,0.3402109451251631
noise_014,noise,mild,0.45,2400,center_of_mass,1.0,0.6642089854871296,0.16789550725643518,0.36177955155554054
noise_014,noise,mild,0.5,900,center_of_mass,1.0,0.819993524416543,0.09000323779172838,0.3128811429024567
noise_014,noise,mild,0.5,1500,center_of_mass,1.0,0.7935590750509769,0.10322046247451148,0.3394732417170084
noise_014,noise,mild,0.5,2400,center_of_mass,1.0,0.7088206471832844,0.14558967640835777,0.3640261881745114
noise_014,noise,mild,0.525,900,center_of_mass,1.0,0.8392352678214736,0.08038236608926315,0.3134694259655917
noise_014,noise,mild,0.525,1500,center_of_mass,1.0,0.8159351607279574,0.09203241963602134,0.33899911872598565
noise_014,noise,mild,0.525,2400,center_of_mass,1.0,0.7299350435506458,0.13503247822467712,0.36473696779128706
noise_015,noise,moderate,0.45,900,center_of_mass,1.0,0.7685713015630069,0.1157143492184965,0.3013996204175467
noise_015,noise,moderate,0.45,1500,center_of_mass,1.0,0.7089685941978929,0.14551570290105353,0.31988639614462544
noise_015,noise,moderate,0.45,2400,center_of_mass,1.0,0.5991715929935363,0.20041420350323183,0.32405710616390454
noise_015,noise,moderate,0.5,900,center_of_mass,1.0,0.8189048986786549,0.09054755066067247,0.3026797322027118
noise_015,noise,moderate,0.5,1500,center_of_mass,1.0,0.777613646497181,0.11119317675140947,0.3169909399038283
noise_015,noise,moderate,0.5,2400,center_of_mass,1.0,0.664096940700791,0.16795152964960453,0.3268164367012972
noise_015,noise,moderate,0.525,900,center_of_mass,1.0,0.8438041867167396,0.07809790664163019,0.3045626934261723
noise_015,noise,moderate,0.525,1500,center_of_mass,1.0,0.8099802129098513,0.09500989354507429,0.3184025453109499
noise_015,noise,moderate,0.525,2400,center_of_mass,1.0,0.6966475522918334,0.1516762238540833,0.3310316236492873
noise_016,noise,mild,0.45,900,center_of_mass,1.0,0.7842807908945966,0.10785960455270167,0.3121113904164754
noise_016,noise,mild,0.45,1500,center_of_mass,1.0,0.7455559906068586,0.12722200469657063,0.3372370465161842
noise_016,noise,mild,0.45,2400,center_of_mass,1.0,0.6647118143020917,0.16764409284895415,0.3610741317489362
noise_016,noise,mild,0.5,900,center_of_mass,1.0,0.8207905563706446,0.08960472181467774,0.3130435763559337
noise_016,noise,mild,0.5,1500,center_of_mass,1.0,0.7942998770108152,0.10285006149459237,0.33847161278737165
noise_016,noise,mild,0.5,2400,center_of_mass,1.0,0.7092630066939865,0.14536849665300672,0.3624710873604378
noise_016,noise,mild,0.525,900,center_of_mass,1.0,0.8395899364080222,0.08020503179598884,0.31405355572673704
noise_016,noise,mild,0.525,1500,center_of_mass,1.0,0.8160568864651022,0.09197155676744885,0.3398988498115526
noise_016,noise,mild,0.525,2400,center_of_mass,1.0,0.7302548556707661,0.13487257216461693,0.363203897085059
noise_017,noise,moderate,0.45,900,center_of_mass,1.0,0.7688458932572497,0.11557705337137507,0.3009651930620144
noise_017,noise,moderate,0.45,1500,center_of_mass,1.0,0.7089028191438864,0.14554859042805673,0.31658710538792945
noise_017,noise,moderate,0.45,2400,center_of_mass,1.0,0.5991397028510336,0.20043014857448319,0.32246754155701063
noise_017,noise,moderate,0.5,900,center_of_mass,1.0,0.8189503492240424,0.0905248253879787,0.30261134959465236
noise_017,noise,moderate,0.5,1500,center_of_mass,1.0,0.7771488399650617,0.11142558001746912,0.31847355184873416
noise_017,noise,moderate,0.5,2400,center_of_mass,1.0,0.6643477624166249,0.16782611879168757,0.3264931917485755
noise_017,noise,moderate,0.525,900,center_of_mass,1.0,0.8436311481265752,0.07818442593671236,0.30321575513124854
noise_017,noise,moderate,0.525,1500,center_of_mass,1.0,0.8099311742618343,0.09503441286908289,0.3206292256431498
noise_017,noise,moderate,0.525,2400,center_of_mass,1.0,0.6959153168600464,0.15204234156997676,0.33031344749154706
noise_018,noise,mild,0.45,900,center_of_mass,1.0,0.8107198495456769,0.09464007522716146,0.3497670626352056
noise_018,noise,mild,0.45,1500,center_of_mass,1.0,0.794448862447184,0.10277556877640796,0.3937141029936716
noise_018,noise,mild,0.45,2400,center_of_mass,1.0,0.7532326853099909,0.12338365734500449,0.4488425679554481
noise_018,noise,mild,0.5,900,center_of_mass,1.0,0.828913177460756,0.08554341126962198,0.34989728788949187
noise_018,noise,mild,0.5,1500,center_of_mass,1.0,0.8140097524395425,0.09299512378022867,0.3955024540825682
