syndrome_id,probe_key,flow_mode,group_id,seed,start_index,window,component_count,scored_component_count,component_pass_count,syndrome_component_pass_fraction,syndrome_joint_pass,syndrome_signed_score_mean,syndrome_signed_score_min,syndrome_window_coherence_score,syndrome_direction_stability,decision_hint
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,8->16,3,3,0,0.0,0,0.07073776544937284,-0.18365933256624883,0.0,mixed_direction,no_component_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,8->16,3,3,0,0.0,0,-0.1015452909090524,-0.39192014684083687,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,8->16,3,2,0,0.0,0,0.05673305393034589,-0.18365933256624883,0.0,mixed_direction,no_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,8->16,3,3,0,0.0,0,0.2192906216005229,-0.037120245772412366,0.0,mixed_direction,no_component_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,8->16,3,3,0,0.0,0,-0.3717096492178287,-0.44670472837173836,0.0,stable_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,8->16,3,3,0,0.0,0,0.08037573363452573,-0.16440475749241718,0.0,mixed_direction,no_component_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,8->16,3,3,0,0.0,0,-0.11394794044378287,-0.37968928097264193,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,8->16,3,2,0,0.0,0,0.06381158631053829,-0.16440475749241718,0.0,mixed_direction,no_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,16->24,3,3,0,0.0,0,0.16774180897887112,-0.009414581680699781,0.0,mixed_direction,no_component_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,16->24,3,3,0,0.0,0,-0.27421015435136054,-0.3353837086785615,0.0,stable_direction,no_component_pass
