H_cond_viable,H_recoverability_weighted,H_viability_weighted,N_eff_cond,N_eff_recoverability_weighted,Pi_mean,Pi_min,adaptive_idx,candidate_C,condition,estimator_mode,family,horizon_T,num_all_trajectories,num_viable_macro_classes,num_viable_trajectories,p_viable,pair_id,start_state,truncated,world_id,world_seed
2.176233020687265,2.096701471948542,0.1288329948246861,8.813045092444492,8.139277948369893,0.8648648648648649,0.4594594594594595,,predictive_quotient_k8,reversible,exact,A,4,625,12,37,0.0592,0,start,0,A_0_reversible,0
2.674586064999059,2.5853413587014913,0.06504593310077712,14.506343913163747,13.267817401954675,0.8355263157894737,0.34210526315789475,,predictive_quotient_k8,reversible,exact,A,5,3125,20,76,0.02432,0,start,0,A_0_reversible,0
3.062686391678866,2.9667483338969345,0.026853634282240295,21.38492836036987,19.428641317468934,0.8175182481751825,0.27007299270072993,,predictive_quotient_k8,reversible,exact,A,6,15625,30,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,predictive_quotient_k8,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,predictive_quotient_k8,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.5004024235381879,0.5004024235381879,0.10008048470763758,1.6493848884661177,1.6493848884661177,1.0,1.0,,predictive_quotient_k13,reversible,exact,A,2,25,2,5,0.2,0,start,0,A_0_reversible,0
1.4878167164014493,1.4282580763077695,0.1785380059681739,4.4274186486519,4.171426552828249,0.9166666666666666,0.6666666666666666,,predictive_quotient_k13,reversible,exact,A,3,125,6,15,0.12,0,start,0,A_0_reversible,0
2.176233020687265,2.096701471948542,0.1288329948246861,8.813045092444492,8.139277948369893,0.8648648648648649,0.4594594594594595,,predictive_quotient_k13,reversible,exact,A,4,625,12,37,0.0592,0,start,0,A_0_reversible,0
2.674586064999059,2.5853413587014913,0.06504593310077712,14.506343913163747,13.267817401954675,0.8355263157894737,0.34210526315789475,,predictive_quotient_k13,reversible,exact,A,5,3125,20,76,0.02432,0,start,0,A_0_reversible,0
3.062686391678866,2.9667483338969345,0.026853634282240295,21.38492836036987,19.428641317468934,0.8175182481751825,0.27007299270072993,,predictive_quotient_k13,reversible,exact,A,6,15625,30,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,predictive_quotient_k13,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,predictive_quotient_k13,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
1.3321790402101223,1.3321790402101223,0.2664358080420245,3.7892914162759954,3.7892914162759954,1.0,1.0,,viability_signature,reversible,exact,A,2,25,4,5,0.2,0,start,0,A_0_reversible,0
2.0262296229952916,2.0565147122006016,0.24314755475943498,7.5854324346540025,7.818671945554387,0.9166666666666666,0.6666666666666666,,viability_signature,reversible,exact,A,3,125,9,15,0.12,0,start,0,A_0_reversible,0
2.585155861454993,2.6192114192510503,0.1530412269981356,13.265356486613138,13.724896127609194,0.8648648648648649,0.4594594594594595,,viability_signature,reversible,exact,A,4,625,18,37,0.0592,0,start,0,A_0_reversible,0
3.0412599846080886,3.0672342339546916,0.07396344282566872,20.931600120945635,21.48240512810706,0.8355263157894737,0.34210526315789475,,viability_signature,reversible,exact,A,5,3125,32,76,0.02432,0,start,0,A_0_reversible,0
3.42281639314108,3.438275268195663,0.03001125413506099,30.655631865116636,31.133215388938854,0.8175182481751825,0.27007299270072993,,viability_signature,reversible,exact,A,6,15625,52,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,viability_signature,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,viability_signature,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
1.7917594692280547,1.7917594692280547,0.43002227261473314,5.999999999999998,5.999999999999998,1.0,1.0,,identity,reversible,exact,A,2,25,6,6,0.24,1,start,0,A_1_reversible,1
2.995732273553991,2.9877474524103893,0.47931716376863853,19.999999999999996,19.8409394572264,0.925,0.7,,identity,reversible,exact,A,3,125,20,20,0.16,1,start,0,A_1_reversible,1
4.007333185232473,3.9949272243245515,0.3526453203004576,55.000000000000114,54.32188716792663,0.8909090909090909,0.5636363636363636,,identity,reversible,exact,A,4,625,55,55,0.088,1,start,0,A_1_reversible,1
4.912654885736057,4.898513587858044,0.2137987406272332,136.00000000000065,134.0903180037282,0.8835784313725491,0.5220588235294118,,identity,reversible,exact,A,5,3125,136,136,0.04352,1,start,0,A_1_reversible,1
5.7990926544605,5.785293656548447,0.12247683686220576,329.9999999999914,325.47760471035633,0.8961038961038962,0.5606060606060606,,identity,reversible,exact,A,6,15625,330,330,0.02112,1,start,0,A_1_reversible,1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,identity,reversible,truncated,A,8,50000,0,0,0.0,1,start,1,A_1_reversible,1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,identity,reversible,truncated,A,10,50000,0,0,0.0,1,start,1,A_1_reversible,1
0.0,0.0,0.0,1.0,1.0,1.0,1.0,,all_one,reversible,exact,A,2,25,1,6,0.24,1,start,0,A_1_reversible,1
0.0,0.0,0.0,1.0,1.0,0.925,0.7,,all_one,reversible,exact,A,3,125,1,20,0.16,1,start,0,A_1_reversible,1
0.0,0.0,0.0,1.0,1.0,0.8909090909090909,0.5636363636363636,,all_one,reversible,exact,A,4,625,1,55,0.088,1,start,0,A_1_reversible,1
0.0,0.0,0.0,1.0,1.0,0.8835784313725491,0.5220588235294118,,all_one,reversible,exact,A,5,3125,1,136,0.04352,1,start,0,A_1_reversible,1
0.0,0.0,0.0,1.0,1.0,0.8961038961038962,0.5606060606060606,,all_one,reversible,exact,A,6,15625,1,330,0.02112,1,start,0,A_1_reversible,1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,all_one,reversible,truncated,A,8,50000,0,0,0.0,1,start,1,A_1_reversible,1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,all_one,reversible,truncated,A,10,50000,0,0,0.0,1,start,1,A_1_reversible,1
1.2424533248940002,1.2424533248940002,0.29818879797456005,3.464101615137755,3.464101615137755,1.0,1.0,,random_k,reversible,exact,A,2,25,4,6,0.24,1,start,0,A_1_reversible,1
2.4412145291060345,2.3986042247852497,0.39059432465696553,11.486983549970347,11.007801236880114,0.925,0.7,,random_k,reversible,exact,A,3,125,13,20,0.16,1,start,0,A_1_reversible,1
3.2936538448552635,3.2484051475925275,0.2898415383472632,26.941122717533677,25.74924091362045,0.8909090909090909,0.5636363636363636,,random_k,reversible,exact,A,4,625,31,55,0.088,1,start,0,A_1_reversible,1
4.073903857655644,4.038428041694026,0.17729629588517362,58.78600742692548,56.737084337573016,0.8835784313725491,0.5220588235294118,,random_k,reversible,exact,A,5,3125,70,136,0.04352,1,start,0,A_1_reversible,1
