point_id,T,seed,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate
phase_000,100,29,0.2519227289178429,1.999941893964301,0.0,0.748077271082157
phase_001,50,12,0.249377667140825,1.9999300327957303,0.0,0.750622332859175
phase_001,50,13,0.248503929974991,1.9999436474028909,0.0,0.751496070025009
phase_001,50,15,0.2508680555555556,1.9999323811264655,0.0,0.7491319444444444
phase_001,50,9,0.251057034904642,1.9999470945720343,0.0,0.7489429650953581
phase_001,50,14,0.2486229566453447,1.9999261417987533,0.0,0.7513770433546553
phase_001,50,16,0.2520290759900107,1.9999257833549475,0.0,0.7479709240099893
phase_001,50,17,0.2518243243243243,1.9999351725072645,0.0,0.7481756756756757
phase_001,50,19,0.2519475920679886,1.9999059109582664,0.0,0.7480524079320113
phase_001,50,18,0.2548128105039035,1.9999470556374503,0.0,0.7451871894960965
phase_001,50,20,0.2542911775168979,1.9999360043891927,0.0,0.7457088224831021
phase_001,50,21,0.2483017518770111,1.999907004829906,0.0,0.7516982481229889
phase_001,50,22,0.252006062767475,1.9999113896944392,0.0,0.7479939372325249
phase_001,50,23,0.2492018446257538,1.9999354990575997,0.0,0.7507981553742462
phase_001,50,24,0.2464119124506638,1.9999371251435585,0.0,0.7535880875493361
phase_001,50,28,0.2467857142857142,1.9998975725047328,0.0,0.7532142857142857
phase_001,50,26,0.2503973860826563,1.9999195242207333,0.0,0.7496026139173437
phase_001,50,25,0.2497094062947067,1.9999373804183904,0.0,0.7502905937052933
phase_001,50,27,0.2474883387154646,1.999905211054669,0.0,0.7525116612845353
phase_001,50,29,0.2507342470630117,1.9998950104931053,0.0,0.7492657529369883
phase_001,100,0,0.2512476007677543,1.9998854607045893,0.0,0.7487523992322457
phase_001,100,4,0.2518800617045892,1.9999439869558453,0.0,0.7481199382954107
phase_001,100,1,0.2535522273425499,1.9999192135484605,0.0,0.7464477726574501
phase_001,100,3,0.2492310649750096,1.9999004249663863,0.0,0.7507689350249904
phase_001,100,2,0.2478225497702909,1.9999276113471944,0.0,0.752177450229709
phase_001,100,5,0.2513670376055257,1.9999269380845015,0.0,0.7486329623944743
phase_001,100,6,0.249066091954023,1.999926614134168,0.0,0.750933908045977
phase_001,100,7,0.2510460251046025,1.999941046656527,0.0,0.7489539748953975
phase_001,100,8,0.2512672149961744,1.9999222202700329,0.0,0.7487327850038256
phase_001,100,11,0.2535925009516558,1.999945877734336,0.0,0.7464074990483441
phase_001,100,10,0.2455989284347493,1.9999310804629893,0.0,0.7544010715652507
phase_001,100,15,0.2527703477264043,1.9999288422210897,0.0,0.7472296522735957
phase_001,100,14,0.2491801697530864,1.999905482173072,0.0,0.7508198302469136
phase_001,100,9,0.2504996193376475,1.999928411845058,0.0,0.7495003806623525
phase_001,100,13,0.2538133154259401,1.99990968609679,0.0,0.7461866845740599
phase_001,100,16,0.2482026457055214,1.999930463170388,0.0,0.7517973542944785
phase_001,100,12,0.2485643185298622,1.999931197889403,0.0,0.7514356814701378
phase_001,100,17,0.2501206563706564,1.9999113407213855,0.0,0.7498793436293436
phase_002,50,2,0.2470371407241508,1.9999443449007688,0.0,0.7529628592758492
phase_002,50,1,0.2509271586154431,1.9999148248149932,0.0,0.7490728413845569
phase_002,50,0,0.2551573097211755,1.9999444528445287,0.0,0.7448426902788244
phase_002,50,3,0.2529454022988506,1.999911396103237,0.0,0.7470545977011493
phase_002,50,5,0.2476034548215641,1.999935816263115,0.0,0.7523965451784358
phase_002,50,4,0.2511259103104638,1.9999193712843697,0.0,0.7488740896895363
phase_001,100,20,0.2563668447157573,1.999913849088023,0.0,0.7436331552842427
phase_001,100,18,0.2499280230326295,1.9999298845542497,0.0,0.7500719769673705
phase_001,100,19,0.2538987753539992,1.9999178171330247,0.0,0.7461012246460008
phase_001,100,21,0.2517110266159695,1.9999299443373288,0.0,0.7482889733840304
phase_001,100,22,0.2490102356122054,1.999928583006771,0.0,0.7509897643877945
phase_001,100,23,0.252334424335772,1.9999384690163455,0.0,0.747665575664228
phase_001,100,24,0.2474365234375,1.9999016152366147,0.0,0.7525634765625
phase_001,100,25,0.2489447429009977,1.9999303348838056,0.0,0.7510552570990023
phase_001,100,26,0.2536340007701194,1.999910473864524,0.0,0.7463659992298806
phase_001,100,27,0.2515455950540958,1.9999320365181397,0.0,0.7484544049459041
phase_001,100,28,0.2480332167832167,1.999938354344576,0.0,0.7519667832167832
phase_002,50,10,0.250782435508346,1.9999080102851343,0.0,0.749217564491654
phase_002,50,6,0.2510504201680672,1.999930127899236,0.0,0.7489495798319328
phase_002,50,7,0.2541480238627889,1.999921585574797,0.0,0.7458519761372111
phase_001,100,29,0.2507336236274138,1.9999361657178596,0.0,0.7492663763725862
phase_002,50,9,0.252061220621683,1.9999413815068643,0.0,0.747938779378317
phase_002,50,8,0.2498571428571428,1.9999155123015009,0.0,0.7501428571428571
phase_002,50,11,0.2446550741163055,1.9998479984490407,0.0,0.7553449258836944
phase_002,50,14,0.2497381949733434,1.9999223563676167,0.0,0.7502618050266565
phase_002,50,13,0.2515147278150634,1.9998594568986676,0.0,0.7484852721849367
phase_002,50,12,0.2496632024634334,1.999896914433985,0.0,0.7503367975365666
phase_002,50,15,0.247221685349826,1.999913799105926,0.0,0.752778314650174
phase_002,50,16,0.251001304023845,1.9999347089049573,0.0,0.748998695976155
phase_002,50,17,0.2504588485316847,1.9999461664599605,0.0,0.7495411514683152
phase_002,50,18,0.2513030705079606,1.99992164058386,0.0,0.7486969294920394
