point_id,T,metric,mean,ci_low,ci_high,n_seeds
phase_017,50,relation_lineage_excess,0.020505656996519447,0.020254004322222515,0.020746588480384635,30
phase_017,50,closure_rate,0.24991001536598167,0.24905974643988055,0.2505379044622495,30
phase_017,50,recoverable_alternative_count,2981.1,2979.5808333333334,2982.5508333333332,30
phase_017,50,lock_in_index,2.708502509364814e-06,2.705860291953488e-06,2.7109373068931884e-06,30
phase_017,100,p_viable,0.9881999999999999,0.9874936111111112,0.9887555555555556,30
phase_017,100,relation_lineage_excess,0.012939573552627221,0.012804414466917026,0.013087213595493951,30
phase_017,100,closure_rate,0.2486273484698603,0.24801908423358504,0.24917814316003364,30
phase_017,100,recoverable_alternative_count,2964.6,2962.8616666666667,2966.371666666667,30
phase_017,100,lock_in_index,2.496071622716901e-06,2.4934773991149134e-06,2.4982942712465602e-06,30
phase_018,50,p_viable,0.9882111111111112,0.9876386111111112,0.9889577777777778,30
phase_018,50,relation_lineage_excess,0.03326946112549281,0.03291941663979231,0.03358998317193544,30
phase_018,50,closure_rate,0.37557110653082953,0.3748240947430542,0.3763007465961438,30
phase_018,50,recoverable_alternative_count,2964.633333333333,2962.5491666666667,2966.366666666667,30
phase_018,50,lock_in_index,5.073766730765122e-06,5.067854546831224e-06,5.07923414851514e-06,30
phase_018,100,p_viable,0.9766888888888887,0.9755824999999999,0.9779102777777776,30
phase_018,100,relation_lineage_excess,0.020163414295434275,0.01998408043646222,0.02038796631850384,30
phase_018,100,closure_rate,0.25826448931463797,0.25778672338671205,0.2586772384213891,30
phase_018,100,recoverable_alternative_count,2930.0666666666666,2926.5475,2933.1625,30
phase_018,100,lock_in_index,4.825601653645764e-06,4.819251027346154e-06,4.831511424485778e-06,30
random_stepwise_relation_control,50,p_viable,0.9335000000000001,0.9314041666666667,0.9352391666666666,30
random_stepwise_relation_control,50,relation_lineage_excess,0.0,0.0,0.0,30
random_stepwise_relation_control,50,closure_rate,0.24805181893223072,0.24723653133087065,0.24883626275760898,30
random_stepwise_relation_control,50,recoverable_alternative_count,2800.5,2795.2075,2804.235,30
random_stepwise_relation_control,50,lock_in_index,6.631244277095578e-07,6.431668398179418e-07,6.835607341705828e-07,30
random_stepwise_relation_control,100,p_viable,0.868811111111111,0.8662447222222222,0.8710144444444444,30
random_stepwise_relation_control,100,relation_lineage_excess,0.0,0.0,0.0,30
random_stepwise_relation_control,100,closure_rate,0.2498910770864623,0.2490103833380713,0.25067443186581934,30
random_stepwise_relation_control,100,recoverable_alternative_count,2606.4333333333334,2601.179166666667,2613.145833333333,30
random_stepwise_relation_control,100,lock_in_index,6.425236777222652e-07,6.264320157801057e-07,6.624293911500762e-07,30
relation_lock_in_control,50,p_viable,0.9853,0.9843655555555555,0.9862069444444445,30
relation_lock_in_control,50,relation_lineage_excess,0.03831283812723923,0.03796603857999823,0.03875053249931679,30
relation_lock_in_control,50,closure_rate,0.47480338915470843,0.47419895596656064,0.47537659726984155,30
relation_lock_in_control,50,recoverable_alternative_count,2955.9,2952.996666666667,2958.7858333333334,30
