point_id,rho_relation_persistence,alpha_asymmetry_strength,lambda_constraint_pressure,T,is_control,control,seed,p_viable,survival_depth,collapse_rate,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate,relation_lineage,self_only_lineage,independent_lineage_baseline,relation_lineage_excess,closure_rate,lineage_recurrence_rate,cycle_or_return_rate,recoverable_alternative_count,branching_after_closure,post_perturbation_continuation_rate,transition_determinism,state_concentration,relation_rigidity,branching_collapse,lock_in_index,classification
phase_017,1.0,0.5,0.5,50,False,,14.5,0.9937,0.9937,0.0,0.24783394960153476,1.999955410466864,0.0,0.7521660503984652,0.4114245198922128,0.3892298586557379,0.39091886289569333,0.020505656996519447,0.24991001536598167,0.24757484459694337,0.24757484459694337,2981.1,0.9999809268762246,0.0,0.16142451989221276,0.00033544730998208335,1.0,1.9073123775333507e-05,2.708502509364814e-06,viable_slack_candidate
phase_017,1.0,0.5,0.5,100,False,,14.5,0.9882000000000001,0.9882000000000001,0.0,0.2505361420587956,1.9999540038155488,0.0,0.7494638579412044,0.3979265649652706,0.3838877791486209,0.3849869914126433,0.012939573552627221,0.24862734846986032,0.2497964894869286,0.2497964894869286,2964.6,0.9999762697007728,0.0,0.14792656496527057,0.00033731470081524667,1.0,2.3730299227127846e-05,2.496071622716901e-06,viable_slack_candidate
phase_018,1.0,1.0,1.0,50,False,,14.5,0.9882111111111112,0.9882111111111112,0.0,0.25862715127209546,1.999944681751154,0.0,0.7413728487279045,0.550679626641884,0.5148653942588707,0.5174101655163912,0.03326946112549281,0.37557110653082953,0.276642716849191,0.276642716849191,2964.633333333333,0.9999739337239677,0.0,0.30067962664188397,0.00033731096853836996,1.0,2.6066276032288282e-05,5.073766730765122e-06,viable_slack_candidate
phase_018,1.0,1.0,1.0,100,False,,14.5,0.9766888888888889,0.9766888888888889,0.0,0.24042284113058765,1.9999422863923384,0.0,0.7595771588694123,0.532596331289809,0.5109255599215341,0.5124329169943745,0.020163414295434275,0.2582644893146379,0.2437346820512179,0.2437346820512179,2930.0666666666666,0.999966833627789,0.0,0.2825963312898089,0.00034129277162235665,1.0,3.31663722110233e-05,4.825601653645765e-06,viable_slack_candidate
random_stepwise_relation_control,0.0,0.5,0.5,50,True,random_stepwise_relation_control,14.5,0.9335,0.9335,2.2222222222213336e-05,0.24980674739466271,1.9999296793644612,0.0,0.7501932526053372,0.701086839236772,0.701086839236772,0.701086839236772,0.0,0.24805181893223077,0.24956173964405665,0.24956173964405665,2800.5,0.9999745095356114,0.0,0.45108683923677184,0.0003570895439020866,0.08183333333333334,2.5490464388659242e-05,6.631244277095578e-07,mixed_or_inconclusive
random_stepwise_relation_control,0.0,0.5,0.5,100,True,random_stepwise_relation_control,14.5,0.8688111111111111,0.8688111111111111,2.2222222222213336e-05,0.2495682630717148,1.9999276429069661,0.0,0.7504317369282851,0.7016086193120902,0.7016086193120902,0.7016086193120902,0.0,0.24989107708646233,0.25010055223284655,0.25010055223284655,2606.4333333333334,0.999960595600246,0.0,0.4516086193120902,0.00038368421086523664,0.073375,3.940439975411523e-05,6.425236777222652e-07,mixed_or_inconclusive
relation_lock_in_control,1.0,1.0,1.0,50,True,relation_lock_in_control,14.5,0.9853000000000001,0.9853000000000001,1.1111111111106668e-05,0.32700392678828905,1.9999416094180613,0.0,0.672996073211711,0.6079049417428585,0.5666709453176119,0.5695921036156191,0.03831283812723923,0.47480338915470843,0.317502847608547,0.317502847608547,2955.9,0.9999670531054156,0.0,0.3579049417428583,0.00033830892020171333,1.0,3.294689458434233e-05,6.058100504857527e-06,viable_slack_candidate
relation_lock_in_control,1.0,1.0,1.0,100,True,relation_lock_in_control,14.5,0.9662222222222223,0.9662222222222223,0.0,0.24454898862092775,1.9999324259289426,0.0,0.7554510113790722,0.5930522913166468,0.5678349052475088,0.5695893657543932,0.023462925562253482,0.3290731711079356,0.26312219113480834,0.26312219113480834,2898.633333333333,0.9999692839115194,0.0,0.3430522913166467,0.00035648651202882335,1.0,3.071608848057899e-05,6.117674606035747e-06,viable_slack_candidate
symmetric_transition_control,0.75,0.0,0.5,50,True,symmetric_transition_control,14.5,0.617211111111111,0.617211111111111,0.0008888888888888666,0.2508501782544593,1.99983402644227,0.0,0.7491498217455407,0.49386365476778976,0.4801779855926983,0.4819488910563041,0.01191476371148565,0.2574054158733597,0.2514076944502881,0.2514076944502881,1851.6,0.9999158634272955,0.0,0.2438636547677898,0.0005625421518787934,0.11570833333333333,8.413657270441186e-05,8.127947338811264e-07,viable_slack_candidate
symmetric_transition_control,0.75,0.0,0.5,100,True,symmetric_transition_control,14.5,0.3629222222222222,0.3629222222222222,0.0019888888888888435,0.25085254259107304,1.9997463538345501,0.0,0.749147457408927,0.49563934690334305,0.48133739567441847,0.4836613334296807,0.01197801347366231,0.25126342334528656,0.25023859080524063,0.25023859080524063,1088.7666666666667,0.9998398113119418,0.0,0.24563934690334308,0.00093141897721926,0.09658333333333333,0.0001601886880582497,1.1510170213107144e-06,viable_slack_candidate
