world,T,n_sites,seed,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate
W4_distinction_asymmetry,50,16,8,0.5194163326653307,1.671816914867977,0.0,0.4805836673346693
W4_distinction_asymmetry,50,16,10,0.518632890781563,1.6720965023666683,0.0,0.4813671092184369
W4_distinction_asymmetry,50,16,11,0.5175952380952381,1.671813610418174,0.0,0.4824047619047619
W4_distinction_asymmetry,50,16,12,0.5191551853707416,1.672371355045608,0.0,0.4808448146292584
W4_distinction_asymmetry,50,16,13,0.5189914914914915,1.6716859526219132,0.0,0.4810085085085085
W4_distinction_asymmetry,50,16,14,0.5170048823234852,1.6716577885654342,0.0,0.4829951176765148
W4_distinction_asymmetry,50,16,17,0.5171177944862155,1.6719284769024698,0.0,0.4828822055137844
W4_distinction_asymmetry,50,16,16,0.5183950926389584,1.6723030839787134,0.0,0.4816049073610415
W4_distinction_asymmetry,50,16,15,0.5189084418837675,1.6712117061367044,0.0,0.4810915581162325
W4_distinction_asymmetry,50,16,19,0.5180880511022043,1.6715210042229722,0.0,0.4819119488977956
W4_distinction_asymmetry,50,16,18,0.5195845845845846,1.6733277669301243,0.0,0.4804154154154154
W4_distinction_asymmetry,100,16,0,0.5095194959879639,1.671437694328805,0.0,0.4904805040120361
W4_distinction_asymmetry,100,16,1,0.5087183583959899,1.671723840430019,0.0,0.4912816416040101
W4_distinction_asymmetry,100,16,3,0.5089869608826478,1.6720410959522871,0.0,0.4910130391173521
W4_distinction_asymmetry,100,16,4,0.5098057644110277,1.671751495369333,0.0,0.4901942355889723
W4_distinction_asymmetry,100,16,2,0.5083108701103309,1.672057101995509,0.0,0.491689129889669
W4_distinction_asymmetry,100,16,6,0.5082897044088176,1.672103883294211,0.0,0.4917102955911824
W4_distinction_asymmetry,100,16,5,0.5097881143430292,1.6721722006721134,0.0,0.4902118856569708
W4_distinction_asymmetry,100,16,7,0.5095756018054163,1.6713860490720345,0.0,0.4904243981945837
W4_distinction_asymmetry,100,16,8,0.5104347689603215,1.6719041405437554,0.0,0.4895652310396785
W4_distinction_asymmetry,100,16,9,0.5084243090452262,1.6718166298950363,0.0,0.4915756909547738
W4_distinction_asymmetry,100,16,10,0.5093342323130957,1.6721811413855423,0.0,0.4906657676869043
W4_distinction_asymmetry,100,16,12,0.5096562970396387,1.6718189042801856,0.0,0.4903437029603613
W4_distinction_asymmetry,100,16,11,0.5082485574510788,1.6725241898388867,0.0,0.4917514425489212
W4_distinction_asymmetry,100,16,14,0.5099192134268538,1.6719499551482315,0.0,0.4900807865731462
W4_distinction_asymmetry,100,16,15,0.5091015429001505,1.672378023057273,0.0,0.4908984570998495
W4_distinction_asymmetry,100,16,13,0.5093261033099298,1.672754679209325,0.0,0.4906738966900702
W5_distinction_relation,50,16,0,0.5507239504299444,1.3798220141647033,0.0,0.4492760495700556
W5_distinction_relation,50,16,2,0.5515179474216381,1.3796052529586609,0.0,0.4484820525783619
W5_distinction_relation,50,16,1,0.5532918351870577,1.3797229510232731,0.0,0.4467081648129423
W5_distinction_relation,50,16,3,0.555091725708502,1.380733389075986,0.0,0.444908274291498
W4_distinction_asymmetry,100,16,16,0.5087857142857143,1.6730841308663087,0.0,0.4912142857142857
W4_distinction_asymmetry,100,16,18,0.5090831456456457,1.6720144619363269,0.0,0.4909168543543543
W4_distinction_asymmetry,100,16,17,0.5086143897538925,1.6717166638705632,0.0,0.4913856102461075
W4_distinction_asymmetry,100,16,19,0.5092229814443331,1.672297712167924,0.0,0.4907770185556669
W5_distinction_relation,50,16,5,0.5512531597573307,1.3806869836972802,0.0,0.4487468402426693
W5_distinction_relation,50,16,6,0.5528912988330797,1.379253157106988,0.0,0.4471087011669202
W5_distinction_relation,50,16,4,0.5524943210499748,1.3801053125001237,0.0,0.4475056789500252
W5_distinction_relation,50,16,7,0.5541132099391481,1.3816214225690076,0.0,0.4458867900608518
W5_distinction_relation,50,16,8,0.5515283400809716,1.3797852253860827,0.0,0.4484716599190284
W5_distinction_relation,50,16,9,0.5552515166835186,1.3802856664737313,0.0,0.4447484833164814
W5_distinction_relation,50,16,10,0.5529486370519939,1.3800922871271413,0.0,0.447051362948006
W5_distinction_relation,50,16,11,0.5549735782586814,1.381585394957219,0.0,0.4450264217413185
W5_distinction_relation,50,16,12,0.554395528044467,1.3802824854281048,0.0,0.445604471955533
W5_distinction_relation,50,16,14,0.5541685634800202,1.3793643237682522,0.0,0.4458314365199798
W5_distinction_relation,50,16,13,0.5518353474320242,1.3817815578529729,0.0,0.4481646525679758
W5_distinction_relation,50,16,15,0.5532020980788676,1.3799819344111208,0.0,0.4467979019211324
W5_distinction_relation,50,16,16,0.5495424671385237,1.380048266530857,0.0,0.4504575328614763
W5_distinction_relation,50,16,17,0.5545302225594335,1.3793387475411083,0.0,0.4454697774405665
W5_distinction_relation,50,16,19,0.5530776036400404,1.3806315258079325,0.0,0.4469223963599595
W5_distinction_relation,50,16,18,0.5537436740890689,1.3799191260431778,0.0,0.4462563259109311
W5_distinction_relation,100,16,0,0.5278795442908346,1.379394247176336,0.0,0.4721204557091654
W5_distinction_relation,100,16,1,0.5264047407219116,1.3789384819775905,0.0,0.4735952592780884
W5_distinction_relation,100,16,2,0.5263883928571427,1.378300575487614,0.0,0.4736116071428573
W5_distinction_relation,100,16,3,0.5281253185524973,1.3792696684853107,0.0,0.4718746814475026
W5_distinction_relation,100,16,4,0.5270071501532175,1.3791456292090236,0.0,0.4729928498467824
W5_distinction_relation,100,16,5,0.5258638575819671,1.3774941773702725,0.0,0.4741361424180329
W5_distinction_relation,100,16,6,0.5267550537359262,1.3800797429203038,0.0,0.4732449462640737
W5_distinction_relation,100,16,7,0.5268194018404908,1.3788353826190538,0.0,0.4731805981595092
W5_distinction_relation,100,16,9,0.5296153353814644,1.3792442688480298,0.0,0.4703846646185355
W5_distinction_relation,100,16,8,0.5257583375763748,1.3792027271466665,0.0,0.4742416624236252
W5_distinction_relation,100,16,10,0.527292516573177,1.3798070847779675,0.0,0.472707483426823
W5_distinction_relation,100,16,11,0.5268663859111791,1.379226025532871,0.0,0.4731336140888209
W5_distinction_relation,100,16,12,0.525337786259542,1.3792322475593568,0.0,0.474662213740458
W5_distinction_relation,100,16,13,0.5258205935251798,1.3798386818441943,0.0,0.4741794064748201
W5_distinction_relation,100,16,14,0.5263591522403259,1.3789471047120552,0.0,0.4736408477596741
W5_distinction_relation,100,16,15,0.5257371549079753,1.3800616939678303,0.0,0.4742628450920246
W6_asymmetry_relation,50,16,0,0.5153659147869675,1.721097337574066,0.0,0.4846340852130325
W6_asymmetry_relation,50,16,1,0.5137989457831326,1.7212009946589657,0.0,0.4862010542168674
W6_asymmetry_relation,50,16,2,0.5157996738585048,1.720328827413365,0.0,0.4842003261414952
W5_distinction_relation,100,16,17,0.5270736160943106,1.3798905357394258,0.0,0.4729263839056894
W5_distinction_relation,100,16,16,0.5267189096016344,1.3791577806386417,0.0,0.4732810903983656
W5_distinction_relation,100,16,18,0.5269690209077001,1.3801800720997992,0.0,0.4730309790922998
W6_asymmetry_relation,50,16,3,0.5156393893893894,1.7210217207022738,0.0,0.4843606106106106
W5_distinction_relation,100,16,19,0.5263872185261004,1.3792290638597613,0.0,0.4736127814738996
W6_asymmetry_relation,50,16,4,0.515140977443609,1.7213582175529547,0.0,0.484859022556391
W6_asymmetry_relation,50,16,5,0.5140504022121669,1.7216518456374472,0.0,0.4859495977878331
W6_asymmetry_relation,50,16,6,0.5137894341512269,1.7208859719862912,0.0,0.4862105658487731
W6_asymmetry_relation,50,16,7,0.5162631909547738,1.7212046444551004,0.0,0.4837368090452262
W6_asymmetry_relation,50,16,8,0.5145292860734036,1.7210234683644765,0.0,0.4854707139265963
W6_asymmetry_relation,50,16,10,0.5146854595680562,1.7224813073546656,0.0,0.4853145404319438
W6_asymmetry_relation,50,16,9,0.5141263777555111,1.721459106892646,0.0,0.4858736222444889
W6_asymmetry_relation,50,16,11,0.5151254390366282,1.720362363221446,0.0,0.4848745609633718
W6_asymmetry_relation,50,16,12,0.5138120611835507,1.721167310848878,0.0,0.4861879388164493
W6_asymmetry_relation,50,16,13,0.5160110386352232,1.7209285514517103,0.0,0.4839889613647767
W6_asymmetry_relation,50,16,15,0.5154262933199397,1.7199800960530771,0.0,0.4845737066800603
W6_asymmetry_relation,50,16,14,0.5149423269809429,1.722262083885752,0.0,0.4850576730190571
W6_asymmetry_relation,50,16,16,0.5156531813627255,1.720384911041221,0.0,0.4843468186372744
W6_asymmetry_relation,50,16,18,0.513733108108108,1.7222182568330962,0.0,0.486266891891892
W6_asymmetry_relation,50,16,17,0.516507906626506,1.7208144601240698,0.0,0.4834920933734939
W6_asymmetry_relation,50,16,19,0.5151510782347041,1.7199537678689891,0.0,0.4848489217652959
W6_asymmetry_relation,100,16,0,0.5080690954773869,1.7204024963121418,0.0,0.4919309045226131
W6_asymmetry_relation,100,16,1,0.5075721396169355,1.7207340443572556,0.0,0.4924278603830645
W6_asymmetry_relation,100,16,2,0.5074371859296484,1.720650473660262,0.0,0.4925628140703516
W6_asymmetry_relation,100,16,4,0.5079875440362356,1.7210092556445655,0.0,0.4920124559637644
W6_asymmetry_relation,100,16,3,0.5081742842792567,1.7204905237349764,0.0,0.4918257157207433
W6_asymmetry_relation,100,16,5,0.5081155636638147,1.7215720736430171,0.0,0.4918844363361853
W6_asymmetry_relation,100,16,6,0.5071486334002007,1.720821519424628,0.0,0.4928513665997993
W6_asymmetry_relation,100,16,7,0.5069597989949748,1.7212162450628514,0.0,0.4930402010050252
W6_asymmetry_relation,100,16,8,0.5073994469582704,1.721149862921154,0.0,0.4926005530417295
W6_asymmetry_relation,100,16,9,0.5071744595274008,1.720511115980716,0.0,0.4928255404725992
W6_asymmetry_relation,100,16,10,0.5080229784028126,1.720861849230683,0.0,0.4919770215971873
W6_asymmetry_relation,100,16,13,0.5079180296930045,1.7202954523911855,0.0,0.4920819703069955
W6_asymmetry_relation,100,16,12,0.5072974159558454,1.72103704437174,0.0,0.4927025840441545
W6_asymmetry_relation,100,16,11,0.5070700958144225,1.7206477764262098,0.0,0.4929299041855774
W6_asymmetry_relation,100,16,14,0.5073465022647207,1.7204381176753176,0.0,0.4926534977352793
W6_asymmetry_relation,100,16,15,0.5081228059177533,1.7206624883051884,0.0,0.4918771940822467
W7_full_DAR,50,16,0,0.2747577265584076,3.194036089684354,0.0,0.7252422734415924
W7_full_DAR,50,16,1,0.272474233615222,3.1927292955728865,0.0,0.7275257663847781
W7_full_DAR,50,16,2,0.2741686289900575,3.195530568237705,0.0,0.7258313710099424
W7_full_DAR,50,16,3,0.2732086406743941,3.194445206912787,0.0,0.7267913593256059
W6_asymmetry_relation,100,16,17,0.5072314698492463,1.7213334442034829,0.0,0.4927685301507537
W6_asymmetry_relation,100,16,16,0.5083351157523905,1.720746503495875,0.0,0.4916648842476094
W6_asymmetry_relation,100,16,18,0.506647069919517,1.7212992087513097,0.0,0.493352930080483
W6_asymmetry_relation,100,16,19,0.507423520561685,1.721188664798861,0.0,0.4925764794383149
W7_full_DAR,50,16,5,0.2752267932489451,3.192715975527193,0.0,0.7247732067510548
W7_full_DAR,50,16,4,0.2734445760926803,3.1951406930972155,0.0,0.7265554239073196
W7_full_DAR,50,16,6,0.2732112750263435,3.19462509234606,0.0,0.7267887249736564
W7_full_DAR,50,16,7,0.2734301258521238,3.194858658765501,0.0,0.7265698741478762
W7_full_DAR,50,16,9,0.273017173571054,3.194015345337605,0.0,0.726982826428946
W7_full_DAR,50,16,8,0.2738370874803562,3.193725765120858,0.0,0.7261629125196438
W7_full_DAR,50,16,10,0.2727891156462585,3.1937045596196625,0.0,0.7272108843537415
W7_full_DAR,50,16,11,0.2759740516332982,3.1919075245583524,0.0,0.7240259483667018
W7_full_DAR,50,16,13,0.2732856954689147,3.194441454359658,0.0,0.7267143045310853
W7_full_DAR,50,16,12,0.274925841795831,3.193717317958657,0.0,0.7250741582041689
W7_full_DAR,50,16,14,0.2726443569553806,3.194716979843031,0.0,0.7273556430446194
W7_full_DAR,50,16,15,0.2734542085759661,3.195801163260047,0.0,0.7265457914240339
W7_full_DAR,50,16,16,0.273863933996857,3.19492866163881,0.0,0.7261360660031431
W7_full_DAR,50,16,17,0.2734612860892388,3.1934480410591366,0.0,0.7265387139107611
W7_full_DAR,50,16,19,0.272804716481187,3.193199585775721,0.0,0.7271952835188129
W7_full_DAR,50,16,18,0.2730076476793249,3.192064437685176,0.0,0.7269923523206752
W7_full_DAR,100,16,1,0.2621868131868132,3.191578100543092,0.0,0.7378131868131867
W7_full_DAR,100,16,0,0.2612044886047804,3.1918406802027284,0.0,0.7387955113952196
W7_full_DAR,100,16,2,0.2621853861330327,3.192484411040673,0.0,0.7378146138669672
W7_full_DAR,100,16,3,0.262146272172949,3.192139821985184,0.0,0.7378537278270509
W7_full_DAR,100,16,4,0.2615137582964602,3.193070098417186,0.0,0.7384862417035398
W7_full_DAR,100,16,5,0.261925936123348,3.191462555775946,0.0,0.738074063876652
W7_full_DAR,100,16,6,0.2617066241685143,3.192278759895858,0.0,0.7382933758314856
W7_full_DAR,100,16,7,0.2621265919158361,3.1909519498224075,0.0,0.7378734080841639
W7_full_DAR,100,16,8,0.2615270867882808,3.1911909205198503,0.0,0.7384729132117192
