world,T,n_sites,seed,time_reversal_asymmetry,transition_irreversibility,future_option_gradient,asymmetric_filter_selectivity
W6_asymmetry_relation,100,16,18,0.0,0.0,0.0,0.1997201971770623
W6_asymmetry_relation,100,16,19,0.0,0.0,0.0,0.1996611720130391
W7_full_DAR,50,16,5,0.0401885548523206,0.0401885548523206,-0.0163502109704638,0.1448493021608067
W7_full_DAR,50,16,4,0.0402323591363875,0.0402323591363875,-0.0125943479024051,0.1448442488021555
W7_full_DAR,50,16,6,0.040365516332982,0.040365516332982,-0.0196259220231822,0.1451384506230124
W7_full_DAR,50,16,7,0.0403972207656004,0.0403972207656004,-0.0024908232826432,0.1451218268100313
W7_full_DAR,50,16,9,0.0407079181961195,0.0407079181961195,-0.0152945289285089,0.1453445913814823
W7_full_DAR,50,16,8,0.0400072027239392,0.0400072027239392,-0.0071590710668765,0.1447278711083758
W7_full_DAR,50,16,10,0.040018315018315,0.040018315018315,-0.0125588697017269,0.1445651361314837
W7_full_DAR,50,16,11,0.0402937302423603,0.0402937302423603,-0.0048735511064275,0.1444836381906093
W7_full_DAR,50,16,13,0.0405479452054794,0.0405479452054794,-0.0122936424306283,0.1452590295460118
W7_full_DAR,50,16,12,0.0406781133083912,0.0406781133083912,-0.0085515766969535,0.145071298433052
W7_full_DAR,50,16,14,0.0407375328083989,0.0407375328083989,-0.0133858267716533,0.1454391993767616
W7_full_DAR,50,16,15,0.0406398888300688,0.0406398888300688,-0.0106758425974944,0.1454796304121533
W7_full_DAR,50,16,16,0.0402291775798847,0.0402291775798847,-0.0108695652173915,0.1451712988605481
W7_full_DAR,50,16,17,0.0402027559055118,0.0402027559055118,-0.0164041994750658,0.1447572895351898
W7_full_DAR,50,16,19,0.0396422893481717,0.0396422893481717,-0.0186362833421656,0.1442424943032972
W7_full_DAR,50,16,18,0.0400257120253164,0.0400257120253164,-0.0200421940928272,0.1444200558418903
W7_full_DAR,100,16,1,0.0403513049450549,0.0403513049450549,-0.0068571428571426,0.1447321286611017
W7_full_DAR,100,16,0,0.0402299888827126,0.0402299888827126,0.0,0.1447599673260751
W7_full_DAR,100,16,2,0.0407137824126268,0.0407137824126268,-0.0074182638105977,0.145169852927162
W7_full_DAR,100,16,3,0.040418860864745,0.040418860864745,-0.0035698447893568,0.1449262577960041
W7_full_DAR,100,16,4,0.0399930862831858,0.0399930862831858,-0.0047787610619471,0.1447036559688864
W7_full_DAR,100,16,5,0.0405303551762114,0.0405303551762114,-0.0033920704845815,0.1449643257261662
W7_full_DAR,100,16,6,0.0403738220620842,0.0403738220620842,-0.0069623059866961,0.1449734089130844
W7_full_DAR,100,16,7,0.0406180786267995,0.0406180786267995,-0.0087486157253597,0.1447912050753219
W7_full_DAR,100,16,8,0.0406598949695964,0.0406598949695964,-0.0055942509673854,0.1449938883047021
W7_full_DAR,100,16,9,0.0410121345835631,0.0410121345835631,-0.0125979040264754,0.145447138100077
W7_full_DAR,100,16,10,0.0409224186307519,0.0409224186307519,-0.0056565656565656,0.1454193621172558
W7_full_DAR,100,16,11,0.0410822661469933,0.0410822661469933,-0.0060133630289529,0.1454886045914507
W7_full_DAR,100,16,12,0.0403846685082873,0.0403846685082873,0.0004861878453041,0.1448275643993245
W7_full_DAR,100,16,14,0.0406208147321428,0.0406208147321428,-0.0076339285714284,0.1450677711978281
W7_full_DAR,100,16,13,0.040145413870246,0.040145413870246,-0.0038255033557046,0.1445857846894621
W7_full_DAR,100,16,15,0.0404758087005019,0.0404758087005019,-0.0094143892916895,0.1450563738743358
W8_full_random_relation_control,50,16,0,0.0456154891304347,0.0456154891304347,-0.0157155797101449,0.1508221360700983
W8_full_random_relation_control,50,16,1,0.0450260702524698,0.0450260702524698,-0.0245151847786311,0.1501173458198686
W7_full_DAR,100,16,16,0.040547138047138,0.040547138047138,-0.0038832772166106,0.1449994271767113
W7_full_DAR,100,16,17,0.0405447565024903,0.0405447565024903,-0.0042722744881018,0.1450492347494697
W8_full_random_relation_control,50,16,2,0.0449028461959496,0.0449028461959496,-0.0171501550811892,0.1506213997646435
W7_full_DAR,100,16,18,0.0405937673514713,0.0405937673514713,-0.0077068295391451,0.1451554423937519
W7_full_DAR,100,16,19,0.0405795391449194,0.0405795391449194,-0.0029317046085508,0.1448893348038852
W8_full_random_relation_control,50,16,3,0.0439669477693144,0.0439669477693144,-0.024392455567646,0.1499650156054359
W8_full_random_relation_control,50,16,4,0.0450226275370268,0.0450226275370268,-0.0239074785152677,0.1504380911535028
W8_full_random_relation_control,50,16,5,0.0459529972752043,0.0459529972752043,-0.0204359673024518,0.1505741332368894
W8_full_random_relation_control,50,16,7,0.0445547945205479,0.0445547945205479,-0.0176712328767121,0.1504772778003041
W8_full_random_relation_control,50,16,6,0.0453892543859649,0.0453892543859649,-0.0226151315789473,0.1508369226613416
W8_full_random_relation_control,50,16,9,0.0433130530973451,0.0433130530973451,-0.0156710914454274,0.1493252314160273
W8_full_random_relation_control,50,16,8,0.0456916208791208,0.0456916208791208,-0.0200091575091576,0.1508378196264668
W8_full_random_relation_control,50,16,10,0.0438002477973568,0.0438002477973568,-0.0203285609397942,0.1500902373778158
W8_full_random_relation_control,50,16,11,0.0442326597487711,0.0442326597487711,-0.0249408337884582,0.1498711808241138
W8_full_random_relation_control,50,16,12,0.0440988692774406,0.0440988692774406,-0.0215572715572713,0.1501993454923684
W8_full_random_relation_control,50,16,13,0.0443526663001649,0.0443526663001649,-0.0212571009712299,0.149749819505872
W8_full_random_relation_control,50,16,14,0.0442532912781129,0.0442532912781129,-0.0209818979703784,0.1497614113721917
W8_full_random_relation_control,50,16,15,0.0437382661512976,0.0437382661512976,-0.0241119087060557,0.1495859066888789
W8_full_random_relation_control,50,16,16,0.0460673701298701,0.0460673701298701,-0.0271464646464645,0.1507279829732465
W8_full_random_relation_control,50,16,17,0.0460448895027624,0.0460448895027624,-0.0165745856353591,0.1511119678197414
W8_full_random_relation_control,50,16,18,0.0428881215469613,0.0428881215469613,-0.0202117863720077,0.1494456839376736
W8_full_random_relation_control,50,16,19,0.0459587714443829,0.0459587714443829,-0.0277162885076553,0.1508000752577011
W8_full_random_relation_control,100,16,0,0.0446233925290875,0.0446233925290875,-0.0033067973055729,0.1502833909611654
W8_full_random_relation_control,100,16,1,0.0450077342368886,0.0450077342368886,-0.008744843842074,0.1503446878815622
W8_full_random_relation_control,100,16,2,0.0454098484848484,0.0454098484848484,-0.0103999999999997,0.1504700713789471
W8_full_random_relation_control,100,16,3,0.0449988475722188,0.0449988475722188,-0.0167670559311616,0.1503675596382639
W8_full_random_relation_control,100,16,4,0.0439033232628398,0.0439033232628398,-0.0102477341389728,0.1500277700037646
W8_full_random_relation_control,100,16,6,0.0459063639125151,0.0459063639125151,-0.0069258809234509,0.1510799767889429
W8_full_random_relation_control,100,16,5,0.0459733303782505,0.0459733303782505,-0.0125059101654847,0.1510972835499179
W8_full_random_relation_control,100,16,7,0.0436032282282282,0.0436032282282282,-0.0101381381381382,0.1497947493593835
