space,parent_rule_id,control_rule_id,control_type,output_entropy_difference,dependency_degree_difference,activity_density_difference,quiescent_preservation_match,rule_table_hamming_distance,left_right_dependency_preserved,center_dependency_preserved
q3_radius1,q3g3_s1_00123,q3g3_s1_00123_left_neighbor_removed,left_neighbor_removed,0.06743371132215614,1.0,0.2883212639187125,True,0.2962962962962963,True,True
q3_radius1,q3g3_s1_00123,q3g3_s1_00123_center_only_projection,center_only_projection,0.5992329553445104,2.0,0.3988210121635651,True,0.7037037037037037,False,True
q3_radius1,q3g3_s1_00123,q3g3_s1_00123_right_neighbor_removed,right_neighbor_removed,0.06743371132215614,1.0,0.02795400241507262,True,0.4444444444444444,True,True
q3_radius1,q3g3_s1_00123,q3g3_s1_00123_left_right_symmetrized_rule,left_right_symmetrized_rule,0.02318079579369714,0.0,0.4200404255788307,True,0.25925925925925924,False,True
q3_radius1,q3g3_s1_00123,q3g3_s1_00123_symbol_phase_only,symbol_phase_only,0.5992329553445104,2.0,0.2901818447100644,True,0.5185185185185185,False,True
q3_radius1,q3g3_s1_00123,q3g3_s1_00123_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.44122331308187634,False,0.5555555555555556,True,True
q3_radius1,q3g3_s1_00133,q3g3_s1_00133_symbol_phase_only,symbol_phase_only,1.5098693043797229,2.0,0.5113588150946484,False,0.5185185185185185,False,False
q3_radius1,q3g3_s1_00133,q3g3_s1_00133_center_only_projection,center_only_projection,0.5915734703252333,2.0,0.012337162248339917,True,0.5925925925925926,False,True
q3_radius1,q3g3_s1_00133,q3g3_s1_00133_left_neighbor_removed,left_neighbor_removed,0.07434880009705624,1.0,0.03252597781572364,True,0.4444444444444444,True,True
q3_radius1,q3g3_s1_00133,q3g3_s1_00133_left_right_symmetrized_rule,left_right_symmetrized_rule,0.19930192464524366,0.0,0.05149888899358851,True,0.18518518518518517,False,True
q3_radius1,q3g3_s1_00133,q3g3_s1_00133_right_neighbor_removed,right_neighbor_removed,0.020623752377759486,1.0,0.01215090389140161,True,0.2962962962962963,True,True
q3_radius1,q3g3_s1_00133,q3g3_s1_00133_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.06728066090564583,True,0.6666666666666666,True,True
q3_radius1,q3g3_s1_00162,q3g3_s1_00162_center_only_projection,center_only_projection,1.5663672668986361,2.0,0.07363737923050173,True,0.6296296296296297,False,False
q3_radius1,q3g3_s1_00162,q3g3_s1_00162_left_neighbor_removed,left_neighbor_removed,0.2147231517452437,1.0,0.06965191043608365,True,0.5555555555555556,True,True
q3_radius1,q3g3_s1_00162,q3g3_s1_00162_symbol_phase_only,symbol_phase_only,0.6480714328441466,2.0,0.8158881253743806,False,0.6296296296296297,False,True
q3_radius1,q3g3_s1_00162,q3g3_s1_00162_right_neighbor_removed,right_neighbor_removed,0.03587421014115355,1.0,0.09106892467397143,True,0.4444444444444444,True,True
q3_radius1,q3g3_s1_00162,q3g3_s1_00162_left_right_symmetrized_rule,left_right_symmetrized_rule,0.02151807818172702,0.0,0.26397870654328603,True,0.25925925925925924,False,True
q3_radius1,q3g3_s1_00162,q3g3_s1_00162_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.1545605873271504,False,0.8148148148148148,True,True
q3_radius1,q3g3_s1_00164,q3g3_s1_00164_center_only_projection,center_only_projection,0.023947490127847137,2.0,0.035530908298306574,True,0.5555555555555556,False,True
q3_radius1,q3g3_s1_00164,q3g3_s1_00164_right_neighbor_removed,right_neighbor_removed,0.030521953835826343,1.0,0.051452041834186196,True,0.4444444444444444,True,True
q3_radius1,q3g3_s1_00164,q3g3_s1_00164_left_neighbor_removed,left_neighbor_removed,0.030521953835826565,1.0,0.035261336358202444,True,0.4074074074074074,True,True
q3_radius1,q3g3_s1_00164,q3g3_s1_00164_left_right_symmetrized_rule,left_right_symmetrized_rule,0.34267818625412816,0.0,0.018313709677931056,True,0.3333333333333333,False,True
q3_radius1,q3g3_s1_00164,q3g3_s1_00164_symbol_phase_only,symbol_phase_only,0.6427191765388194,2.0,0.14414800553448875,True,0.5555555555555556,False,True
q3_radius1,q3g3_s1_00164,q3g3_s1_00164_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.40689543983702375,False,0.7777777777777778,True,True
