space,parent_rule_id,rule_id,control_type,dominant_active_neighborhood,dominant_active_neighborhood_count,mechanism_label,symbol_turnover_by_phase_proxy,phase_sequence_length
q3_radius1,q3g3_s3_00244,q3g3_s3_00244_symbol_phase_only,symbol_phase_only,"(2, 1, 1)",6,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00226,q3g3_s3_00125,stratum_null_q3g3_s3_00125,"(1, 1, 1)",239,travelling,0.4249267578125,17
q3_radius1,q3g3_s3_00229,q3g3_s3_00229_right_neighbor_removed,right_neighbor_removed,"(2, 1, 0)",203,emitter-like,0.2623291015625,17
q3_radius1,q3g3_s3_00229,q3g3_s3_00229_output_histogram_random,output_distribution_matched_random,"(2, 2, 2)",574,travelling,0.2547607421875,17
q3_radius1,q3g3_s3_00229,q3r1_s3_0020,stratum_null_q3r1_s3_0020,"(0, 2, 0)",155,travelling,0.1768798828125,17
q3_radius1,q3g3_s3_00229,q3g3_s3_00127,stratum_null_q3g3_s3_00127,"(0, 1, 0)",914,emitter-like,0.1024169921875,17
q3_radius1,q3g3_s3_00244,q3g3_s3_00244_left_neighbor_removed,left_neighbor_removed,"(0, 1, 2)",383,travelling,0.06103515625,2
q3_radius1,q3g3_s3_00229,q3g3_s3_00020,stratum_null_q3g3_s3_00020,"(0, 2, 0)",195,emitter-like,0.571044921875,17
q3_radius1,q3g3_s3_00229,q3g3_s3_00216,stratum_null_q3g3_s3_00216,"(0, 2, 1)",288,travelling,0.794189453125,17
q3_radius1,q3g3_s3_00244,q3g3_s3_00244,raw,"(0, 1, 0)",287,emitter-like,0.2960205078125,17
q3_radius1,q3g3_s3_00244,q3g3_s3_00244_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 1, 0)",930,emitter-like,0.1060791015625,17
q3_radius1,q3g3_s3_00249,q3g3_s3_00249_symbol_phase_only,symbol_phase_only,"(0, 2, 2)",8,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00244,q3g3_s3_00244_right_neighbor_removed,right_neighbor_removed,"(0, 2, 0)",275,travelling,0.03076171875,2
q3_radius1,q3g3_s3_00244,q3g3_s3_00244_output_histogram_random,output_distribution_matched_random,"(0, 2, 0)",338,travelling,0.026611328125,2
q3_radius1,q3g3_s3_00249,q3g3_s3_00249_center_only_projection,center_only_projection,"(0, 2, 0)",393,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00244,q3g3_s3_00166,stratum_null_q3g3_s3_00166,"(0, 2, 0)",983,travelling,0.151611328125,15
q3_radius1,q3g3_s3_00244,q3g3_s3_00042,stratum_null_q3g3_s3_00042,"(0, 1, 2)",316,travelling,0.3709716796875,17
q3_radius1,q3g3_s3_00244,q3g3_s3_00102,stratum_null_q3g3_s3_00102,"(0, 1, 0)",213,travelling,0.040771484375,2
q3_radius1,q3g3_s3_00244,q3g3_s3_00090,stratum_null_q3g3_s3_00090,"(0, 1, 0)",553,travelling,0.3026123046875,17
q3_radius1,q3g3_s3_00249,q3g3_s3_00249_left_neighbor_removed,left_neighbor_removed,"(0, 2, 0)",118,emitter-like,0.104248046875,17
q3_radius1,q3g3_s3_00249,q3g3_s3_00014,stratum_null_q3g3_s3_00014,"(0, 2, 2)",297,emitter-like,0.164306640625,17
q3_radius1,q3g3_s3_00249,q3g3_s3_00249,raw,"(0, 2, 2)",186,travelling,0.4912109375,17
q3_radius1,q3g3_s3_00249,q3g3_s3_00249_right_neighbor_removed,right_neighbor_removed,"(2, 1, 0)",162,travelling,0.05517578125,2
q3_radius1,q3g3_s3_00249,q3g3_s3_00249_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 1, 0)",264,travelling,0.247314453125,17
q3_radius1,q3g3_s4_00004,q3g3_s4_00004_left_neighbor_removed,left_neighbor_removed,"(2, 2, 2)",591,travelling,0.4000244140625,17
q3_radius1,q3g3_s4_00004,q3g3_s4_00004_symbol_phase_only,symbol_phase_only,"(1, 1, 1)",1026,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s4_00004,q3g3_s4_00004_right_neighbor_removed,right_neighbor_removed,"(1, 1, 1)",550,travelling,0.1458740234375,17
q3_radius1,q3g3_s3_00249,q3g3_s3_00082,stratum_null_q3g3_s3_00082,"(1, 1, 1)",300,travelling,0.063720703125,3
q3_radius1,q3g3_s4_00004,q3g3_s4_00004,raw,"(2, 2, 2)",251,travelling,0.2486572265625,17
q3_radius1,q3g3_s4_00004,q3g3_s4_00004_center_only_projection,center_only_projection,"(0, 2, 2)",153,emitter-like,0.0,1
q3_radius1,q3g3_s3_00249,q3g3_s3_00096,stratum_null_q3g3_s3_00096,"(0, 2, 0)",197,travelling,0.3089599609375,17
q3_radius1,q3g3_s3_00249,q3g3_s3_00152,stratum_null_q3g3_s3_00152,"(0, 1, 2)",154,travelling,0.5859375,17
q3_radius1,q3g3_s3_00249,q3g3_s3_00249_output_histogram_random,output_distribution_matched_random,"(0, 2, 0)",479,travelling,0.1754150390625,17
q3_radius1,q3g3_s4_00004,q3g3_s4_00004_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 1, 0)",242,emitter-like,0.0,2
q3_radius1,q3g3_s4_00004,q3g3_s4_00004_output_histogram_random,output_distribution_matched_random,"(1, 1, 1)",1000,travelling,0.024169921875,2
q3_radius1,q3g3_s4_00004,q3g3_s4_00130,stratum_null_q3g3_s4_00130,"(1, 1, 1)",457,local-phase-clock-like,0.0,5
q3_radius1,q3g3_s4_00017,q3g3_s4_00017_right_neighbor_removed,right_neighbor_removed,"(1, 1, 1)",530,travelling,0.9163818359375,17
q3_radius1,q3g3_s4_00004,q3g3_s4_00019,stratum_null_q3g3_s4_00019,"(2, 2, 2)",981,travelling,0.036376953125,3
q3_radius1,q3g3_s4_00017,q3g3_s4_00017_center_only_projection,center_only_projection,"(1, 1, 1)",396,travelling,1.0,3
q3_radius1,q3g3_s4_00024,q3g3_s4_00024_center_only_projection,center_only_projection,"(2, 2, 0)",6,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s4_00004,q3g3_s4_00210,stratum_null_q3g3_s4_00210,"(1, 1, 1)",124,travelling,0.1654052734375,17
q3_radius1,q3g3_s4_00004,q3g3_s4_00069,stratum_null_q3g3_s4_00069,"(1, 1, 1)",202,travelling,0.6475830078125,17
q3_radius1,q3g3_s4_00024,q3g3_s4_00024_left_neighbor_removed,left_neighbor_removed,"(0, 2, 2)",6,local-phase-clock-like,0.0,2
