object_kind,object_id,source_value,rational_numerator,rational_denominator,exact_rationalized,max_denominator_used,rationalization_error,status
channel_probability,bit_flip_p_0_10::10->01,1/100,1,100,1,100,0,exact
channel_probability,bit_flip_p_0_10::10->10,81/100,81,100,1,100,0,exact
channel_probability,bit_flip_p_0_10::10->11,9/100,9,100,1,100,0,exact
channel_probability,bit_flip_p_0_10::11->00,1/100,1,100,1,100,0,exact
channel_probability,bit_flip_p_0_10::11->01,9/100,9,100,1,100,0,exact
channel_probability,bit_flip_p_0_10::11->10,9/100,9,100,1,100,0,exact
channel_probability,bit_flip_p_0_10::11->11,81/100,81,100,1,100,0,exact
channel_probability,bit_flip_p_0_25::00->00,9/16,9,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::00->01,3/16,3,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::00->10,3/16,3,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::00->11,1/16,1,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::01->00,3/16,3,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::01->01,9/16,9,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::01->10,1/16,1,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::01->11,3/16,3,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::10->00,3/16,3,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::10->01,1/16,1,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::10->10,9/16,9,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::10->11,3/16,3,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::11->00,1/16,1,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::11->01,3/16,3,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::11->10,3/16,3,16,1,16,0,exact
channel_probability,bit_flip_p_0_25::11->11,9/16,9,16,1,16,0,exact
channel_probability,bit_flip_p_0_50::00->00,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::00->01,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::00->10,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::00->11,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::01->00,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::01->01,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::01->10,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::01->11,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::10->00,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::10->01,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::10->10,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::10->11,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::11->00,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::11->01,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::11->10,1/4,1,4,1,4,0,exact
channel_probability,bit_flip_p_0_50::11->11,1/4,1,4,1,4,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::00->00,3/4,3,4,1,4,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::00->01,1/4,1,4,1,4,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::00->10,0,0,1,1,1,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::00->11,0,0,1,1,1,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::01->00,1/4,1,4,1,4,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::01->01,3/4,3,4,1,4,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::01->10,0,0,1,1,1,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::01->11,0,0,1,1,1,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::10->00,0,0,1,1,1,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::10->01,0,0,1,1,1,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::10->10,3/4,3,4,1,4,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::10->11,1/4,1,4,1,4,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::11->00,0,0,1,1,1,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::11->01,0,0,1,1,1,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::11->10,1/4,1,4,1,4,0,exact
channel_probability,asym_A_preserved_B_noisy_p_0_25::11->11,3/4,3,4,1,4,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::00->00,3/4,3,4,1,4,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::00->01,0,0,1,1,1,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::00->10,1/4,1,4,1,4,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::00->11,0,0,1,1,1,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::01->00,0,0,1,1,1,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::01->01,3/4,3,4,1,4,0,exact
