world,T,seed,edge_influence_early,edge_influence_middle,edge_influence_late,edge_influence_rank_correlation_early_late,relation_identity_persistence
W7_full_DAR,100,9,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,11,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,10,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,12,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,13,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,14,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,16,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,15,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,17,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,0,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,1,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,2,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,3,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,4,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,5,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,19,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,18,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,21,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,20,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,22,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,23,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,25,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,24,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,26,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,27,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,29,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,28,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,6,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,7,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,8,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,9,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,10,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,11,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,12,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,13,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,14,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,15,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,16,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,17,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,18,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,19,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,20,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,21,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,22,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,23,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,24,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,25,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,26,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,27,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,28,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,50,29,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,100,0,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,100,2,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,100,3,0.0,0.0,0.0,0.0,0.0
W8_full_random_relation_control,100,1,0.0,0.0,0.0,0.0,0.0
