world,T,seed,future_prediction_self_only,future_prediction_self_plus_true_relation,future_prediction_self_plus_shuffled_relation,connection_predictive_gain,relation_shuffle_delta
W2_asymmetry_only,50,18,0.8148266789174741,0.8148266789174741,0.8148266789174741,0.0,0.0
W2_asymmetry_only,50,20,0.8151622073578595,0.8151622073578595,0.8151622073578595,0.0,0.0
W2_asymmetry_only,50,21,0.8153368113522538,0.8153368113522538,0.8153368113522538,0.0,0.0
W2_asymmetry_only,50,22,0.8152529215358932,0.8152529215358932,0.8152529215358932,0.0,0.0
W2_asymmetry_only,50,24,0.8151736806947227,0.8151736806947227,0.8151736806947227,0.0,0.0
W2_asymmetry_only,50,26,0.815357023690357,0.815357023690357,0.815357023690357,0.0,0.0
W2_asymmetry_only,50,25,0.8149220313542361,0.8149220313542361,0.8149220313542361,0.0,0.0
W2_asymmetry_only,50,23,0.8150542752171009,0.8150542752171009,0.8150542752171009,0.0,0.0
W2_asymmetry_only,50,28,0.8153716216216216,0.8153716216216216,0.8153716216216216,0.0,0.0
W2_asymmetry_only,50,27,0.8149691563854617,0.8149691563854617,0.8149691563854617,0.0,0.0
W2_asymmetry_only,50,29,0.815302802802803,0.815302802802803,0.815302802802803,0.0,0.0
W2_asymmetry_only,100,1,0.8150720912738214,0.8150720912738214,0.8150720912738214,0.0,0.0
W2_asymmetry_only,100,0,0.8151852238556633,0.8151852238556633,0.8151852238556633,0.0,0.0
W2_asymmetry_only,100,2,0.8149929048414023,0.8149929048414023,0.8149929048414023,0.0,0.0
W2_asymmetry_only,100,3,0.8152444017379679,0.8152444017379679,0.8152444017379679,0.0,0.0
W2_asymmetry_only,100,4,0.8152096545393859,0.8152096545393859,0.8152096545393859,0.0,0.0
W2_asymmetry_only,100,5,0.8153869147157189,0.8153869147157189,0.8153869147157189,0.0,0.0
W2_asymmetry_only,100,6,0.8155407326865172,0.8155407326865172,0.8155407326865172,0.0,0.0
W2_asymmetry_only,100,7,0.8149176421404681,0.8149176421404681,0.8149176421404681,0.0,0.0
W2_asymmetry_only,100,8,0.8151223644578313,0.8151223644578313,0.8151223644578313,0.0,0.0
W2_asymmetry_only,100,9,0.8151761268781302,0.8151761268781302,0.8151761268781302,0.0,0.0
W2_asymmetry_only,100,11,0.8152277861445785,0.8152277861445785,0.8152277861445785,0.0,0.0
W2_asymmetry_only,100,12,0.8151662345265974,0.8151662345265974,0.8151662345265974,0.0,0.0
W2_asymmetry_only,100,13,0.8152208096353294,0.8152208096353294,0.8152208096353294,0.0,0.0
W2_asymmetry_only,100,14,0.8150158703641831,0.8150158703641831,0.8150158703641831,0.0,0.0
W2_asymmetry_only,100,15,0.8150866895053476,0.8150866895053476,0.8150866895053476,0.0,0.0
W2_asymmetry_only,100,10,0.8150233879051119,0.8150233879051119,0.8150233879051119,0.0,0.0
W2_asymmetry_only,100,16,0.8153431331549013,0.8153431331549013,0.8153431331549013,0.0,0.0
W2_asymmetry_only,100,17,0.8151050718582888,0.8151050718582888,0.8151050718582888,0.0,0.0
W2_asymmetry_only,100,18,0.8152894604557642,0.8152894604557642,0.8152894604557642,0.0,0.0
W2_asymmetry_only,100,19,0.8152494554289543,0.8152494554289543,0.8152494554289543,0.0,0.0
W2_asymmetry_only,100,20,0.8151627256016043,0.8151627256016043,0.8151627256016043,0.0,0.0
W3_relation_only,50,0,0.9259993247805536,0.9259993247805536,0.9259993247805536,0.0,0.0
W3_relation_only,50,2,0.9261897336480108,0.9261897336480108,0.9261897336480108,0.0,0.0
W2_asymmetry_only,100,21,0.8151819435160428,0.8151819435160428,0.8151819435160428,0.0,0.0
W3_relation_only,50,4,0.926263468013468,0.926263468013468,0.926263468013468,0.0,0.0
W3_relation_only,50,3,0.9260100540723218,0.9260100540723218,0.9260100540723218,0.0,0.0
W3_relation_only,50,1,0.9261629667003028,0.9261629667003028,0.9261629667003028,0.0,0.0
W2_asymmetry_only,100,22,0.8149567885771544,0.8149567885771544,0.8149567885771544,0.0,0.0
W3_relation_only,50,5,0.9258324915824916,0.9258324915824916,0.9258324915824916,0.0,0.0
W2_asymmetry_only,100,23,0.8150035511363635,0.8150035511363635,0.8150035511363635,0.0,0.0
W2_asymmetry_only,100,24,0.8154680183946488,0.8154680183946488,0.8154680183946488,0.0,0.0
W2_asymmetry_only,100,26,0.8151161965954605,0.8151161965954605,0.8151161965954605,0.0,0.0
W2_asymmetry_only,100,25,0.8154145749665329,0.8154145749665329,0.8154145749665329,0.0,0.0
W2_asymmetry_only,100,27,0.8149995819397994,0.8149995819397994,0.8149995819397994,0.0,0.0
W2_asymmetry_only,100,29,0.8151063607489134,0.8151063607489134,0.8151063607489134,0.0,0.0
W2_asymmetry_only,100,28,0.8149107142857143,0.8149107142857143,0.8149107142857143,0.0,0.0
W3_relation_only,50,6,0.9259878828677214,0.9259878828677214,0.9259878828677214,0.0,0.0
W3_relation_only,50,7,0.9261166722745626,0.9261166722745626,0.9261166722745626,0.0,0.0
W3_relation_only,50,8,0.9258965284799462,0.9258965284799462,0.9258965284799462,0.0,0.0
W3_relation_only,50,9,0.9258456499832046,0.9258456499832046,0.9258456499832046,0.0,0.0
W3_relation_only,50,10,0.9260234956051384,0.9260234956051384,0.9260234956051384,0.0,0.0
W3_relation_only,50,13,0.9261087213225372,0.9261087213225372,0.9261087213225372,0.0,0.0
W3_relation_only,50,11,0.9260382996632996,0.9260382996632996,0.9260382996632996,0.0,0.0
