condition,alpha,T,control,counterfactual_profile_separation,intervention_viable_reachability_delta,component_conditioned_affordance_balance,counterfactual_affordance
shuffled,0.525,900,none,0.016746655106544495,1.0,0.8412891013228739,0.6193452521431394
shuffled,0.525,1500,none,0.013063306920230389,1.0,0.7997546456367046,0.6042726508523116
shuffled,0.525,2400,none,0.009366976097226143,1.0,0.7842787304074634,0.5978819021682299
time_shuffled,0.45,900,none,0.026262357831001282,1.0,0.9407898437126547,0.6556840671812186
time_shuffled,0.45,1500,none,0.026046759448945522,1.0,0.8214858675663078,0.6158442090050844
time_shuffled,0.45,2400,none,0.019784949719905853,1.0,0.9184937272746255,0.6460928923315105
time_shuffled,0.5,900,none,0.027102776803076267,1.0,0.9345199649329657,0.6538742472453474
time_shuffled,0.5,1500,none,0.02547609806060791,1.0,0.7146553451024118,0.5800438143876733
time_shuffled,0.5,2400,none,0.02237708307802677,1.0,0.8329291944891696,0.6184354258557322
time_shuffled,0.525,900,none,0.027211830019950867,1.0,0.85997995070626,0.6290639269087369
time_shuffled,0.525,1500,none,0.02714703604578972,1.0,0.8311172228864863,0.619421419644092
time_shuffled,0.525,2400,none,0.022904636338353157,1.0,0.7469851976566626,0.5899632779983386
