condition,alpha,T,kappa,segment_depth,seed,certified_path_mass_survival,component_A_preservation,component_B_preservation
independent_alpha0,0.45,2400,center_of_mass,1,79.5,0.7372561085582631,1.0,0.7152119612107656
independent_alpha0,0.45,2400,center_of_mass,2,79.5,0.6975283703898485,1.0,0.7152119612107656
independent_alpha0,0.45,2400,center_of_mass,3,79.5,0.6627081947111613,1.0,0.7152119612107656
independent_alpha0,0.45,2400,center_of_mass,4,79.5,0.6292025223375461,1.0,0.7152119612107656
independent_alpha0,0.45,2400,center_of_mass,5,79.5,0.5937534000844712,1.0,0.7152119612107656
independent_alpha0,0.45,2400,center_of_mass,6,79.5,0.5597453084675258,1.0,0.7152119612107656
independent_alpha0,0.45,2400,joint_basin,1,79.5,0.9954391841344057,1.0,1.0
independent_alpha0,0.45,2400,joint_basin,2,79.5,0.995393513960925,1.0,1.0
independent_alpha0,0.45,2400,joint_basin,3,79.5,0.9950618853714532,1.0,1.0
independent_alpha0,0.45,2400,joint_basin,4,79.5,0.9945444173897997,1.0,1.0
independent_alpha0,0.45,2400,joint_basin,5,79.5,0.9930920871708704,1.0,1.0
independent_alpha0,0.45,2400,joint_basin,6,79.5,0.9923187255692474,1.0,1.0
independent_alpha0,0.5,900,basin_transition_profile,1,79.5,0.9916561077874503,1.0,1.0
independent_alpha0,0.5,900,basin_transition_profile,2,79.5,0.9882885229609422,1.0,1.0
independent_alpha0,0.5,900,basin_transition_profile,3,79.5,0.9854340310574908,1.0,1.0
independent_alpha0,0.5,900,basin_transition_profile,4,79.5,0.982993137866058,1.0,1.0
independent_alpha0,0.5,900,basin_transition_profile,5,79.5,0.9809952171508843,1.0,1.0
independent_alpha0,0.5,900,basin_transition_profile,6,79.5,0.9793308142992352,1.0,1.0
independent_alpha0,0.5,900,boundary_v2_regime_sequence,1,79.5,0.9958227161726679,1.0,1.0
independent_alpha0,0.5,900,boundary_v2_regime_sequence,2,79.5,0.9944836995689217,1.0,1.0
independent_alpha0,0.5,900,boundary_v2_regime_sequence,3,79.5,0.9944217573654986,1.0,1.0
independent_alpha0,0.5,900,boundary_v2_regime_sequence,4,79.5,0.9943942267655922,1.0,1.0
independent_alpha0,0.5,900,boundary_v2_regime_sequence,5,79.5,0.9943842164420111,1.0,1.0
