space,rule_id,stratum,q,radius,ic_family,T,ring_size,motif_type,confirmed,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,confirmed_fraction
q2_radius2,q2r2_s2_0007,S2_quiescent_preserving,2,2,two_cell_seed,512,256,emitter,False,0.5610227826510721,0.64453125,0.9892286083317914,0.0,0.0,0.0,0.0,0.0,444.0,444.0,4.0,1.4050473809981876,1.0,0.58984375,0.8671875,0.54296875,-0.03125,0.0,1.0,0.5610227826510721,0.4389772173489279,187.39565573590073,0.0,0.0,0.0,0.0,0.9892286083317914,0.328125,0.671875,0.28835540444979024,0.32459063710886904,0.6666666666666666
q2_radius2,q2r2_s2_0007,S2_quiescent_preserving,2,2,single_seed,512,256,emitter,True,0.5645102339181286,0.63671875,0.9879587084942332,0.0,0.0,0.0,0.0,0.0,516.0,516.0,4.0,1.441672933896709,1.0,0.80078125,1.0078125,0.58984375,-0.015625,0.0,1.0,0.5645102339181286,0.4354897660818714,181.2961505166644,0.0,0.0,0.0,0.0,0.9879587084942332,0.3359375,0.6640625,0.30765178448201014,0.33189237863478144,0.6666666666666666
q2_radius2,q2r2_s2_0007,S2_quiescent_preserving,2,2,bernoulli_025,512,256,emitter,True,0.6225973802235624,0.64886474609375,0.9561868995610241,0.0,0.0,0.0,0.0,0.0,515.1875,516.0,4.0,1.3899783159930723,1.0,0.7052001953125,1.0078125,0.4617919921875,-0.00396728515625,0.0,1.0,0.6225973802235624,0.37740261977643763,92.67331411984496,0.0,0.0,0.0,0.0,0.9561868995610241,0.3404541015625,0.6595458984375,0.2840155478461498,0.3255377518158809,0.6666666666666666
q2_radius2,q2r2_s2_0007,S2_quiescent_preserving,2,2,short_random_block,512,256,emitter,False,0.5711957846003899,0.64691162109375,0.9853245916885915,0.0,0.0,0.0,0.0,0.0,516.0,516.0,4.0,1.418292397120291,1.0,0.69818115234375,1.0078125,0.45257568359375,-0.00543212890625,0.0,1.0,0.5711957846003899,0.4288042153996101,100.90390835423443,0.0,0.0,0.0,0.0,0.9853245916885915,0.3360595703125,0.6639404296875,0.2952229343138784,0.3311277589012076,0.6666666666666666
q2_radius2,q2r2_s2_0007,S2_quiescent_preserving,2,2,periodic_perturbation,512,256,emitter,True,0.6429059063946759,0.6602783203125,0.9402445998705031,0.0,0.0,0.0,0.0,0.0,516.0,516.0,4.0,1.1232337576026288,1.0,0.8135986328125,1.0078125,0.4892578125,0.008544921875,0.0,1.0,0.6429059063946759,0.35709409360532407,306.2329189379986,0.0,0.0,0.0,0.0,0.9402445998705031,0.328125,0.671875,0.3158182137078154,0.30851775933250886,0.6666666666666666
q2_radius2,q2r2_s5_0021,S5_asymmetric_neighbor_dependent,2,2,periodic_perturbation,512,256,emitter,True,0.153152079145346,0.205078125,0.6176724926765564,0.53125,0.53125,0.0,0.53125,0.53125,111.625,316.0,1.0,1.8949547857729114,0.46875,0.7894287109375,0.6171875,0.2618408203125,-0.0257568359375,1.0,0.46875,0.153152079145346,0.846847920854654,2.4171484987129737,0.53125,0.53125,0.53125,0.53125,0.6176724926765564,0.18310546875,0.81689453125,0.24208206208656563,0.11309921130552181,0.16666666666666666
q2_radius2,q2r2_s5_0021,S5_asymmetric_neighbor_dependent,2,2,single_seed,512,256,emitter,False,0.33200840643274854,0.37890625,0.9169652051257082,0.0,0.0,0.0,0.0,0.0,164.0,164.0,1.0,1.9472220660691903,1.0,0.55859375,0.3203125,0.49609375,-0.0078125,0.0,1.0,0.33200840643274854,0.6679915935672515,29.74389397666617,0.0,0.0,0.0,0.0,0.9169652051257082,0.4296875,0.5703125,0.5083044292043845,0.39400848657745274,0.16666666666666666
q2_radius2,q2r2_s5_0021,S5_asymmetric_neighbor_dependent,2,2,bernoulli_050,512,256,emitter,False,0.3885821664077729,0.38189697265625,0.963878472643472,0.0,0.0,0.0,0.0,0.0,126.0625,236.0,1.0,1.9739541650103178,1.0,0.57489013671875,0.4609375,0.47418212890625,-0.001220703125,0.0,1.0,0.3885821664077729,0.6114178335922271,28.749413471565315,0.0,0.0,0.0,0.0,0.963878472643472,0.3853759765625,0.6146240234375,0.50205075845936,0.371455607682549,0.16666666666666666
q2_radius2,q2r2_s5_0021,S5_asymmetric_neighbor_dependent,2,2,two_cell_seed,512,256,emitter,False,0.3312850268031189,0.3984375,0.9162338944573456,0.0,0.0,0.0,0.0,0.0,236.0,236.0,1.0,1.9153288671760282,1.0,0.578125,0.4609375,0.5078125,-0.0234375,0.0,1.0,0.3312850268031189,0.6687149731968811,29.741345555885065,0.0,0.0,0.0,0.0,0.9162338944573456,0.359375,0.640625,0.508968791523162,0.3292715558206086,0.16666666666666666
q2_radius2,q2r2_s5_0021,S5_asymmetric_neighbor_dependent,2,2,bernoulli_025,512,256,emitter,False,0.3882596199972588,0.38287353515625,0.9636672310836207,0.0,0.0,0.0,0.0,0.0,122.25,248.0,1.0,1.958791310684216,1.0,0.57830810546875,0.484375,0.47796630859375,-0.00128173828125,0.0,1.0,0.3882596199972588,0.6117403800027412,29.949530120345702,0.0,0.0,0.0,0.0,0.9636672310836207,0.3863525390625,0.6136474609375,0.5063494488867895,0.3723152815404858,0.16666666666666666
