world,seed,T,branch_probability,loop_closure_rate,nontrivial_loop_closure_rate,holonomy_diversity_proxy,trivial_closure_rate
W1_distinction_only,22,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,23,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,25,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,24,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,26,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,27,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,28,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,29,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,30,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,31,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,32,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,34,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,33,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,35,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,36,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,37,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,38,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,39,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,40,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,41,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,42,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,45,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,43,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,44,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,46,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,47,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,48,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,49,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,1,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,0,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,2,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,4,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,3,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,5,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,6,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,7,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,8,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,12,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,9,100,0.1,0.0,0.0,0.0,1.0
