variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_width,ci_excludes_zero
initial_location_000,initial_location,mild,0.45,2400,center_of_mass,Delta_robust_reachability_vs_shuffled,0.13916554338815063,0.004027304939868236,0.000318386411050777,0.13851780995802077,0.13978328383334018,0.0012654738753194172,True
initial_location_000,initial_location,mild,0.45,2400,center_of_mass,Delta_robust_reachability_vs_product,0.13923012740548013,0.004440848470863407,0.0003510798977901065,0.13851381378087452,0.13990090742609604,0.001387093645221521,True
initial_location_000,initial_location,mild,0.45,2400,center_of_mass,component_B_preservation,0.7172872816567091,0.003767132784342686,0.0002978179961703695,0.7166876547623685,0.7178785437370531,0.0011908889746845563,True
initial_location_000,initial_location,mild,0.45,2400,center_of_mass,lower_rank_erasure_score,0.14135635917164543,0.00188356639217135,0.0001489089980851853,0.14108126858181536,0.14164646280392956,0.000565194222114207,True
initial_location_000,initial_location,mild,0.45,2400,center_of_mass,singleton_fraction,0.4063317103088667,0.012170281989169052,0.0009621452713074719,0.40443370667310763,0.4082455560661638,0.003811849393056177,True
initial_location_000,initial_location,mild,0.45,2400,joint_basin,Delta_viable_propagation_vs_shuffled,-0.12077769452891665,0.06767296914731104,0.005350017963295142,-0.13162292515521382,-0.11079681030622895,0.02082611484898486,True
initial_location_000,initial_location,mild,0.45,2400,joint_basin,Delta_viable_propagation_vs_product,-0.1176729111148596,0.06659783452678496,0.005265021108491061,-0.12726111022417602,-0.10734045509027176,0.019920655133904258,True
initial_location_000,initial_location,mild,0.45,2400,joint_basin,Delta_depth_vs_shuffled,-0.0008152658752052351,0.0012960432804729703,0.00010246121781127537,-0.0010045342252993311,-0.0006113474262980655,0.00039318679900126566,True
initial_location_000,initial_location,mild,0.45,2400,joint_basin,Delta_depth_vs_product,-0.0009160255643453671,0.0011941021151060285,9.440206106399011e-05,-0.001091175560656726,-0.0007256466169596219,0.000365528943697104,True
initial_location_000,initial_location,mild,0.45,2400,joint_basin,Delta_robust_reachability_vs_shuffled,0.42230665508141296,0.002715732773521106,0.00021469752701732263,0.4219028385448291,0.4227052237623471,0.0008023852175180202,True
initial_location_000,initial_location,mild,0.45,2400,joint_basin,Delta_robust_reachability_vs_product,0.42227701212810065,0.0028325896631388185,0.000223935875304194,0.4218409891113649,0.4227108422095747,0.0008698530982098052,True
initial_location_000,initial_location,mild,0.45,2400,joint_basin,component_B_preservation,0.9273988039201502,0.004679224829525669,0.0003699252036328554,0.926689505261279,0.9281285479474606,0.0014390426861815575,True
initial_location_000,initial_location,mild,0.45,2400,joint_basin,lower_rank_erasure_score,0.03630059803992489,0.0023396124147628365,0.00018496260181642785,0.03594237197417859,0.03666396252250369,0.0007215905483250948,True
initial_location_000,initial_location,mild,0.45,2400,joint_basin,singleton_fraction,0.4361441623861994,0.01481291014374943,0.00117106337074151,0.4337193289815507,0.4385893049917132,0.0048699760101625356,True
initial_location_000,initial_location,mild,0.5,900,boundary_v2_regime_sequence,Delta_viable_propagation_vs_shuffled,-0.27350567419055005,0.07998588535609924,0.006323439459759543,-0.28460060444774155,-0.2604133637958566,0.024187240651884934,True
initial_location_000,initial_location,mild,0.5,900,boundary_v2_regime_sequence,Delta_viable_propagation_vs_product,-0.2736823658970759,0.0830043412486892,0.006562069350693064,-0.2858238574501802,-0.2607007617103798,0.025123095739800372,True
initial_location_000,initial_location,mild,0.5,900,boundary_v2_regime_sequence,Delta_depth_vs_shuffled,-0.0013672203420467557,0.0010047628904462488,7.943348105560953e-05,-0.001523318381179201,-0.0012092742641602032,0.00031404411701899766,True
initial_location_000,initial_location,mild,0.5,900,boundary_v2_regime_sequence,Delta_depth_vs_product,-0.0012589293691790085,0.0011850619554351245,9.368737368969875e-05,-0.0014649239298763007,-0.0010784208632370431,0.00038650306663925754,True
initial_location_000,initial_location,mild,0.5,900,boundary_v2_regime_sequence,Delta_robust_reachability_vs_shuffled,-0.09044817704720012,0.0023118660869506018,0.00018276906200161939,-0.09081138280067169,-0.09010973374399951,0.0007016490566721795,True
initial_location_000,initial_location,mild,0.5,900,boundary_v2_regime_sequence,Delta_robust_reachability_vs_product,-0.09008067915107673,0.002393867858119921,0.00018925187122819384,-0.09047455794734056,-0.08969984267083804,0.0007747152765025245,True
initial_location_000,initial_location,mild,0.5,900,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0,0.0,True
initial_location_000,initial_location,mild,0.5,900,boundary_v2_regime_sequence,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,0.0,False
initial_location_000,initial_location,mild,0.5,900,boundary_v2_regime_sequence,singleton_fraction,0.40605484088864047,0.07690394623840523,0.006079790779212472,0.3940612883872128,0.4179757975417924,0.0239145091545796,True
initial_location_000,initial_location,mild,0.5,900,center_of_mass,Delta_viable_propagation_vs_shuffled,0.06757647432225203,0.009315948016131009,0.0007364903573675256,0.06609926356998479,0.06892971561483162,0.0028304520448468318,True
initial_location_000,initial_location,mild,0.5,900,center_of_mass,Delta_viable_propagation_vs_product,0.0670497927087083,0.008914815745107064,0.0007047780668817348,0.06564854408185945,0.06835179806064362,0.0027032539787841675,True
initial_location_000,initial_location,mild,0.5,900,center_of_mass,Delta_depth_vs_shuffled,0.045849367109666625,0.00691917018565883,0.0005470084326253004,0.04469811912096789,0.04684645643894475,0.0021483373179768603,True
initial_location_000,initial_location,mild,0.5,900,center_of_mass,Delta_depth_vs_product,0.04536194309048099,0.006929777291279989,0.0005478469979539213,0.04433203761649895,0.04644246214280512,0.002110424526306172,True
initial_location_000,initial_location,mild,0.5,900,center_of_mass,Delta_robust_reachability_vs_shuffled,0.030241479302274145,0.004070526069945545,0.0003218033414030446,0.02960705510384349,0.030859777184092975,0.0012527220802494854,True
initial_location_000,initial_location,mild,0.5,900,center_of_mass,Delta_robust_reachability_vs_product,0.02986344098426618,0.004027681313321273,0.0003184161659848375,0.029255589544390302,0.030488304424814934,0.0012327148804246318,True
initial_location_000,initial_location,mild,0.5,900,center_of_mass,component_B_preservation,0.8248556542820881,0.004820453140059516,0.00038109028191746805,0.8241050544166217,0.8256357281341683,0.0015306737175465601,True
initial_location_000,initial_location,mild,0.5,900,center_of_mass,lower_rank_erasure_score,0.08757217285895595,0.002410226570029759,0.00019054514095873413,0.08717232085534819,0.08796109685727116,0.0007887760019229667,True
initial_location_000,initial_location,mild,0.5,900,center_of_mass,singleton_fraction,0.3317071557705322,0.013771092668262873,0.001088700467523906,0.3296392498795608,0.33398680324751107,0.004347553367950285,True
initial_location_000,initial_location,mild,0.5,900,joint_basin,Delta_viable_propagation_vs_shuffled,-0.05446417994502506,0.056614790318344606,0.004475792166470455,-0.06289116869324587,-0.04621496741761196,0.016676201275633913,True
