condition,kappa,alpha,T,seed,component_threshold,p_viable,node_count,node_entropy,node_singleton_fraction,macro_path_entropy,fiber_entropy,singleton_fraction,small_fiber_fraction,certified_node_fraction,certified_edge_count,certified_edge_fraction,transport_survival_mean,certified_path_count,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,mean_certified_path_length,max_certified_path_length,component_A_preservation,component_B_preservation,component_balance,lower_rank_erasure_score,edge_component_balance_mean,nonfragmentation,viable_propagation_index,delta_vs_product,delta_vs_shuffled,delta_vs_time_shuffled,component_necessity_A,component_necessity_B,component_necessity_min,ordered_edge_predictivity,edge_order_delta_vs_time_shuffled,edge_order_delta_vs_endpoint_fakeout,local_edge_survival_min,edge_transition_consistency,within_fiber_A_diversity,within_fiber_B_diversity,within_fiber_component_balance,within_fiber_effective_radius,rigid_collapse_diversity_delta,early_edge_survival,middle_edge_survival,late_edge_survival,late_to_early_transport_ratio,final_segment_certified_mass,delayed_trap_late_delta,base_signal_positive
endpoint_fakeout,joint_basin,0.5,900,3.5,0.6,0.99875,34.125,1.5013027325268802,0.15919233786880843,1.5013027325268802,1.5013027325268802,0.020833333333333325,0.04166666666666665,0.8408076621311915,88.25,0.8964091411404661,0.9971203630054187,991.0,0.9922393470383245,0.9931807600032574,5.961820980924305,6.0,1.0,1.0,1.0,0.0,0.2837262981380589,0.9791666666666667,0.9686865863142717,,,,,,,,,,,,,,,,,,,,,,,1.0
endpoint_fakeout,random_balanced_k_COM_cardinality,0.5,900,3.5,0.6,0.99875,56.875,3.020469943227875,0.0,3.020469943227875,3.020469943227875,0.0,0.0,1.0,396.75,1.0,1.0,998.75,1.0,1.0,6.0,6.0,0.9198940242397111,0.5215043358697472,0.5215043358697472,0.47849566413025274,0.30547129721980815,1.0,0.5215043358697472,,,,,,,,,,,,,,,,,,,,,,,1.0
endpoint_fakeout,time_shuffled_COM,0.5,900,3.5,0.6,0.99875,54.25,2.1967525387161615,0.1687556053874551,2.1967525387161615,2.1967525387161615,0.0125,0.08686868686868687,0.831244394612545,84.875,0.6012783370918715,0.7743122804200124,598.375,0.5991127856252805,0.6343879016792343,3.9735225052992003,6.0,1.0,0.7168532509462608,0.7168532509462608,0.28314674905373916,0.2663848544403633,0.9875,0.32839620649237133,,,,,,,,,,,,,,,,,,,,,,,1.0
independent_alpha0,basin_transition_profile,0.5,900,3.5,0.6,0.99925,33.625,1.1578515532668086,0.3707305448684759,1.1578515532668086,1.1578515532668086,0.10625,0.2875,0.6292694551315241,25.5,0.5531747634870858,0.9943087233024608,984.5,0.9852407357257057,0.9884868638798165,5.941088192902321,6.0,1.0,0.8517592250706223,0.8517592250706223,0.14824077492937762,0.19531774831907295,0.89375,0.7439225139304275,,,,,,,,,,,,,,,,,,,,,,,1.0
independent_alpha0,boundary_v2_regime_sequence,0.5,900,3.5,0.6,0.99925,21.0,0.9368905769485874,0.21201107861492835,0.9368905769485874,0.9368905769485874,0.0,0.03125,0.7879889213850716,27.25,0.7940231216540146,0.9981443936839312,995.0,0.9957466196156076,0.9957942684788043,5.975480343820775,6.0,1.0,0.9998379667553017,0.9998379667553017,0.000162033244698375,0.1577458952119996,1.0,0.9937399992673446,,,,,,,,,,,,,,,,,,,,,,,1.0
independent_alpha0,center_of_mass,0.5,900,3.5,0.6,0.99925,51.375,2.0433555315573795,0.18362447057299996,2.0433555315573795,2.0433555315573795,0.03888888888888889,0.14444444444444443,0.816375529427,61.5,0.5858737133351787,0.7541292566781879,585.625,0.5860664860752536,0.6112151697455639,3.7488140618072983,6.0,1.0,0.48222265280635723,0.48222265280635723,0.5177773471936428,0.20354542354268576,0.9611111111111111,0.20518263249606059,,,,,,,,,,,,,,,,,,,,,,,1.0
independent_alpha0,component_A_only,0.5,900,3.5,0.6,0.99925,89.875,2.9043485543073952,0.19822177468476332,2.9043485543073952,2.9043485543073952,0.05851715686274509,0.11871936274509802,0.8017782253152366,20.0,0.09880247368146747,0.0186613173795037,3.0,0.0030031301341421376,0.01067012289749425,0.10033213674596439,5.5,0.8322339660670919,0.33929140480732706,0.33929140480732706,0.6607085951926729,0.1371434936101008,0.9414828431372548,1.9993109642387898e-05,,,,,,,,,,,,,,,,,,,,,,,0.75
independent_alpha0,component_B_only,0.5,900,3.5,0.6,0.99925,32.75,1.4865940056333578,0.10564890270624376,1.4865940056333578,1.4865940056333578,0.0595238095238095,0.13988095238095233,0.8943510972937563,65.625,0.9074408650309876,0.9984571229964099,994.375,0.9951211186136036,0.9954010414532292,5.973603589561505,6.0,1.0,0.66283982778126,0.66283982778126,0.33716017221873995,0.11514518517315561,0.9404761904761905,0.6197182854495494,,,,,,,,,,,,,,,,,,,,,,,1.0
independent_alpha0,hash_high_cardinality,0.5,900,3.5,0.6,0.99925,3727.625,9.543270732470488,0.943039079756913,9.543270732470488,9.543270732470488,0.32486120737178437,0.6334230304794936,0.056960920243086986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253280301752125,0.103250473365991,0.103250473365991,0.896749526634009,0.04592452269482116,0.6751387926282156,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
independent_alpha0,joint_basin,0.5,900,3.5,0.6,0.99925,18.75,0.429757831941324,0.23478310582606246,0.429757831941324,0.429757831941324,0.03125,0.15625,0.7652168941739375,23.75,0.7877747592821123,0.9982694978712848,996.0,0.9967476211181121,0.9967476211181121,5.980485726708673,6.0,1.0,1.0,1.0,0.0,0.1893963926982058,0.96875,0.9640024931372626,,,,,,,,,,,,,,,,,,,,,,,1.0
