parent_rule_id,rule_id,control_type,stable_product_rate,phase_sensitive_outcome_rate,new_motif_rate,emission_rate,interaction_outcome_diversity,dominant_interaction_outcome
q3r1_s7_0023,q3r1_s7_0023_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0023,q3r1_s7_0023_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0024,q3r1_s7_0024,raw,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0024,q3r1_s7_0024_center_only_projection,center_only_projection,0.5,1.0,0.5,0.0,1.0,collapse
q3r1_s7_0024,q3r1_s7_0024_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0024,q3r1_s7_0024_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0024,q3r1_s7_0024_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q2r2_s1_0004,q2r2_s1_0004,raw,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q2r2_s1_0004,q2r2_s1_0004_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q2r2_s1_0004,q2r2_s1_0004_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s1_0004,q2r2_s1_0004_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s1_0043,q2r2_s1_0043,raw,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s1_0043,q2r2_s1_0043_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q2r2_s1_0043,q2r2_s1_0043_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s1_0043,q2r2_s1_0043_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s2_0007,q2r2_s2_0007,raw,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s2_0007,q2r2_s2_0007_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,collapse
q2r2_s2_0007,q2r2_s2_0007_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s2_0007,q2r2_s2_0007_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s4_0030,q2r2_s4_0030,raw,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s4_0030,q2r2_s4_0030_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,collapse
q2r2_s4_0030,q2r2_s4_0030_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,-0.0,collapse
q2r2_s4_0030,q2r2_s4_0030_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0002,q2r2_s7_0002,raw,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0002,q2r2_s7_0002_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q2r2_s7_0002,q2r2_s7_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0002,q2r2_s7_0002_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0005,q2r2_s7_0005,raw,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0005,q2r2_s7_0005_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,collapse
q2r2_s7_0005,q2r2_s7_0005_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0005,q2r2_s7_0005_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0006,q2r2_s7_0006,raw,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0006,q2r2_s7_0006_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q2r2_s7_0006,q2r2_s7_0006_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0006,q2r2_s7_0006_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0007,q2r2_s7_0007,raw,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0007,q2r2_s7_0007_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q2r2_s7_0007,q2r2_s7_0007_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0007,q2r2_s7_0007_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0009,q2r2_s7_0009,raw,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0009,q2r2_s7_0009_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q2r2_s7_0009,q2r2_s7_0009_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0009,q2r2_s7_0009_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0010,q2r2_s7_0010,raw,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q2r2_s7_0010,q2r2_s7_0010_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q2r2_s7_0010,q2r2_s7_0010_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q2r2_s7_0010,q2r2_s7_0010_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0011,q2r2_s7_0011,raw,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q2r2_s7_0011,q2r2_s7_0011_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q2r2_s7_0011,q2r2_s7_0011_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q2r2_s7_0011,q2r2_s7_0011_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
